"id","name","sequence","description","invoice_label","type_tax_use","amount_type","amount","price_include","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id"
"nz_tax_sale_15","15%","1","Sale (15%)","GST Sales","sale","percent","15.0","False","tax_group_gst_15","base","invoice","+BOX 5",""
"","","","","","","","","","","tax","invoice","+BOX 5","nz_21310"
"","","","","","","","","","","base","refund","-BOX 5",""
"","","","","","","","","","","tax","refund","-BOX 5","nz_21310"
"nz_tax_sale_inc_15","15% INC","2","GST Inc Sale (15%)","GST Inclusive Sales","sale","percent","15.0","True","tax_group_gst_15","base","invoice","+BOX 5",""
"","","","","","","","","","","tax","invoice","+BOX 5","nz_21310"
"","","","","","","","","","","base","refund","-BOX 5",""
"","","","","","","","","","","tax","refund","-BOX 5","nz_21310"
"nz_tax_sale_0","0% EX","3","Zero/Export (0%) Sale","Zero Rated (Export) Sales","sale","percent","0.0","False","tax_group_0","base","invoice","+BOX 5||+BOX 6",""
"","","","","","","","","","","tax","invoice","",""
"","","","","","","","","","","base","refund","-BOX 5||-BOX 6",""
"","","","","","","","","","","tax","refund","",""
"nz_tax_purchase_15","15%","1","Purch (15%)","GST Purchases","purchase","percent","15.0","False","tax_group_gst_15","base","invoice","+BOX 11",""
"","","","","","","","","","","tax","invoice","+BOX 11","nz_21330"
"","","","","","","","","","","base","refund","-BOX 11",""
"","","","","","","","","","","tax","refund","-BOX 11","nz_21330"
"nz_tax_purchase_inc_15","15% INC","2","GST Inc Purch (15%)","GST Inclusive Purchases","purchase","percent","15.0","True","tax_group_gst_15","base","invoice","+BOX 11",""
"","","","","","","","","","","tax","invoice","+BOX 11","nz_21330"
"","","","","","","","","","","base","refund","-BOX 11",""
"","","","","","","","","","","tax","refund","-BOX 11","nz_21330"
"nz_tax_purchase_0","0%","3","Zero/Import (0%) Purch","Zero Rated Purchases","purchase","percent","0.0","False","tax_group_0","base","invoice","",""
"","","","","","","","","","","tax","invoice","",""
"","","","","","","","","","","base","refund","",""
"","","","","","","","","","","tax","refund","",""
"nz_tax_purchase_taxable_import","0% EX","4","Purch (Imports Taxable)","Purchase (Taxable Imports) - Tax Paid Separately","purchase","percent","0.0","False","tax_group_0","base","invoice","",""
"","","","","","","","","","","tax","invoice","",""
"","","","","","","","","","","base","refund","",""
"","","","","","","","","","","tax","refund","",""
"nz_tax_purchase_gst_only","100% EX","5","GST Only - Imports","GST Only on Imports","purchase","division","100.0","True","tax_group_100","base","invoice","",""
"","","","","","","","","","","tax","invoice","+BOX 11","nz_21330"
"","","","","","","","","","","base","refund","",""
"","","","","","","","","","","tax","refund","-BOX 11","nz_21330"
