"id",name,reveal_id
"crm_reveal_industry_1","3D Printing","1"
"crm_reveal_industry_2","Accounting","2"
"crm_reveal_industry_3","Aerospace & Defense","3"
"crm_reveal_industry_4","Agriculture","4"
"crm_reveal_industry_5","Airlines","5"
"crm_reveal_industry_6","Alternative Medicine","6"
"crm_reveal_industry_7","Animation","7"
"crm_reveal_industry_8","Apparel & Footwear","8"
"crm_reveal_industry_9","Architecture","9"
"crm_reveal_industry_10","Arts","10"
"crm_reveal_industry_11","Arts & Crafts","11"
"crm_reveal_industry_12","Asset Management","12"
"crm_reveal_industry_13","Audio","13"
"crm_reveal_industry_14","Automation","14"
"crm_reveal_industry_15","Automotive","15"
"crm_reveal_industry_16","Banking & Mortgages","16"
"crm_reveal_industry_17","Beverages","17"
"crm_reveal_industry_18","Biotechnology","18"
"crm_reveal_industry_19","Broadcasting","19"
"crm_reveal_industry_20","Building Materials","20"
"crm_reveal_industry_21","Business Supplies","21"
"crm_reveal_industry_22","Chemicals","22"
"crm_reveal_industry_23","Civil Engineering","23"
"crm_reveal_industry_24","Cloud Services","24"
"crm_reveal_industry_25","Communications","25"
"crm_reveal_industry_26","Computer Hardware","26"
"crm_reveal_industry_27","Construction","27"
"crm_reveal_industry_28","Construction Contractors & Services","28"
"crm_reveal_industry_29","Consulting & Professional Services","29"
"crm_reveal_industry_30","Consumer Discretionary","30"
"crm_reveal_industry_31","Consumer Electronics","31"
"crm_reveal_industry_32","Consumer Goods","32"
"crm_reveal_industry_33","Consumer Staples","33"
"crm_reveal_industry_34","Corporate & Business","34"
"crm_reveal_industry_35","Cosmetics","35"
"crm_reveal_industry_36","Design","36"
"crm_reveal_industry_37","E-Commerce & Marketplaces","37"
"crm_reveal_industry_38","E-Learning","38"
"crm_reveal_industry_39","Education","39"
"crm_reveal_industry_40","Electrical","40"
"crm_reveal_industry_41","Energy","41"
"crm_reveal_industry_42","Energy & Utilities","42"
"crm_reveal_industry_43","Entertainment & Recreation","43"
"crm_reveal_industry_44","Events","44"
"crm_reveal_industry_45","Eyewear","45"
"crm_reveal_industry_46","Facilities","46"
"crm_reveal_industry_47","Family Services","47"
"crm_reveal_industry_48","Finance","48"
"crm_reveal_industry_49","Financial Services","49"
"crm_reveal_industry_50","Fine Art","50"
"crm_reveal_industry_51","Firearms","51"
"crm_reveal_industry_52","Fishery","52"
"crm_reveal_industry_53","Food","53"
"crm_reveal_industry_54","Food Production","54"
"crm_reveal_industry_55","Forums","55"
"crm_reveal_industry_56","Fundraising","56"
"crm_reveal_industry_57","Gambling & Casinos","57"
"crm_reveal_industry_58","Government","58"
"crm_reveal_industry_59","Ground Transportation","59"
"crm_reveal_industry_60","Health & Wellness","60"
"crm_reveal_industry_61","Health Care","61"
"crm_reveal_industry_62","Higher Education","62"
"crm_reveal_industry_63","Home & Furniture","63"
"crm_reveal_industry_64","Home Improvement","64"
"crm_reveal_industry_65","Human Resources","65"
"crm_reveal_industry_66","Import & Export","66"
"crm_reveal_industry_67","Industrials & Manufacturing","67"
"crm_reveal_industry_68","Information Technology & Services","68"
"crm_reveal_industry_69","Insurance","69"
"crm_reveal_industry_70","International Relations","70"
"crm_reveal_industry_71","International Trade","71"
"crm_reveal_industry_72","Internet","72"
"crm_reveal_industry_73","Investment","73"
"crm_reveal_industry_74","Investment Banking","74"
"crm_reveal_industry_75","Investment Management","75"
"crm_reveal_industry_76","Jewelry, Watches & Luxury Goods","76"
"crm_reveal_industry_77","Judiciary","77"
"crm_reveal_industry_78","Law Enforcement","78"
"crm_reveal_industry_79","Legal Services","79"
"crm_reveal_industry_80","Libraries","80"
"crm_reveal_industry_81","Machinery","81"
"crm_reveal_industry_82","Maritime","82"
"crm_reveal_industry_83","Market Research","83"
"crm_reveal_industry_84","Marketing & Advertising","84"
"crm_reveal_industry_85","Mechanical Engineering","85"
"crm_reveal_industry_86","Media","86"
"crm_reveal_industry_87","Medicine","87"
"crm_reveal_industry_88","Military","88"
"crm_reveal_industry_89","Mining & Metals","89"
"crm_reveal_industry_90","Movies & TV","90"
"crm_reveal_industry_91","Museums","91"
"crm_reveal_industry_92","Music","92"
"crm_reveal_industry_93","Nanotechnology","93"
"crm_reveal_industry_94","Networking","94"
"crm_reveal_industry_95","Non-Profit & Philanthropy","95"
"crm_reveal_industry_96","Oil & Gas","96"
"crm_reveal_industry_97","Outsourcing","97"
"crm_reveal_industry_98","Packaging & Containers","98"
"crm_reveal_industry_99","Paper Goods","99"
"crm_reveal_industry_100","Payments","100"
"crm_reveal_industry_101","Performing Arts","101"
"crm_reveal_industry_102","Pharmaceuticals","102"
"crm_reveal_industry_103","Pharmacy","103"
"crm_reveal_industry_104","Photography","104"
"crm_reveal_industry_105","Plastics","105"
"crm_reveal_industry_106","Plumbing","106"
