"id",name,reveal_id
"crm_reveal_role_1","ceo","ceo"
"crm_reveal_role_2","communications","communications"
"crm_reveal_role_3","consulting","consulting"
"crm_reveal_role_4","customer_service","customer_service"
"crm_reveal_role_5","education","education"
"crm_reveal_role_6","engineering","engineering"
"crm_reveal_role_7","finance","finance"
"crm_reveal_role_8","founder","founder"
"crm_reveal_role_9","health_professional","health_professional"
"crm_reveal_role_10","human_resources","human_resources"
"crm_reveal_role_11","information_technology","information_technology"
"crm_reveal_role_12","legal","legal"
"crm_reveal_role_13","marketing","marketing"
"crm_reveal_role_14","operations","operations"
"crm_reveal_role_15","owner","owner"
"crm_reveal_role_16","president","president"
"crm_reveal_role_17","product","product"
"crm_reveal_role_18","public_relations","public_relations"
"crm_reveal_role_19","real_estate","real_estate"
"crm_reveal_role_20","recruiting","recruiting"
"crm_reveal_role_21","research","research"
"crm_reveal_role_22","sale","sale"
