"id","name","description","invoice_label","amount","tax_group_id","type_tax_use","amount_type","active","include_base_amount","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","description@fi","invoice_label@fi"
"tax_dom_sales_goods_25_5","25.5%","","25.5%","25.5","tax_group_25_5","sale","percent","","","base","invoice","","","","","25.5%"
"","","","","","","","","","","tax","invoice","account_2930","+fi_320","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_2930","-fi_320","","",""
"tax_dom_sales_goods_24","24%","","24%","24.0","tax_group_24","sale","percent","","","base","invoice","","","","","24%"
"","","","","","","","","","","tax","invoice","account_2930","+fi_301","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_2930","-fi_301","","",""
"tax_dom_sales_goods_14","14%","","14%","14.0","tax_group_14","sale","percent","False","","base","invoice","","","","","14%"
"","","","","","","","","","","tax","invoice","account_2930","+fi_302","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_2930","-fi_302","","",""
"tax_dom_sales_goods_10","10%","","10%","10.0","tax_group_10","sale","percent","False","","base","invoice","","","","","10%"
"","","","","","","","","","","tax","invoice","account_2930","+fi_303","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_2930","-fi_303","","",""
"tax_dom_sales_goods_0","0%","","0%","0.0","tax_group_0","sale","percent","","","base","invoice","","+fi_304","","","0%"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","-fi_304","","",""
"","","","","","","","","","","tax","refund","","","","",""
"tax_dom_sales_service_25_5","25.5% S","25.5% services","25.5%","25.5","tax_group_25_5","sale","percent","","","base","invoice","","","","25.5% palvelua","25.5%"
"","","","","","","","","","","tax","invoice","account_2930","+fi_320","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_2930","-fi_320","","",""
"tax_dom_sales_service_24","24% S","24% services","24%","24.0","tax_group_24","sale","percent","","","base","invoice","","","","24% palvelua","24%"
"","","","","","","","","","","tax","invoice","account_2930","+fi_301","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_2930","-fi_301","","",""
"tax_dom_sales_service_14","14% S","14% services","14%","14.0","tax_group_14","sale","percent","False","","base","invoice","","","","14% palvelua","14%"
"","","","","","","","","","","tax","invoice","account_2930","+fi_302","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_2930","-fi_302","","",""
"tax_dom_sales_service_10","10% S","10% services","10%","10.0","tax_group_10","sale","percent","False","","base","invoice","","","","10% palvelua","10%"
"","","","","","","","","","","tax","invoice","account_2930","+fi_303","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_2930","-fi_303","","",""
"tax_dom_purchase_goods_25_5","25.5%","","25.5%","25.5","tax_group_25_5","purchase","percent","","","base","invoice","","","","","25.5%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307","","",""
"tax_dom_purchase_goods_24","24%","","24%","24.0","tax_group_24","purchase","percent","","","base","invoice","","","","","24%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307","","",""
"tax_dom_purchase_goods_14","14%","","14%","14.0","tax_group_14","purchase","percent","False","","base","invoice","","","","","14%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307","","",""
"tax_dom_purchase_goods_10","10%","","10%","10.0","tax_group_10","purchase","percent","False","","base","invoice","","","","","10%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307","","",""
"tax_dom_purchase_service_25_5","25.5% S","25.5% S","25.5%","25.5","tax_group_25_5","purchase","percent","","","base","invoice","","","","25.5% palvelua","25.5%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307","","",""
"tax_dom_purchase_service_24","24% S","24% S","24%","24.0","tax_group_24","purchase","percent","","","base","invoice","","","","24% palvelua","24%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307","","",""
"tax_dom_purchase_service_14","14% S","14% S","14%","14.0","tax_group_14","purchase","percent","False","","base","invoice","","","","14% palvelua","14%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307","","",""
"tax_dom_purchase_service_10","10% S","10% S","10%","10.0","tax_group_10","purchase","percent","False","","base","invoice","","","","10% palvelua","10%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307","","",""
"tax_dom_purchase_0","0%","","0%","0.0","tax_group_0","purchase","percent","","","","","","","","","0%"
"tax_eu_sales_goods_0","0% EU G","0% EU G","0%","0.0","tax_group_0","sale","percent","","","base","invoice","","+fi_311","","0 % EU-tavarat","0%"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","-fi_311","","",""
"","","","","","","","","","","tax","refund","","","","",""
"tax_eu_sales_service_0","0% EU S","0% EU S","0%","0.0","tax_group_0","sale","percent","","","base","invoice","","+fi_312","","0% EU-palvelu","0%"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","-fi_312","","",""
"","","","","","","","","","","tax","refund","","","","",""
"tax_eu_purchase_goods_25_5","25.5% EU G","25.5% EU G","25.5%","25.5","tax_group_25_5","purchase","percent","","","base","invoice","","+fi_base_purchase_goods_eu","","25.5% EU-tavarat","25.5%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307||+fi_305","","",""
"","","","","","","","","","","tax","invoice","account_2930","","-100","",""
"","","","","","","","","","","base","refund","","-fi_base_purchase_goods_eu","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307||-fi_305","","",""
"","","","","","","","","","","tax","refund","account_2930","","-100","",""
"tax_eu_purchase_goods_24","24% EU G","24% EU G","24%","24.0","tax_group_24","purchase","percent","","","base","invoice","","+fi_base_purchase_goods_eu","","24% EU-tavarat","24%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307||+fi_305","","",""
"","","","","","","","","","","tax","invoice","account_2930","","-100","",""
"","","","","","","","","","","base","refund","","-fi_base_purchase_goods_eu","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307||-fi_305","","",""
"","","","","","","","","","","tax","refund","account_2930","","-100","",""
"tax_eu_purchase_goods_14","14% EU","14% EU","14%","14.0","tax_group_14","purchase","percent","False","","base","invoice","","+fi_base_purchase_goods_eu","","14% EU","14%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307||+fi_305","","",""
"","","","","","","","","","","tax","invoice","account_2930","","-100","",""
"","","","","","","","","","","base","refund","","-fi_base_purchase_goods_eu","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307||-fi_305","","",""
"","","","","","","","","","","tax","refund","account_2930","","-100","",""
"tax_eu_purchase_goods_10","10% EU G","10% EU G","10%","10.0","tax_group_10","purchase","percent","False","","base","invoice","","+fi_base_purchase_goods_eu","","10% EU-tavarat","10%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307||+fi_305","","",""
"","","","","","","","","","","tax","invoice","account_2930","","-100","",""
"","","","","","","","","","","base","refund","","-fi_base_purchase_goods_eu","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307||-fi_305","","",""
"","","","","","","","","","","tax","refund","account_2930","","-100","",""
"tax_eu_purchase_service_25_5","25.5% EU S","25.5% EU S","25.5%","25.5","tax_group_25_5","purchase","percent","","","base","invoice","","+fi_base_306","","25.5 % EU-palvelusta","25.5%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307||+fi_tax_306","","",""
"","","","","","","","","","","tax","invoice","account_2930","","-100","",""
"","","","","","","","","","","base","refund","","-fi_base_306","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307||-fi_tax_306","","",""
"","","","","","","","","","","tax","refund","account_2930","","-100","",""
"tax_eu_purchase_service_24","24% EU S","24% EU S","24%","24.0","tax_group_24","purchase","percent","","","base","invoice","","+fi_base_306","","24 % EU-palvelusta","24%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307||+fi_tax_306","","",""
"","","","","","","","","","","tax","invoice","account_2930","","-100","",""
"","","","","","","","","","","base","refund","","-fi_base_306","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307||-fi_tax_306","","",""
"","","","","","","","","","","tax","refund","account_2930","","-100","",""
"tax_eu_purchase_service_14","14% EU S","14% EU S","14%","14.0","tax_group_14","purchase","percent","False","","base","invoice","","+fi_base_306","","14 % EU-palvelusta","14%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307||+fi_tax_306","","",""
"","","","","","","","","","","tax","invoice","account_2930","","-100","",""
"","","","","","","","","","","base","refund","","-fi_base_306","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307||-fi_tax_306","","",""
"","","","","","","","","","","tax","refund","account_2930","","-100","",""
"tax_eu_purchase_service_10","10% EU S","10% EU S","10%","10.0","tax_group_10","purchase","percent","False","","base","invoice","","+fi_base_306","","10 % EU-palvelusta","10%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307||+fi_tax_306","","",""
"","","","","","","","","","","tax","invoice","account_2930","","-100","",""
"","","","","","","","","","","base","refund","","-fi_base_306","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307||-fi_tax_306","","",""
"","","","","","","","","","","tax","refund","account_2930","","-100","",""
"vat0triangulation","0% TRI","Triangulation","0%","0.0","tax_group_0","sale","percent","False","","base","invoice","",+fi_triangular,"","0% ABC","0%"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","-fi_triangular","","",""
"","","","","","","","","","","tax","refund","","","","",""
"triangulation_purchase","0% TRI","Triangulation","ABC","0.0","tax_group_0","purchase","percent","False","","base","invoice","","","","ABC","ABC"
"","","","","","","","","","","tax","invoice","account_1763","","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_1763","","","",""
"tax_construct_sales_0","0% C","0% Construct","0%","0.0","tax_group_0","sale","percent","False","","base","invoice","","+fi_319","","0 % Rakenne","0%"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","-fi_319","","",""
"","","","","","","","","","","tax","refund","","","","",""
"tax_construct_purchase_25_5","25.5% C","25.5% C","25.5%","25.5","tax_group_25_5","purchase","percent","False","","base","invoice","","","","25.5 % Rakenne","25.5%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307","","",""
"tax_construct_purchase_24","24% C","24% C","24%","24.0","tax_group_24","purchase","percent","False","","base","invoice","","","","24 % Rakenne","24%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307","","",""
"tax_construct_purchase_25_5_finland","25.5% FI C","25.5% FI C","25.5%","25.5","tax_group_25_5","purchase","percent","False","","base","invoice","","+fi_base_318","","25.5 % FI Rakenne","25.5%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307","","",""
"","","","","","","","","","","tax","invoice","account_2930","-fi_318","-100","",""
"","","","","","","","","","","base","refund","","-fi_base_318","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307","","",""
"","","","","","","","","","","tax","refund","account_2930","+fi_318","-100","",""
"tax_construct_purchase_24_finland","24% FI C","24% FI C","24%","24.0","tax_group_24","purchase","percent","False","","base","invoice","","+fi_base_318","","24 % FI Rakenne","24%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307","","",""
"","","","","","","","","","","tax","invoice","account_2930","-fi_318","-100","",""
"","","","","","","","","","","base","refund","","-fi_base_318","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307","","",""
"","","","","","","","","","","tax","refund","account_2930","+fi_318","-100","",""
"aland_sales_0","0% Aland","0% Aland","0%","0.0","tax_group_0","sale","percent","False","","base","invoice","","+fi_304","","0% Aland","0%"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","-fi_304","","",""
"","","","","","","","","","","tax","refund","","","","",""
"tax_non_eu_purchase_goods_25_5","25.5% EX G","25.5% EX G","25.5%","25.5","tax_group_25_5","purchase","percent","False","","base","invoice","","+fi_base_340","","25.5% EX-tavarat","25.5%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307||+fi_340","","",""
"","","","","","","","","","","tax","invoice","account_2930","","-100","",""
"","","","","","","","","","","base","refund","","-fi_base_340","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307||-fi_340","","",""
"","","","","","","","","","","tax","refund","account_2930","","-100","",""
"tax_non_eu_purchase_goods_24","24% EX G","24% EX G","24%","24.0","tax_group_24","purchase","percent","False","","base","invoice","","+fi_base_340","","24% EX-tavarat","24%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307||+fi_340","","",""
"","","","","","","","","","","tax","invoice","account_2930","","-100","",""
"","","","","","","","","","","base","refund","","-fi_base_340","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307||-fi_340","","",""
"","","","","","","","","","","tax","refund","account_2930","","-100","",""
"tax_non_eu_purchase_goods_14","14% EX G","14% EX G","14%","14.0","tax_group_14","purchase","percent","False","","base","invoice","","+fi_base_340","","14 % EX-tavarat","14%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307||+fi_340","","",""
"","","","","","","","","","","tax","invoice","account_2930","","-100","",""
"","","","","","","","","","","base","refund","","-fi_base_340","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307||-fi_340","","",""
"","","","","","","","","","","tax","refund","account_2930","","-100","",""
"tax_non_eu_purchase_goods_10","10% EX G","10% EX G","10%","10.0","tax_group_10","purchase","percent","False","","base","invoice","","+fi_base_340","","10% EX-tavarat","10%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307||+fi_340","","",""
"","","","","","","","","","","tax","invoice","account_2930","","-100","",""
"","","","","","","","","","","base","refund","","-fi_base_340","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307||-fi_340","","",""
"","","","","","","","","","","tax","refund","account_2930","","-100","",""
"vat0export","0% EX","0% EX","0% EX","0.0","tax_group_0","sale","percent","","","base","invoice","","+fi_304","","0% EX","0% EX"
"","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","base","refund","","-fi_304","","",""
"","","","","","","","","","","tax","refund","","","","",""
"import_pay25_5","25.5% EX","25.5% EX","25.5%","25.5","tax_group_25_5","purchase","percent","False","","base","invoice","","+fi_base_340","","25.5% tuontimaksu","25.5%"
"","","","","","","","","","","tax","invoice","account_1763","-fi_340","","",""
"","","","","","","","","","","base","refund","","-fi_base_340","","",""
"","","","","","","","","","","tax","refund","account_1763","+fi_340","","",""
"import_pay24","24% EX","24% EX","24%","24.0","tax_group_24","purchase","percent","False","","base","invoice","","+fi_base_340","","24% tuontimaksu","24%"
"","","","","","","","","","","tax","invoice","account_1763","-fi_340","","",""
"","","","","","","","","","","base","refund","","-fi_base_340","","",""
"","","","","","","","","","","tax","refund","account_1763","+fi_340","","",""
"import_deduct25_5","25.5% EX D","25.5% EX D","25.5%","25.5","tax_group_25_5","purchase","percent","False","","base","invoice","","","","25.5 % tuontivähennys","25.5%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307","","",""
"import_deduct24","24% EX D","24% EX D","24%","24.0","tax_group_24","purchase","percent","False","","base","invoice","","","","24 % tuontivähennys","24%"
"","","","","","","","","","","tax","invoice","account_1763","+fi_307","","",""
"","","","","","","","","","","base","refund","","","","",""
"","","","","","","","","","","tax","refund","account_1763","-fi_307","","",""
