"id","name","code","account_type","reconcile","name@es"
"account_activa_account_1115001","COMMERCIAL PAPERS","1115001","equity","True","PAPELES COMERCIALES"
"account_activa_account_1115002","TEMPORARY INVESTMENTS","1115002","equity","True","INVERSIONES TEMPORALES"
"account_activa_account_1115003","BOND INVESTMENTS M.N.","1115003","equity","True","INVERSIONES EN BONOS M.N."
"account_activa_account_1115004","BOND INVESTMENTS M.E.","1115004","equity","True","INVERSIONES EN BONOS M.E."
"account_activa_account_1121001","DOMESTIC RECEIVABLES","1121001","asset_receivable","True","EFECTOS POR COBRAR NACIONALES"
"account_activa_account_1122001","ACCOUNTS RECEIVABLE CUSTOMERS","1122001","asset_receivable","True","CUENTAS POR COBRAR CLIENTES"
"account_activa_account_1122002","CUSTOMER PREPAYMENTS","1122002","asset_current","True","COBRO ANTICIPO CLIENTES"
"account_activa_account_1122003","ACCOUNTS RECEIVABLE (POS)","1122003","asset_receivable","True","CUENTAS POR COBRAR CLIENTES (POS)"
"account_activa_account_1122004","WHOLESALE ACCOUNTS RECEIVABLE","1122004","asset_receivable","True","CUENTAS POR COBRAR MAYORISTA"
"account_activa_account_1122005","ACCOUNTS RECEIVABLE RETAILER","1122005","asset_receivable","True","CUENTAS POR COBRAR DETALLISTA"
"account_activa_account_1124001","NATIONAL PROVISION FOR UNCOLLECTIBLE ACCOUNTS","1124001","asset_current","True","PROVISION INCOBRALES NACIONALES"
"account_activa_account_1124002","PROVINCE UNCOLLECTIBLE FOREIGN","1124002","asset_current","True","PROVINCION INCOBRABLES EXTERIOR"
"account_activa_account_1125001","ACCOUNTS RECEIVABLE CUSTOMERS","1125001","asset_receivable","True","CUENTAS POR COBRAR CLIENTES"
"account_activa_account_1125002","PERSONAL LOANS","1125002","asset_current","True","PRESTAMOS PERSONALES"
"account_activa_account_1125003","ACCOUNTS RECEIVABLE PARTNERS","1125003","asset_receivable","True","CUENTAS POR COBRAR SOCIOS"
"account_activa_account_1125004","SALESMEN TRAVEL EXPENSES","1125004","asset_current","True","VIATICOS VENDEDORES"
"account_activa_account_1125006","HOLIDAYS","1125006","asset_current","True","VACACIONES"
"account_activa_account_1125007","UTILITIES","1125007","asset_current","True","UTILIDADES"
"account_activa_account_1125008","VEHICLE INSURANCE","1125008","asset_current","True","SEGURO DE VEHICULOS"
"account_activa_account_1127001","AMD COMPUTER ACCESSORIES,C.A.","1127001","asset_fixed","True","ACCESORIOS AMD COMPUTADORAS,C.A."
