"id","name","code"
"ple_usage_type_00","Bienes","00"
"ple_usage_type_01","Arrendamiento de predios","01"
"ple_usage_type_02","Enajenación Inmuebles y derechos sobre inmuebles","02"
"ple_usage_type_03","Rentas de bienes situados en el país o derechos utilizados en el país, incluye enajenación.","03"
"ple_usage_type_04","Regalias: Bienes o derechos por los que pagan son utilizados país.","04"
"ple_usage_type_05","Regalias: Pagador de las regalías es domiciliado.","05"
"ple_usage_type_06","Por capitales, intereses, comisiones, primas - operaciones financieras - capital utilizado en el país o el pagador sea un sujeto domiciliado. Originadas por fondos de cualquier tipo de entidad, por cesión a terceros de un capital, por operaciones de capitalización o por contratos de seguro de vida o invalidez que no tengan su origen en el trabajo personal.","06"
"ple_usage_type_07","Dividendos y cualquier otra forma de distribución de utilidades, cuando la empresa que los distribuye, pague y acredite se encuentre domiciliada en el país, o cuando el fondo de inversión, patrimonio fideicometido o fiduciario bancario, fondo de pensiones, que lo distribuya, pague o acredite, se encuentre constituido o establecido en el país","07"
"ple_usage_type_08","Los rendimientos de los ADR y GDRs que tengan como subyacentes acciones emitidas por empresas no domiciliadas","08"
"ple_usage_type_09","Originadas en actividades civiles, comerciales, empresariales o de cualquier índole, que se lleven a cabo en territorio nacional.","09"
"ple_usage_type_10","Originadas en el trabajo personal que lleven a cabo en el territorio nacional No comprende cuando se ingresa al país temporalmente a efectuar: actos previos a la realización de inversiones extranjeras; actos destinados a supervisar o controlar la inversión o el negocio, tales como los de recolección de datos o información o la realización de entrevistas; actos relacionados con la contratación de personal local; actos relacionados con la firma de convenios o actos similares.","10"
"ple_usage_type_11","Rentas vitalicias y las pensiones que tengan su origen en el trabajo personal, pagadas por un sujeto domiciliado","11"
"ple_usage_type_12","Las obtenidas por la enajenación de acciones y participaciones representativas del capital, cuando las empresas, que los hayan emitido estén constituidos o establecidos en el Perú. Fuera de Bolsa","12"
"ple_usage_type_13","Las obtenidas por la enajenación, de certificados, títulos, bonos y papeles comerciales, valores representativos de cédulas hipotecarias, obligaciones al portador u otros valores al portador y otros valores mobiliarios cuando los Fondos de Inversión, Fondos Mutuos de Inversión en Valores o Patrimonios Fideicometidos que los hayan emitido estén constituidos o establecidos en el Perú. Fuera de Bolsa","13"
"ple_usage_type_14","Las obtenidas por la redención o rescate de certificados, títulos, bonos y papeles comerciales, valores representativos de cédulas hipotecarias, obligaciones al portador u otros valores al portador y otros valores mobiliarios cuando los Fondos de Inversión, Fondos Mutuos de Inversión en Valores o Patrimonios Fideicometidos que los hayan emitido estén constituidos o establecidos en el Perú. Fuera de Bolsa","14"
"ple_usage_type_15","Las obtenidas por la enajenación de acciones y participaciones representativas del capital, acciones de inversión, certificados, títulos, bonos y papeles comerciales, valores representativos de cédulas hipotecarias, obligaciones al portador u otros valores al portador y otros valores mobiliarios cuando las empresas, sociedades, Fondos de Inversión, Fondos Mutuos de Inversión en Valores o Patrimonios Fideicometidos que los hayan emitido estén constituidos o establecidos en el Perú. Dentro de Bolsa","15"
"ple_usage_type_16","Las obtenidas por la redención o rescate de acciones de inversión, certificados, títulos, bonos y papeles comerciales, valores representativos de cédulas hipotecarias, obligaciones al portador u otros valores al portador y otros valores mobiliarios cuando las empresas, sociedades, Fondos de Inversión, Fondos Mutuos de Inversión en Valores o Patrimonios Fideicometidos que los hayan emitido estén constituidos o establecidos en e Perú. Dentro de Bolsa","16"
"ple_usage_type_17","Enajenación de los ADR's y GDR's que tengan como subyacente acciones emitidas por empresas domiciliadas en el país.","17"
"ple_usage_type_18","Las obtenidas por servicios digitales prestados a través del Internet o de cualquier adaptación o aplicación de los protocolos, plataformas o de la tecnología utilizada por Internet o cualquier otra red a través de la que se presten servicios equivalentes, cuando el servicio se utilice económicamente, use o consuma en el país","18"
"ple_usage_type_19","La obtenida por asistencia técnica, cuando ésta se utilice económicamente en el país","19"
"ple_usage_type_20","Los intereses de obligaciones, cuando la entidad emisora ha sido constituida en el país","20"
"ple_usage_type_21","Remuneración pagada por Domiciliados; Sujeto miembro de un consejo directivo o adm.; Actuación en el Extranjero","21"
"ple_usage_type_22","Honorarios o remuneraciones del Sector Público Nacional por trabajos realizados en el exterior.","22"
"ple_usage_type_23","Resultados Proveniente de la contratación de IFD","23"
