"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","description@es","invoice_label@es","price_include_override","fiscal_position_ids","original_tax_ids","formula","is_withholding_tax"
"impuestos_plantilla_iva_por_cobrar","12%","Unpaid VAT","Unpaid VAT","12.0","percent","purchase","tax_group_iva_12","base","invoice","","IVA por Cobrar","IVA por Cobrar","tax_included","","","",""
"","","","","","","","","tax","invoice","cta110301","","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","cta110301","","","","","","",""
"impuestos_plantilla_iva_por_pagar","12%","VAT Payable","VAT Payable","12.0","percent","sale","tax_group_iva_12","base","invoice","","IVA por Pagar","IVA por Pagar","tax_included","","","",""
"","","","","","","","","tax","invoice","cta210201","","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","cta210201","","","","","","",""
"tax_vat_withhold","VAT Withholding 12%","12% Withholding","12% Withholding","-12.0","percent","purchase","tax_group_iva_withhold_12","base","invoice","","Retención del 12%","Retención del 12%","","","","",""
"","","","","","","","","tax","invoice","cta210202","","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","cta210202","","","","","","",""
"tax_isr_withhold","ISR Withholding 5%","5% Withholding ISR","5% Withholding ISR","-5.0","percent","purchase","tax_group_isr_withhold_5","base","invoice","","Retención del 5% ISR","Retención del 5% ISR","","","","",""
"","","","","","","","","tax","invoice","cta210203","","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","cta210203","","","","","","",""
"tax_isr_withholding_purchase","ISR Withholding Computed","ISR Withholding Computed","ISR Withholding Computed","","code","purchase","tax_group_isr_withholding","base","invoice","","Retención de ISR Calculada","Retención de ISR Calculada","tax_excluded","","","(base >= 2500) * ((base * -0.05) + ((base - 30000) * -0.02 * (base > 30000)))","True"
"","","","","","","","","tax","invoice","cta210203","","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","cta210203","","","","","","",""
"tax_isr_withholding_sale","ISR Withholding Computed","ISR Withholding Computed","ISR Withholding Computed","","code","sale","tax_group_isr_withholding","base","invoice","","Retención de ISR Calculada","Retención de ISR Calculada","tax_excluded","","","(base >= 2500) * ((base * -0.05) + ((base - 30000) * -0.02 * (base > 30000)))","True"
"","","","","","","","","tax","invoice","cta110304","","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","cta110304","","","","","","",""
"tax_vat_withholding_5_purchase","5% VAT Withholding PEQ","5% VAT Withholding","5% VAT Withholding","","code","purchase","tax_group_vat_withholding","base","invoice","","Retención de IVA del 5%","Retención de IVA del 5%","tax_excluded","","","(base >= 2500) * base * -0.05","True"
"","","","","","","","","tax","invoice","cta210202","","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","cta210202","","","","","","",""
"tax_vat_withholding_5_sale","5% VAT Withholding PEQ","5% VAT Withholding","5% VAT Withholding","","code","sale","tax_group_vat_withholding","base","invoice","","Retención de IVA del 5%","Retención de IVA del 5%","tax_excluded","","","(base >= 2500) * base * -0.05","True"
"","","","","","","","","tax","invoice","cta110302","","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","cta110302","","","","","","",""
"tax_vat_withholding_15_purchase","15% VAT Withholding","15% VAT Withholding","15% VAT Withholding","","code","purchase","tax_group_vat_withholding","base","invoice","","Retención de IVA del 15%","Retención de IVA del 15%","tax_excluded","","","(base >= 2500) * base * -0.018","True"
"","","","","","","","","tax","invoice","cta210202","","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","cta210202","","","","","","",""
"tax_vat_withholding_15_sale","15% VAT Withholding","15% VAT Withholding","15% VAT Withholding","","code","sale","tax_group_vat_withholding","base","invoice","","Retención de IVA del 15%","Retención de IVA del 15%","tax_excluded","","","(base >= 2500) * base * -0.018","True"
"","","","","","","","","tax","invoice","cta110302","","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","cta110302","","","","","","",""
"tax_vat_withholding_25_purchase","25% VAT Withholding","25% VAT Withholding","25% VAT Withholding","","code","purchase","tax_group_vat_withholding","base","invoice","","Retención de IVA del 25%","Retención de IVA del 25%","tax_excluded","","","(base >= 30000) * base * -0.03","True"
"","","","","","","","","tax","invoice","cta210202","","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","cta210202","","","","","","",""
"tax_vat_withholding_25_sale","25% VAT Withholding","25% VAT Withholding","25% VAT Withholding","","code","sale","tax_group_vat_withholding","base","invoice","","Retención de IVA del 25%","Retención de IVA del 25%","tax_excluded","","","(base >= 30000) * base * -0.03","True"
"","","","","","","","","tax","invoice","cta110302","","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","cta110302","","","","","","",""
"tax_vat_withholding_65_purchase","65% VAT Withholding","65% VAT Withholding","65% VAT Withholding","","code","purchase","tax_group_vat_withholding","base","invoice","","Retención de IVA del 65%","Retención de IVA del 65%","tax_excluded","","","(base >= 2500) * base * -0.078","True"
"","","","","","","","","tax","invoice","cta210202","","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","cta210202","","","","","","",""
"tax_vat_withholding_65_sale","65% VAT Withholding","65% VAT Withholding","65% VAT Withholding","","code","sale","tax_group_vat_withholding","base","invoice","","Retención de IVA del 65%","Retención de IVA del 65%","tax_excluded","","","(base >= 2500) * base * -0.078","True"
"","","","","","","","","tax","invoice","cta110302","","","","","","",""
"","","","","","","","","base","refund","","","","","","","",""
"","","","","","","","","tax","refund","cta110302","","","","","","",""
