"id","name","code","account_type","tag_ids/id","chart_template_id/id","reconcile"
"a1010","Salg af vare, m/moms","1010","income","account_tag_revenue","dk_chart_template","False"
"a1011","Salg af ydelser, m/moms","1011","income","account_tag_revenue","dk_chart_template","False"
"a1012","Salg af vare, u/moms","1012","income","account_tag_revenue","dk_chart_template","False"
"a1013","Salg af ydelser, u/moms","1013","income","account_tag_revenue","dk_chart_template","False"
"a1020","Salg af vare, EU","1020","income","account_tag_revenue","dk_chart_template","False"
"a1021","Salg af ydelser, EU","1021","income","account_tag_revenue","dk_chart_template","False"
"a1030","Salg af vare, 3. lande","1030","income","account_tag_revenue","dk_chart_template","False"
"a1031","Salg af ydelser, 3. lande","1031","income","account_tag_revenue","dk_chart_template","False"
"a2010","Direkte omkostninger vare, m/moms","2010","expense_direct_cost","account_tag_direct_costs","dk_chart_template","False"
"a2011","Direkte omkostninger ydelser, m/moms","2011","expense_direct_cost","account_tag_direct_costs","dk_chart_template","False"
"a2012","Direkte omkostninger vare, u/moms","2012","expense_direct_cost","account_tag_direct_costs","dk_chart_template","False"
"a2013","Direkte omkostninger ydelser, u/moms","2013","expense_direct_cost","account_tag_direct_costs","dk_chart_template","False"
"a2020","Direkte omkostninger vare, EU","2020","expense_direct_cost","account_tag_direct_costs","dk_chart_template","False"
"a2021","Direkte omkostninger ydelser, EU","2021","expense_direct_cost","account_tag_direct_costs","dk_chart_template","False"
"a2030","Direkte omkostninger vare, 3. lande","2030","expense_direct_cost","account_tag_direct_costs","dk_chart_template","False"
"a2031","Direkte omkostninger ydelser, 3. lande","2031","expense_direct_cost","account_tag_direct_costs","dk_chart_template","False"
"a2100","Vareforbrug, lagermodul","2100","expense_direct_cost","account_tag_direct_costs","dk_chart_template","False"
"a2110","Prisdifferencer","2110","expense_direct_cost","account_tag_direct_costs","dk_chart_template","False"
"a2600","Lager, primo","2600","expense_direct_cost","account_tag_direct_costs","dk_chart_template","False"
"a2605","Lager, ultimo","2605","expense_direct_cost","account_tag_direct_costs","dk_chart_template","False"
"a2610","Lagerændring","2610","expense_direct_cost","account_tag_direct_costs","dk_chart_template","False"
"a3010","Produktionsløn","3010","expense","account_tag_staff_costs","dk_chart_template","False"
"a3020","Gager","3020","expense","account_tag_staff_costs","dk_chart_template","False"
"a3610","Arbejdskadeforsikring","3610","expense","account_tag_staff_costs","dk_chart_template","False"
"a3620","Ansvarsforsikring","3620","expense","account_tag_staff_costs","dk_chart_template","False"
"a3630","Dagpengeforsikring","3630","expense","account_tag_staff_costs","dk_chart_template","False"
"a3640","Gruppelivsforsikring","3640","expense","account_tag_staff_costs","dk_chart_template","False"
"a3655","ATP-bidrag","3655","expense","account_tag_staff_costs","dk_chart_template","False"
"a3680","Kursusudgifter","3680","expense","account_tag_staff_costs","dk_chart_template","False"
"a3690","Personaleudgifter","3690","expense","account_tag_staff_costs","dk_chart_template","False"
"a3695","Fortæring","3695","expense","account_tag_staff_costs","dk_chart_template","False"
"a3700","Befordringsgodtgørelse","3700","expense","account_tag_staff_costs","dk_chart_template","False"
"a3710","Skattefrie godtgørelser","3710","expense","account_tag_staff_costs","dk_chart_template","False"
"a3740","Arbejdstøj","3740","expense","account_tag_staff_costs","dk_chart_template","False"
"a3810","Refunderet sygedagpenge","3810","expense","account_tag_staff_costs","dk_chart_template","False"
"a3820","Løntilskud","3820","expense","account_tag_staff_costs","dk_chart_template","False"
"a3840","Godtgørelse ATP","3840","expense","account_tag_staff_costs","dk_chart_template","False"
"a4010","Restaurationsbesøg","4010","expense","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4020","Anden repræsentation","4020","expense","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4036","Rejseudgifter","4036","expense","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4040","Hotelophold","4040","expense","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4060","Annoncer","4060","expense","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4065","Erhvervsnetværk","4065","expense","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4070","Dekoration/skilte","4070","expense","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4071","Udstillinger","4071","expense","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4073","Tryksager/brochurer","4073","expense","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4074","Reklame-emballage","4074","expense","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4076","Emballage,salgsomkostninger","4076","expense","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4080","Fragt, porto","4080","expense","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4081","Fragt, porto u/moms","4081","expense","account_tag_sales_promotions_costs","dk_chart_template","False"
"a4102","Brændstof vare/lastbil","4102","expense","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4103","Vægtafgift vare/lastbil","4103","expense","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4104","Forsikring vare/lastbil","4104","expense","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4105","Vedligeholdelse vare/lastbil","4105","expense","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4108","Redningskorps vare/lastbil","4108","expense","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4120","Leje vare/lastbil","4120","expense","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4152","Brændstof personbil","4152","expense","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4153","Vægtafgift personbil","4153","expense","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4154","Forsikring personbil","4154","expense","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4155","Vedligeholdelse personbil","4155","expense","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4158","Redningskorps personbil","4158","expense","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4170","Leje af personbil","4170","expense","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4189","Privat andel af bil, drift af biler","4189","expense","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4190","Kørsel i privat bil","4190","expense","account_tag_cars_equipment_costs","dk_chart_template","False"
"a4205","Leje/leasing af driftsmidler","4205","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4235","Vedligeholdelse, driftsmiddelomkostninger","4235","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4240","Småanskaffelser","4240","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4241","Småanskaffelser o/11.000","4241","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4255","Husleje m/moms","4255","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4256","Husleje u/moms","4256","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4260","Lagerleje","4260","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4265","Garageleje","4265","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4271","Varme","4271","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4275","El og vand","4275","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4276","Refunderet energiafgift","4276","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4285","Privat andel el, vand","4285","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4291","Vedligeholdelse, lokaleomkostninger","4291","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4295","Rengøring","4295","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4296","Renovation","4296","expense","account_tag_rooms_costs","dk_chart_template","False"
"a4302","Kontorartikler/tryksager","4302","expense","account_tag_administration_costs","dk_chart_template","False"
"a4307","Inkassoomkostninger","4307","expense","account_tag_administration_costs","dk_chart_template","False"
"a4308","Vedligeholdelse inventar","4308","expense","account_tag_administration_costs","dk_chart_template","False"
"a4310","EDB-udgifter","4310","expense","account_tag_administration_costs","dk_chart_template","False"
"a4311","Mail/Webhotel","4311","expense","account_tag_administration_costs","dk_chart_template","False"
"a4312","Løbende backup","4312","expense","account_tag_administration_costs","dk_chart_template","False"
"a4316","Telefon","4316","expense","account_tag_administration_costs","dk_chart_template","False"
"a4322","Privat andel telefon","4322","expense","account_tag_administration_costs","dk_chart_template","False"
"a4325","Internet","4325","expense","account_tag_administration_costs","dk_chart_template","False"
"a4327","Porto","4327","expense","account_tag_administration_costs","dk_chart_template","False"
"a4335","Regnskabsassistance","4335","expense","account_tag_administration_costs","dk_chart_template","False"
"a4338","Databehandling","4338","expense","account_tag_administration_costs","dk_chart_template","False"
"a4340","Advokathonorar","4340","expense","account_tag_administration_costs","dk_chart_template","False"
"a4343","Konsulentbistand","4343","expense","account_tag_administration_costs","dk_chart_template","False"
"a4350","Forsikringer","4350","expense","account_tag_administration_costs","dk_chart_template","False"
"a4351","Vagtværn/alarmsystem","4351","expense","account_tag_administration_costs","dk_chart_template","False"
"a4360","Faglitteratur/tidsskrifter","4360","expense","account_tag_administration_costs","dk_chart_template","False"
"a4370","Kontingenter","4370","expense","account_tag_administration_costs","dk_chart_template","False"
"a4381","Tab på debitorer","4381","expense","account_tag_administration_costs","dk_chart_template","False"
"a4392","Øvrige kapacitetsudgifter","4392","expense","account_tag_administration_costs","dk_chart_template","False"
"a4451","Driftsafskrivninger, grunde og bygninger","4451","expense_depreciation","account_tag_depreciation","dk_chart_template","False"
"a4454","Driftsafskrivninger, andre anlæg, driftsmateriel og inventar","4454","expense_depreciation","account_tag_depreciation","dk_chart_template","False"
"a4651","Renteindtægter, bank","4651","income_other","account_tag_financial_income","dk_chart_template","False"
"a4664","Renteindtægter, debitorer","4664","income_other","account_tag_financial_income","dk_chart_template","False"
"a4660","Kasserabat","4660","income_other","account_tag_financial_income","dk_chart_template","False"
"a4670","Kursgevinster","4670","income_other","account_tag_financial_income","dk_chart_template","False"
"a4680","Gebyrer, indtægter","4680","income_other","account_tag_financial_income","dk_chart_template","False"
"a4730","Renteudgifter, bank","4730","expense","account_tag_financial_expenses","dk_chart_template","False"
"a4740","Renteudgifter, realkredit","4740","expense","account_tag_financial_expenses","dk_chart_template","False"
"a4743","Renteudgifter, kreditorer","4743","expense","account_tag_financial_expenses","dk_chart_template","False"
"a4744","Renteudgifter, kontrakter","4744","expense","account_tag_financial_expenses","dk_chart_template","False"
"a4745","Renteudgifter, pantebreve","4745","expense","account_tag_financial_expenses","dk_chart_template","False"
"a4746","Renteudgifter, ej fradrag","4746","expense","account_tag_financial_expenses","dk_chart_template","False"
"a4750","Garantiprovision","4750","expense","account_tag_financial_expenses","dk_chart_template","False"
"a4755","Gebyrer, udgifter","4755","expense","account_tag_financial_expenses","dk_chart_template","False"
"a4760","Kasserabat","4760","expense","account_tag_financial_expenses","dk_chart_template","False"
"a4766","Låneomkostninger","4766","expense","account_tag_financial_expenses","dk_chart_template","False"
"a4770","Kurstab","4770","expense","account_tag_financial_expenses","dk_chart_template","False"
"a4805","Fortjeneste, salg anlæg","4805","income_other","account_tag_extraordinary_income","dk_chart_template","False"
"a4819","Indtægter vedr. tidl. år","4819","income_other","account_tag_extraordinary_income","dk_chart_template","False"
"a4847","Andre ekstraordinære indtægter","4847","income_other","account_tag_extraordinary_income","dk_chart_template","False"
"a4854","Tab, salg anlæg","4854","expense","account_tag_extraordinary_expenses","dk_chart_template","False"
"a4890","Udgifter vedr. tidl. år","4890","expense","account_tag_extraordinary_expenses","dk_chart_template","False"
"a4895","Andre ekstraordinære udgifter","4895","expense","account_tag_extraordinary_expenses","dk_chart_template","False"
"a5201","Kostpris, primo,goodwill, licenser mm.","5201","asset_non_current","account_tag_Goodwill_licenses_etc","dk_chart_template","False"
"a5202","Tilgang i årets løb, goodwill, licenser mm.","5202","asset_non_current","account_tag_Goodwill_licenses_etc","dk_chart_template","False"
"a5203","Afgang i årets løb,goodwill, licenser mm.","5203","asset_non_current","account_tag_Goodwill_licenses_etc","dk_chart_template","False"
"a5204","Afskrivninger primo, goodwill, licenser mm.","5204","asset_non_current","account_tag_Goodwill_licenses_etc","dk_chart_template","False"
"a5205","Afskrivninger på afgang, goodwill, licenser mm.","5205","asset_non_current","account_tag_Goodwill_licenses_etc","dk_chart_template","False"
"a5206","Årsafskrivning, goodwill, licenser mm.","5206","asset_non_current","account_tag_Goodwill_licenses_etc","dk_chart_template","False"
"a5511","Kostpris, primo, grunde og bygninger","5511","asset_fixed","account_tag_land_buildings","dk_chart_template","False"
"a5512","Tilgang i årets løb,grunde og bygninger","5512","asset_fixed","account_tag_land_buildings","dk_chart_template","False"
"a5513","Afgang i årets løb,grunde og bygninger","5513","asset_fixed","account_tag_land_buildings","dk_chart_template","False"
"a5514","Afskrivninger primo, grunde og bygninger","5514","asset_fixed","account_tag_land_buildings","dk_chart_template","False"
"a5515","Afskrivninger på afgang, grunde og bygninger","5515","asset_fixed","account_tag_land_buildings","dk_chart_template","False"
"a5516","Årsafskrivning, grunde og bygninger","5516","asset_fixed","account_tag_land_buildings","dk_chart_template","False"
"a5701","Kostpris, primo, andre anlæg, driftsmateriel og inventar","5701","asset_fixed","account_tag_other_equipment_tools_inventory","dk_chart_template","False"
"a5702","Tilgang i årets løb, andre anlæg, driftsmateriel og inventar","5702","asset_fixed","account_tag_other_equipment_tools_inventory","dk_chart_template","False"
"a5703","Afgang i årets løb, andre anlæg, driftsmateriel og inventar","5703","asset_fixed","account_tag_other_equipment_tools_inventory","dk_chart_template","False"
"a5704","Afskrivninger primo, andre anlæg, driftsmateriel og inventar","5704","asset_fixed","account_tag_other_equipment_tools_inventory","dk_chart_template","False"
"a5705","Afskrivninger på afgang, andre anlæg, driftsmateriel og inventar","5705","asset_fixed","account_tag_other_equipment_tools_inventory","dk_chart_template","False"
"a5706","Årsafskrivning, andre anlæg, driftsmateriel og inventar","5706","asset_fixed","account_tag_other_equipment_tools_inventory","dk_chart_template","False"
"a6510","Råvarer","6510","asset_current","account_tag_inventories","dk_chart_template","False"
"a6520","Varer under fremstilling","6520","asset_current","account_tag_inventories","dk_chart_template","False"
"a6525","Fremstillede færdigvarer","6525","asset_current","account_tag_inventories","dk_chart_template","False"
"a6530","Varelager","6530","asset_current","account_tag_inventories","dk_chart_template","False"
"a6540","Igangværende arbejder","6540","asset_current","account_tag_work_in_progress","dk_chart_template","False"
"a6580","Forudbetaling for varer","6580","asset_prepayments","account_tag_prepayments","dk_chart_template","False"
"a6610","Debitorer","6610","asset_receivable","account_tag_receivable","dk_chart_template","True"
"a6611","Debitorer (PoS)","6611","asset_receivable","account_tag_receivable","dk_chart_template","True"
"a6640","Andre tilgodehavender","6640","asset_current","account_tag_other_receivables","dk_chart_template","False"
"a6650","Kundekort/Kreditkort","6650","asset_current","account_tag_other_receivables","dk_chart_template","False"
"a6655","Depositum","6655","asset_non_current","account_tag_other_receivables","dk_chart_template","False"
"a6670","Varer leveret, faktura ikke sendt","6670","asset_current","account_tag_other_receivables","dk_chart_template","True"
"a6680","Periodeafgrænsningsposter, tilgodehavender","6680","asset_current","account_tag_other_receivables","dk_chart_template","True"
"a6860","Bundne likvider","6860","asset_cash","account_tag_liquidity","dk_chart_template","True"
"a7210","Egenkapital, primo","7210","equity","account_tag_equity_individual_enterprises","dk_chart_template","False"
"a7220","Indskud","7220","equity","account_tag_equity_individual_enterprises","dk_chart_template","False"
"a7230","Hævet privat","7230","equity","account_tag_equity_individual_enterprises","dk_chart_template","False"
"a7240","B-skatter og AM-bidrag","7240","equity","account_tag_equity_individual_enterprises","dk_chart_template","False"
"a7245","Restskat og overskydende skat","7245","equity","account_tag_equity_individual_enterprises","dk_chart_template","False"
"a7250","Forbrug af egne varer, egenkapital","7250","equity","account_tag_equity_individual_enterprises","dk_chart_template","False"
