"type","name","res_id","src","value"
"selection","workflow.activity,kind",0,"Dummy",FAUX
"selection","account.tax,applicable_type",0,"True",VRAI
"rml","account.vat.declaration",0,"-"," "
"rml","account.vat.declaration",0,"General Account"," "
"wizard_view","hr_timesheet.si_so,sign_out",0,"Sign in / Sign out"," ""Pointer l'entrée / Pointer la sortie"""
"model","ir.actions.wizard,name",100,"Sign in / Sign out"," ""Pointer l'entrée / Pointer la sortie"""
"rml","account.analytic.account.journal",0,"-","-"
"rml","account.analytic.account.journal",0,"-","-"
"rml","account.analytic.account.journal",0,"-","-"
"rml","ir.module.reference",0,",",","
"rml","account.invoice",0,":",":"
"rml","account.rappel",0,":",":"
"rml","account.rappel",0,".","."
"rml","account.tax.code.entries",0,"(","("
"wizard_view","crm.case.make_order,init",0,"(Keep Empty for default value)","(Garder vide pour la valeur par défaut)"
"wizard_view","hr_timesheet.si_so,sign_out",0,"(Keep empty for current time)","(Garder vide pour le moment)"
"view","account.invoice",0,"(keep empty to use the current period)","(Garder vide pour utiliser la période courante)"
"wizard_view","hr_timesheet.si_so,sign_out",0,"(local time on the server side)","(Heure locale du côté serveur)"
"rml","account.tax.code.entries",0,")",")"
"rml","account.analytic.profit",0,"%","%"
"rml","account.budget",0,"%","%"
"rml","account.analytic.profit",0,"%","%"
"rml","account.analytic.profit",0,"%","%"
"rml","account.budget",0,"%","%"
"rml","account.budget",0,"% performance","% réalisation"
"view","crm.case.rule",0,"%(case_date)s = Creation date","%(case_date)s = Date de création"
"view","crm.case.rule",0,"%(case_id)s = Case ID","%(case_id)s = ID du cas"
"view","crm.case.rule",0,"%(case_subject)s = Case subject","%(case_subject)s = Sujet du cas"
"view","crm.case.rule",0,"%(case_user_email)s = Responsible email","%(case_user_email)s = Email du responsable"
"view","crm.case.rule",0,"%(case_user_phone)s = Responsible phone","%(case_user_phone)s = Téléphone du responsable"
"view","crm.case.rule",0,"%(case_user)s = Responsible name","%(case_user)s = Nom du responsable"
"view","crm.case.rule",0,"%(email_from)s = Partner email","%(email_from)s = Email partenaire"
"view","crm.case.rule",0,"%(partner_email)s = Partner email","%(partner_email)s = email partenaire"
