type,name,res_id,src,value
field",account.account,close_method",0,Deferral Method,Deferral Metodo
field",account.account,code",0,Code,Codigo
field",account.account,tax_ids",0,Default Taxes,
field",account.account,name",0,Name,Nombre
model,"account.account,name",1,Main Receivable,Por Cobrar Principal
model,"account.account,name",2,Main Payable,Por Pagar Principal
model,"account.account,name",3,Petty Cash,Caja Chica
model,"account.account,name",4,Products Purchase,Compra de Productos
model,"account.account,name",5,Products Sales,Venta de Productos
field",account.account,credit",0,Credit,Credito
field",account.account,company_id",0,Company,
field",account.account,shortcut",0,Shortcut,Atajo
field",account.account,sign",0,Sign,Signo
field",account.account,currency_id",0,Currency,Moneda
field",account.account,parent_id",0,Parents,Padres
field",account.account,note",0,Note,Nota
field",account.account,debit",0,Debit,Debito(Pasivo)
field",account.account,active",0,Active,Activo
field",account.account,child_id",0,Children,Hijos
field",account.account,balance",0,Balance,Balance
field",account.account,type",0,Account Type,Tipo Cuenta
field",account.account,reconcile",0,Reconcile,Reconciliar
field",account.account.type,code",0,Code,Codigo
field",account.account.type,name",0,Acc. Type Name,Acc.Tipo Nombre
model,"account.account.type,name",1,Receivable,Por Cobrar
model,"account.account.type,name",2,Payable,Por Cobrar
model,"account.account.type,name",3,View,Vista
model,"account.account.type,name",4,Income,Ingreso
model,"account.account.type,name",5,Expense,Gasto
model,"account.account.type,name",6,Tax,Impuesto
model,"account.account.type,name",7,Cash,Caja
model,"account.account.type,name",8,Asset,Activo
model,"account.account.type,name",9,Equity,Capital
field",account.account.type,code_from",0,Code From,Codigo de
field",account.account.type,sequence",0,Sequence,Secuencia
field",account.account.type,close_method",0,Deferral Method,Deferral Metodo
field",account.account.type,partner_account",0,Partner account,Cuenta Socio
field",account.account.type,code_to",0,Code To,Codigo a
field",account.analytic.account,partner_id",0,Associated partner,
field",account.analytic.account,code",0,Account code,
field",account.analytic.account,date",0,Date End,
field",account.analytic.account,name",0,Account name,
field",account.analytic.account,credit",0,Balance,
field",account.analytic.account,quantity_max",0,Maximal quantity,
field",account.analytic.account,date_start",0,Date Start,
field",account.analytic.account,child_ids",0,Childs Accounts,
field",account.analytic.account,contact_id",0,Contact,
field",account.analytic.account,parent_id",0,Parent Cost account,
field",account.analytic.account,stats_ids",0,Statistics,
field",account.analytic.account,complete_name",0,Account Name,
field",account.analytic.account,debit",0,Balance,
field",account.analytic.account,active",0,Active,
field",account.analytic.account,line_ids",0,Analytic entries,
field",account.analytic.account,balance",0,Balance,
field",account.analytic.account,type",0,type,
field",account.analytic.account,quantity",0,Quantity,
field",account.analytic.account,description",0,Description,
field",account.analytic.journal,active",0,Active,
field",account.analytic.journal,line_ids",0,Lines,
field",account.analytic.journal,code",0,Journal code,
field",account.analytic.journal,type",0,Type,
field",account.analytic.journal,name",0,Journal name,
field",account.analytic.line,code",0,Code,
field",account.analytic.line,user_id",0,User,
field",account.analytic.line,name",0,Description,
field",account.analytic.line,general_account_id",0,General account,
field",account.analytic.line,product_uom_id",0,UoM,
field",account.analytic.line,journal_id",0,Analytic journal,
field",account.analytic.line,account_id",0,Analytic Account,
field",account.analytic.line,amount",0,Amount,
field",account.analytic.line,unit_amount",0,Quantity,
field",account.analytic.line,date",0,Date,
field",account.analytic.line,move_id",0,General entry,
field",account.analytic.line,product_id",0,Product,
field",account.bank,note",0,Notes,Notas Prospeccion
field",account.bank,code",0,Code,Codigo
field",account.bank,partner_id",0,Bank Partner,Socio
field",account.bank,name",0,Bank Name,Nombre Banco
field",account.bank,bank_account_ids",0,Bank Accounts,Cuentas Banco
field",account.bank.account,code",0,Code,Codigo
field",account.bank.account,name",0,Bank Account,Nombre Banco
field",account.bank.account,journal_id",0,Journal,
field",account.bank.account,bank_id",0,Bank,Banco
field",account.bank.account,currency_id",0,Currency,Moneda
field",account.bank.account,iban",0,IBAN,Socio
field",account.bank.account,swift",0,Swift Code,
field",account.bank.account,account_id",0,General Account,Cuenta
field",account.bank.statement,name",0,Name,Nombre
field",account.bank.statement,state",0,State,Estado
field",account.bank.statement,balance_end",0,Balance,Balance Final
field",account.bank.statement,balance_start",0,Starting Balance,Balance Inicial
field",account.bank.statement,journal_id",0,Journal,
field",account.bank.statement,move_line_ids",0,Entry lines,
field",account.bank.statement,period_id",0,Period,
field",account.bank.statement,date",0,Date,Fecha
field",account.bank.statement,line_ids",0,Statement lines,Movimiento Lineas
field",account.bank.statement,balance_end_real",0,Ending Balance,Saldo final (real)
field",account.bank.statement.line,name",0,Name,
field",account.bank.statement.line,type",0,Type,
field",account.bank.statement.line,statement_id",0,Statement,
field",account.bank.statement.line,amount",0,Amount,
field",account.bank.statement.line,date",0,Date,
field",account.bank.statement.line,partner_id",0,Partner,
field",account.bank.statement.line,account_id",0,Account,
field",account.budget.post,sens",0,Direction,Direccion
field",account.budget.post,code",0,Code,Numero
field",account.budget.post,dotation_ids",0,Expenses,Gastos
field",account.budget.post,name",0,Name,Etiqueta
field",account.budget.post,account_ids",0,Accounts,Cuentas
field",account.budget.post.dotation,post_id",0,Item,Item
field",account.budget.post.dotation,amount",0,Amount,Montante
field",account.budget.post.dotation,period_id",0,Period,Periodo
field",account.budget.post.dotation,name",0,Name,Nombre
field",account.budget.post.dotation,quantity",0,Quantity,Cantidad
field",account.fiscalyear,date_stop",0,End date,Fecha Final
field",account.fiscalyear,code",0,Code,Codigo
field",account.fiscalyear,name",0,Fiscal Year,Año Fiscal
field",account.fiscalyear,date_start",0,Start date,Fecha Comienzo
field",account.fiscalyear,company_id",0,Company,
field",account.fiscalyear,period_ids",0,Periods,Periodos
field",account.fiscalyear,state",0,State,Estado
field",account.invoice,origin",0,Origin,Origen
field",account.invoice,comment",0,Additionnal Information,Informacion Adiccional
field",account.invoice,date_due",0,Due Date,Fecha Vencimiento
field",account.invoice,reference",0,Invoice Reference,Referencia Factura
field",account.invoice,payment_term",0,Payment Term,Formas de Pago
field",account.invoice,partner_contact",0,Partner Contact,Contacto Empresa
field",account.invoice,number",0,Invoice Number,Numero Factura
field",account.invoice,currency_id",0,Currency,
field",account.invoice,address_invoice_id",0,Invoice Address,Direccion Factura
field",account.invoice,partner_id",0,Partner,Empresa
field",account.invoice,amount_untaxed",0,Untaxed Amount,Cantidades sin Impuestos
field",account.invoice,tax_line",0,Tax Lines,Lineas Impuestos
field",account.invoice,journal_id",0,Journal,Diario
field",account.invoice,amount_tax",0,Tax,Cantidad Impuestos
field",account.invoice,state",0,State,Estado
field",account.invoice,project_id",0,Analytic Account,Control Gastos/Ingresos
field",account.invoice,type",0,Type,Tipo
field",account.invoice,invoice_line",0,Invoice Lines,Lineas factura
field",account.invoice,account_id",0,Dest Account,Cuenta Destino
field",account.invoice,date_invoice",0,Date Invoiced,Dia Facturacion
field",account.invoice,period_id",0,Force Period,
field",account.invoice,partner_ref",0,Partner Reference,Referencia Empresa
field",account.invoice,move_id",0,Invoice Movement,Movimiento Factura
field",account.invoice,amount_total",0,Total,Cantidad Total
field",account.invoice,name",0,Invoice Description,Descripcion Factura
field",account.invoice,address_contact_id",0,Contact Address,Direccion Contacto
field",account.invoice.line,uos_id",0,Unit,Unidad de Venta
field",account.invoice.line,name",0,Description,Descripcion
field",account.invoice.line,invoice_id",0,Invoice Ref,Referencia Factura
field",account.invoice.line,price_unit",0,Unit Price,Precio Unitario
field",account.invoice.line,price_subtotal",0,Subtotal,Subtotal
field",account.invoice.line,invoice_line_tax_id",0,Taxes,Impuestos
field",account.invoice.line,note",0,Notes,
field",account.invoice.line,discount",0,Discount (%),
field",account.invoice.line,product_id",0,Product,
field",account.invoice.line,quantity",0,Quantity,Cantidad
field",account.invoice.line,account_id",0,Source Account,Cuenta Fuente
field",account.invoice.tax,tax_amount",0,Tax Code Amount,
field",account.invoice.tax,name",0,Tax Description,Descripcion Impuesto
field",account.invoice.tax,sequence",0,Sequence,
field",account.invoice.tax,invoice_id",0,Invoice Line,Linea Factura
field",account.invoice.tax,manual",0,Manual,Manual
field",account.invoice.tax,base_amount",0,Base Code Amount,
field",account.invoice.tax,base_code_id",0,Base Code,
field",account.invoice.tax,tax_code_id",0,Tax Code,
field",account.invoice.tax,amount",0,Amount,Cantidad
field",account.invoice.tax,base",0,Base,
field",account.invoice.tax,account_id",0,Tax Account,Cuenta Impuesto
field",account.journal,default_debit_account_id",0,Default Debit Account,Cuenta Debito por Defecto
field",account.journal,groups_id",0,Groups,Grupos
field",account.journal,update_posted",0,Allow Cancelling Entries,
field",account.journal,code",0,Code,Codigo
field",account.journal,user_id",0,User,
field",account.journal,name",0,Journal Name,Nombre Diario
field",account.journal,centralisation",0,Centralisation,
field",account.journal,view_id",0,View,Vista
field",account.journal,type_control_ids",0,Type Controls,
field",account.journal,sequence_id",0,Entry Sequence,Secuencia Movimiento
field",account.journal,active",0,Active,Activo
field",account.journal,type",0,Type,Tipo
field",account.journal,default_credit_account_id",0,Default Credit Account,Cuenta Credito por Defecto
field",account.journal.column,name",0,Column Name,Nombre Columna
field",account.journal.column,sequence",0,Sequence,Secuencia
field",account.journal.column,view_id",0,Journal View,Vista Diario
field",account.journal.column,required",0,Required,Requerido
field",account.journal.column,field",0,Field Name,Nombre Campo
field",account.journal.column,readonly",0,Readonly,Solo Lectura
field",account.journal.period,name",0,Journal-Period Name,Nombre Diario-Periodo
field",account.journal.period,journal_id",0,Journal,Diario
field",account.journal.period,state",0,State,Estado
field",account.journal.period,period_id",0,Period,Periodo
field",account.journal.period,active",0,Active,
field",account.journal.period,icon",0,Icon,Icono
field",account.journal.view,columns_id",0,Columns,Columnas
field",account.journal.view,name",0,Journal View,Vista Diario
field",account.model,lines_id",0,Model Entries,Modelo Transacciones
field",account.model,ref",0,Ref,Ref
field",account.model,name",0,Model Name,Nombre Movimiento
field",account.model,journal_id",0,Journal,Diario
field",account.model.line,model_id",0,Model,Modelo
field",account.model.line,name",0,Name,Nombre
field",account.model.line,sequence",0,Sequence,Secuencia
field",account.model.line,partner_id",0,Partner Ref.,Ref Empresa
field",account.model.line,account_id",0,Account,Cuenta
field",account.model.line,currency_id",0,Currency,Moneda
field",account.model.line,credit",0,Credit,Credito
field",account.model.line,date_maturity",0,Maturity date,Dia Madurez
field",account.model.line,debit",0,Debit,Debito
field",account.model.line,date",0,Current Date,Fecha Cambio
field",account.model.line,amount_currency",0,Amount Currency,Cantidad Cambio
field",account.model.line,ref",0,Ref.,Ref.
field",account.model.line,quantity",0,Quantity,Cantidad
field",account.move,name",0,Entry Name,Nombre Movimiento
field",account.move,journal_id",0,Journal,Diario
field",account.move,line_id",0,Entries,Transacciones
field",account.move,state",0,State,Estado 
field",account.move,period_id",0,Period,Periodo
field",account.move,ref",0,Ref,Ref.
field",account.move.line,analytic_lines",0,Analytic lines,
field",account.move.line,statement_id",0,Statement,Declaracion
field",account.move.line,currency_id",0,Currency,Moneda
field",account.move.line,active",0,Active,
field",account.move.line,date_maturity",0,Maturity date,Fecha Madurez
field",account.move.line,partner_id",0,Partner Ref.,Referencia Empresa
field",account.move.line,blocked",0,Litigation,Declaracion
field",account.move.line,centralisation",0,Centralisation,
field",account.move.line,journal_id",0,Journal,Diario
field",account.move.line,tax_code_id",0,Tax Account,
field",account.move.line,state",0,State,Estado
field",account.move.line,debit",0,Debit,Debito
field",account.move.line,ref",0,Ref.,Ref.
field",account.move.line,account_id",0,Account,Cuenta
field",account.move.line,period_id",0,Period,Periodo
field",account.move.line,date_created",0,Creation date,Fecha Creacion
field",account.move.line,date",0,Effective date,Fecha
field",account.move.line,move_id",0,Entry,Movimiento
field",account.move.line,reconcile_id",0,Reconcile,Reconciliar
field",account.move.line,tax_amount",0,Tax/Base Amount,
field",account.move.line,name",0,Name,Nombre 
field",account.move.line,credit",0,Credit,Credito
field",account.move.line,amount_currency",0,Amount Currency,Cantidad Moneda
field",account.move.line,balance",0,Balance,Balance
field",account.move.line,quantity",0,Quantity,Cantidad
field",account.move.reconcile,line_id",0,Entry lines,Lineas Movimiento
field",account.move.reconcile,type",0,Type,Tipos
field",account.move.reconcile,name",0,Name,Nombre 
field",account.payment.term,active",0,Active,Activo
field",account.payment.term,note",0,Description,Descripcion
field",account.payment.term,name",0,Payment Term,Formas de Pago
field",account.payment.term,line_ids",0,Terms,Formas
field",account.payment.term.line,payment_id",0,Payment Term,Forma de Pago
field",account.payment.term.line,name",0,Line Name,Nombre Linea
field",account.payment.term.line,sequence",0,Sequence,Secuencia
field",account.payment.term.line,days",0,Number of Days,Numero de Dias
field",account.payment.term.line,value",0,Value,Valor
field",account.payment.term.line,condition",0,Condition,Condicion
field",account.payment.term.line,value_amount",0,Value Amount,Valor Cantidad
field",account.period,date_stop",0,End of period,Final de Periodo
field",account.period,code",0,Code,Codigo
field",account.period,name",0,Period Name,Nombre Periodo
field",account.period,date_start",0,Start of period,Comienzo periodo
field",account.period,state",0,State,Estado
field",account.period,fiscalyear_id",0,Fiscal Year,Año Fiscal
field",account.subscription,model_id",0,Model,Modelo
field",account.subscription,period_nbr",0,Period,Periodo
field",account.subscription,lines_id",0,Subscription Lines,Lineas Subscripcion
field",account.subscription,name",0,Name,Nombre
field",account.subscription,date_start",0,Starting date,Fecha Comienzo
field",account.subscription,period_total",0,Number of period,Numero de periodo
field",account.subscription,state",0,State,Estado
field",account.subscription,period_type",0,Period Type,Tipo Periodo
field",account.subscription,ref",0,Ref.,Ref.
field",account.subscription.line,date",0,Date,Fecha
field",account.subscription.line,subscription_id",0,Subscription,Subscripcion
field",account.subscription.line,move_id",0,Entry,Movimiento
field",account.tax,domain",0,Domain,Dominio
field",account.tax,ref_tax_code_id",0,Tax Code,
field",account.tax,sequence",0,Sequence,
field",account.tax,base_sign",0,Base Code Sign,
field",account.tax,child_depend",0,Tax on Childs,Impuesto depende de sus Hijos
field",account.tax,applicable_type",0,Applicable Type,Tipo Aplicable
field",account.tax,company_id",0,Company,
field",account.tax,name",0,Tax Name,Nombre Impuesto
field",account.tax,tax_code_id",0,Tax Code,
field",account.tax,parent_id",0,Parent Tax Account,Cuenta Impuestos Padre
field",account.tax,ref_tax_sign",0,Tax Code Sign,
field",account.tax,python_applicable",0,Python Code,Codigo Python
field",account.tax,type",0,Tax Type,Tipo Impuesto
field",account.tax,ref_base_sign",0,Base Code Sign,
field",account.tax,tax_group",0,Tax Group,
field",account.tax,child_ids",0,Childs Tax Account,Cuenta Impuestos Hijos
field",account.tax,base_code_id",0,Base Code,
field",account.tax,active",0,Active,Activo
field",account.tax,ref_base_code_id",0,Base Code,
field",account.tax,account_paid_id",0,Paid Tax Account,Cuenta Impuestos Pagados
field",account.tax,account_collected_id",0,Collected Tax Account,Cuenta Impuestos Collected
field",account.tax,amount",0,Amount,Cantidad
field",account.tax,python_compute",0,Python Code,Codigo Python
field",account.tax,tax_sign",0,Tax Code Sign,
field",account.tax.code,info",0,Description,
field",account.tax.code,code",0,Case Code,
field",account.tax.code,name",0,Tax Case Name,
field",account.tax.code,sum",0,Year Sum,
field",account.tax.code,child_ids",0,Childs Codes,
field",account.tax.code,parent_id",0,Parent Code,
field",account.tax.code,line_ids",0,Lines,
field",account.tax.code,sum_period",0,Period Sum,
field",account.transfer,name",0,Description,Descripcion
field",account.transfer,reference",0,Reference,Referencia 
field",account.transfer,type",0,Transfer Type,Tipo Transaccion
field",account.transfer,journal_id",0,Journal,Diario
field",account.transfer,adjust_account_id",0,Adjustement Account,Cuenta Ajustes
field",account.transfer,state",0,State,Estado
field",account.transfer,account_dest_id",0,Destination Account,Cuenta Destino
field",account.transfer,period_id",0,Period,Periodo
field",account.transfer,move_id",0,Entry,Transacciones
field",account.transfer,invoice_id",0,Invoices,Facturas
field",account.transfer,date",0,Payment Date,Fecha de Pago
field",account.transfer,adjust_amount",0,Adjustement amount,Cuenta Ajustes
field",account.transfer,amount",0,Amount,Cantidad
field",account.transfer,project_id",0,Analytic Account,Ingresos/Costes Ctr
field",account.transfer,partner_id",0,Partner,Empresa
field",account.transfer,account_src_id",0,Source Account,Cuenta Fuente
field",account.transfer,change",0,Amount Changed,Cantidad Cambiada
code,/usr/lib/tinyerp-server/service/security.py,0,Bad username or password,
code,/usr/lib/tinyerp-server/service/security.py,0,Bad username or password,
selection,"account.account,close_method",0,None,Ninguno
selection,"account.account,close_method",0,Balance,Balance
selection,"account.account,close_method",0,Detail,Detalle
selection,"account.account,close_method",0,Unreconciled,No reconciliables
selection,"account.account,sign",0,Negative,
selection,"account.account,sign",0,Positive,
selection,"account.account.type,close_method",0,None,Ninguno
selection,"account.account.type,close_method",0,Balance,Balance
selection,"account.account.type,close_method",0,Detail,Detalle
selection,"account.account.type,close_method",0,Unreconciled,No reconciliado
selection,"account.analytic.account,type",0,View,
selection,"account.analytic.account,type",0,Normal,
selection,"account.analytic.journal,type",0,Sale,
selection,"account.analytic.journal,type",0,Purchase,
selection,"account.analytic.journal,type",0,Cash,
selection,"account.analytic.journal,type",0,General,
selection,"account.analytic.journal,type",0,Situation,
selection,"account.bank.statement,state",0,Draft,Borrador
selection,"account.bank.statement,state",0,Confirm,
selection,"account.bank.statement.line,type",0,Supplier,
selection,"account.bank.statement.line,type",0,Customer,
selection,"account.bank.statement.line,type",0,General,
selection,"account.budget.post,sens",0,Charge,Cargo
selection,"account.budget.post,sens",0,Product,Producto
selection,"account.fiscalyear,state",0,Draft,Borrador
selection,"account.fiscalyear,state",0,Done,Hecho
selection,"account.invoice,state",0,Draft,Borrador
selection,"account.invoice,state",0,Pro-forma,Pro-forma
selection,"account.invoice,state",0,Open,Abierto
selection,"account.invoice,state",0,Paid,Pagado
selection,"account.invoice,state",0,Canceled,Cancelado
selection,"account.invoice,type",0,Customer Invoice,Factura Cliente
selection,"account.invoice,type",0,Supplier Invoice,Factura Proveedor
selection,"account.invoice,type",0,Customer Refund,Devolucion Cliente
selection,"account.invoice,type",0,Supplier Refund,Devolucion Proveedor
selection,"account.journal,type",0,Sale,Venta
selection,"account.journal,type",0,Purchase,Compra
selection,"account.journal,type",0,Cash,Metalico
selection,"account.journal,type",0,General,General
selection,"account.journal,type",0,Situation,Situacion
selection,"account.journal.period,state",0,Draft,Borrador
selection,"account.journal.period,state",0,Printed,Impreso
selection,"account.journal.period,state",0,Done,Hecho
selection,"account.model.line,date_maturity",0,Date of the day,
selection,"account.model.line,date_maturity",0,Partner Payment Term,Forma Pago Empresa
selection,"account.model.line,date",0,Date of the day,
selection,"account.model.line,date",0,Partner Payment Term,Forma Pago Empresa
selection,"account.move,state",0,Draft,Borrador
selection,"account.move,state",0,Posted,Fijado
selection,"account.move.line,centralisation",0,Normal,
selection,"account.move.line,centralisation",0,Credit Centralisation,
selection,"account.move.line,centralisation",0,Debit Centralisation,
selection,"account.move.line,state",0,Draft,Borrador
selection,"account.move.line,state",0,Valid,
selection,"account.move.line,state",0,Reconciled,Reconciliado
