type,name,res_id,src,value
field,"account.account,close_method",0,Deferral Method,Método de diferimiento
help,"account.account,close_method",0,Tell Tiny ERP how to process the entries of this account when you close a fiscal year. None removes all entries to start with an empty account for the new fiscal year. Balance creates only one entry to keep the balance for the new fiscal year. Detail keeps the detail of all entries of the preceeding years. Unreconciled keeps the detail of unreconciled entries only.,
field,"account.account,company_currency_id",0,Company Currency,
field,"account.account,code",0,Code,Código
field,"account.account,tax_ids",0,Default Taxes,Impuestos predeterminados
field,"account.account,name",0,Name,Nombre
model,"account.account,name",account.minimal_0,Minimal account chart,
model,"account.account,name",account.a_recv,Main Receivable,Cuentas por Cobrar General
model,"account.account,name",account.a_pay,Main Payable,Cuentas a Pagar
model,"account.account,name",account.cash,Petty Cash,Caja Chica
model,"account.account,name",account.a_expense,Products Purchase,Compra de Productos
model,"account.account,name",account.a_sale,Products Sales,Venta de Productos
field,"account.account,credit",0,Credit,Crédito
field,"account.account,company_id",0,Company,
field,"account.account,shortcut",0,Shortcut,Abreviatura
field,"account.account,sign",0,Sign,Signo
help,"account.account,sign",0,Allows to change the displayed amount of the balance to see positive results instead of negative ones in expenses accounts,
field,"account.account,currency_id",0,Secondary Currency,Moneda
help,"account.account,currency_id",0,Force all moves for this account to have this secondary currency.,
field,"account.account,parent_id",0,Parents,"Cuenta ""padre"""
field,"account.account,note",0,Note,Notas
field,"account.account,debit",0,Debit,Débito
field,"account.account,active",0,Active,Activo
field,"account.account,child_id",0,Children,"Cuenta ""hija"""
field,"account.account,balance",0,Balance,Balance
field,"account.account,type",0,Account Type,Tipo de Cuenta
field,"account.account,reconcile",0,Reconcile,Conciliar
help,"account.account,reconcile",0,Check this account if the user can make a reconciliation of the entries in this account.,
field,"account.account.type,code",0,Code,Código
field,"account.account.type,name",0,Acc. Type Name,Nombre de Tipo de Cuenta
model,"account.account.type,name",account.account_type_receivable,Receivable,Por Cobrar
model,"account.account.type,name",account.account_type_payable,Payable,A Pagar
model,"account.account.type,name",account.account_type_view,View,Vista
model,"account.account.type,name",account.account_type_income,Income,Ingresos
model,"account.account.type,name",account.account_type_expense,Expense,Egresos
model,"account.account.type,name",account.account_type_tax,Tax,Impuestos
model,"account.account.type,name",account.account_type_cash,Cash,Efectivo
model,"account.account.type,name",account.account_type_asset,Asset,Activos
model,"account.account.type,name",account.account_type_equity,Equity,Patrimonio Neto
model,"account.account.type,name",account.account_type_closed,Closed,
field,"account.account.type,code_from",0,Code From,Código desde
help,"account.account.type,code_from",0,Gives the range of account code available for this type of account. These fields are given for information and are not used in any constraint.,
field,"account.account.type,sequence",0,Sequence,Secuencia
help,"account.account.type,sequence",0,Gives the sequence order when displaying a list of account types.,
field,"account.account.type,close_method",0,Deferral Method,Método de diferimiento
field,"account.account.type,partner_account",0,Partner account,Cuenta de Partner
field,"account.account.type,code_to",0,Code To,Código hasta
help,"account.account.type,code_to",0,Gives the range of account code available for this type of account. These fields are just given for information and are not used in any constraint.,
field,"account.analytic.account,code",0,Account code,Código de Cuenta
field,"account.analytic.account,last_worked_invoiced_date",0,Last invoiced worked date,
field,"account.analytic.account,quantity_max",0,Maximal quantity,
field,"account.analytic.account,contact_id",0,Contact,Contacto
field,"account.analytic.account,company_currency_id",0,Currency,
field,"account.analytic.account,active",0,Active,Activa
field,"account.analytic.account,last_invoice_date",0,Last invoice date,
field,"account.analytic.account,amount_max",0,Max. Invoice Price,
field,"account.analytic.account,hours_qtt_non_invoiced",0,Uninvoiced hours,
field,"account.analytic.account,partner_id",0,Associated partner,Partner asociado
field,"account.analytic.account,revenue_per_hour",0,Revenue per hours (real),
field,"account.analytic.account,last_worked_date",0,Last worked date,
field,"account.analytic.account,user_id",0,Account Manager,
field,"account.analytic.account,to_invoice",0,Invoicing,
field,"account.analytic.account,total_cost",0,Total cost,
field,"account.analytic.account,date_start",0,Date Start,
field,"account.analytic.account,company_id",0,Company,
field,"account.analytic.account,parent_id",0,Parent analytic account,"Cuenta de Costos ""padre"""
field,"account.analytic.account,state",0,State,
field,"account.analytic.account,complete_name",0,Account Name,Nombre de Cuenta
field,"account.analytic.account,real_margin",0,Real margin,
