"id","code_prefix_start","code_prefix_end","name","name@fr"
"group_1","1","","Permanent Funding","Financement permanent"
"group_11","11","","Shareholders' Equity","Capitaux propres"
"group_111","111","","Corporate or Personal Capital","Capital social ou personnel"
"group_112","112","","Share, Merger and Contribution Premiums","Primes d'émission, de fusion et d'apport"
"group_113","113","","Revaluation Differences","Écarts de réévaluation"
"group_114","114","","Legal Reserve","Réserve légale"
"group_115","115","","Other Reserves","Autres réserves"
"group_116","116","","Retained Result","Report à nouveau"
"group_118","118","","Net Results Pending Allocation","Résultats nets en instance d'affectation"
"group_119","119","","Net Result for the Fiscal Year","Résultat net de l'exercice"
"group_13","13","","Related Shareholders' Equity","Capitaux propres assimilés"
"group_131","131","","Investment Grants","Subventions d'investissement"
"group_135","135","","Regulated Provisions","Provisions réglementées"
"group_14","14","","Financial Debts","Dettes de financement"
"group_141","141","","Bond Loans","Emprunts obligataires"
"group_148","148","","Other Financial Liabilities","Autres dettes de financement"
"group_15","15","","Long-Term Provisions for Risks and Expenses","Provisions durables pour risques et charges"
"group_151","151","","Provisions for Risks","Provisions pour risques"
"group_155","155","","Provisions for Expenses","Provisions pour charges"
"group_16","16","","Establishments' and Branches' Liaison Accounts","Comptes de liaison des établissements et succursales"
"group_160","160","","Establishments' and Branches' Liaison Accounts","Comptes de liaison des établissements et succursales"
"group_17","17","","Foreign Exchange Liabilities","Écarts de conversion passif"
"group_171","171","","Increase in Non-Current Receivables","Augmentation des créances immobilisées"
"group_172","172","","Decrease in Financing Liabilities","Diminution des dettes de financement"
"group_2","2","","Non-Current Assets","Actif immobilisé"
"group_21","21","","Non-Value Non-Current Assets","Immobilisations en non-valeurs"
"group_211","211","","Start-Up Costs","Frais préliminaires"
"group_212","212","","Deferred Expenses over Several Years","Charges à répartir sur plusieurs exercices"
"group_213","213","","Bond Redemption Premiums","Primes de remboursement des obligations"
"group_22","22","","Intangible Non-Current Assets","Immobilisations incorporelles"
"group_221","221","","Non-Current Assets in Research and Development","Immobilisation en recherche et développement"
"group_222","222","","Patents, Trademarks, Rights and Similar Assets","Brevets, marques, droits et valeurs similaires"
"group_223","223","","Commercial Funds","Fonds commercial"
"group_228","228","","Other Intangible Non-Current Assets","Autres immobilisations incorporelles"
"group_23","23","","Tangible Non-Current Assets","Immobilisations corporelles"
"group_231","231","","Land","Terrains"
"group_232","232","","Constructions","Constructions"
"group_233","233","","Technical Installations, Equipment and Tools","Installations techniques, matériel et outillage"
"group_234","234","","Transport Equipment","Matériel de transport"
"group_235","235","","Furniture, Office Equipment, Miscellaneous Amenities","Mobilier, matériel de bureau, aménagements divers"
"group_238","238","","Other Tangible Non-Current Assets","Autres immobilisations corporelles"
"group_239","239","","Tangible Non-Current Assets in Progress","Immobilisations corporelles en cours"
"group_24","24","25","Financial Non-Current Assets","Immobilisations financières"
"group_241","241","","Non-Current Loans","Prêts immobilisés"
"group_248","248","","Other Financial Receivables","Autres créances financières"
"group_251","251","","Equity Securities","Titres de participation"
"group_258","258","","Other Long-Term Securities","Autres titres immobilisés"
"group_27","27","","Foreign Exchange Assets","Écarts de conversion actif"
"group_271","271","","Decrease in Non-Current Assets","Diminution des créances immobilisées"
"group_272","272","","Increase in Financing Liabilities","Augmentation des dettes de financement"
"group_28","28","","Depreciations of Non-Current Assets","Amortissements des immobilisations"
"group_281","281","","Depreciations of Non-Value Assets","Amortissements des non-valeurs"
"group_282","282","","Depreciations of Intangible Non-Current Assets","Amortissements des immobilisations incorporelles"
"group_283","283","","Depreciations of Tangible Non-Current Assets","Amortissements des immobilisations corporelles"
"group_29","29","","Provisions for Depreciation of Non-Current Assets","Provisions pour dépréciation des immobilisations"
"group_292","292","","Provisions for Depreciation of Intangible Non-Current Assets","Provisions pour dépréciation des immobilisations incorporelles"
"group_293","293","","Provisions for Depreciation of Tangible Non-Current Assets","Provisions pour dépréciation des immobilisations corporelles"
"group_294","294","295","Provisions for Depreciation of Financial Non-Current Assets","Provisions pour dépréciation des immobilisations financières"
"group_3","3","","Current Assets Excluding Cash","Actif circulant hors trésorerie"
"group_31","31","","Inventories","Stocks"
"group_311","311","","Goods","Marchandises"
