id,chart_template_id:id,code,name,account_type,reconcile
nz_11110,l10n_nz.l10n_nz_chart_template,11110,Bank,asset_cash,FALSE
nz_11130,l10n_nz.l10n_nz_chart_template,11130,Petty Cash,asset_cash,FALSE
nz_11140,l10n_nz.l10n_nz_chart_template,11140,Cash Drawer,asset_cash,FALSE
nz_11180,l10n_nz.l10n_nz_chart_template,11180,Undeposited Funds,asset_current,TRUE
nz_11190,l10n_nz.l10n_nz_chart_template,11190,Electronic Clearing,asset_current,TRUE
nz_11200,l10n_nz.l10n_nz_chart_template,11200,Trade Debtors,asset_receivable,TRUE
nz_11210,l10n_nz.l10n_nz_chart_template,11210,Less Prov'n for Doubtful Debts,asset_current,FALSE
nz_11220,l10n_nz.l10n_nz_chart_template,11220,Trade Debtors (PoS),asset_receivable,TRUE
nz_11310,l10n_nz.l10n_nz_chart_template,11310,Raw Materials,asset_current,FALSE
nz_11320,l10n_nz.l10n_nz_chart_template,11320,Finished Goods,asset_current,FALSE
nz_11330,l10n_nz.l10n_nz_chart_template,11330,Trading Stock on Hand,asset_current,FALSE
nz_11340,l10n_nz.l10n_nz_chart_template,11340,Goods Shipped Not Invoiced,asset_current,FALSE
nz_12100,l10n_nz.l10n_nz_chart_template,12100,Deposits Paid,asset_prepayments,FALSE
nz_12200,l10n_nz.l10n_nz_chart_template,12200,Prepaid Insurance,asset_current,FALSE
nz_13110,l10n_nz.l10n_nz_chart_template,13110,Manufacturing Plant at Cost,asset_fixed,FALSE
nz_13120,l10n_nz.l10n_nz_chart_template,13120,Manufac. Plant Accum Dep,asset_fixed,FALSE
nz_13130,l10n_nz.l10n_nz_chart_template,13130,Manufacturing Equipment Cost,asset_fixed,FALSE
nz_13140,l10n_nz.l10n_nz_chart_template,13140,Manufac. Equip Accum Dep,asset_fixed,FALSE
nz_13210,l10n_nz.l10n_nz_chart_template,13210,Furniture & Fixtures at Cost,asset_fixed,FALSE
nz_13220,l10n_nz.l10n_nz_chart_template,13220,Furniture & Fixtures Accum Dep,asset_fixed,FALSE
nz_13310,l10n_nz.l10n_nz_chart_template,13310,Office Equip at Cost,asset_fixed,FALSE
nz_13320,l10n_nz.l10n_nz_chart_template,13320,Office Equip Accum Dep,asset_fixed,FALSE
nz_13410,l10n_nz.l10n_nz_chart_template,13410,Motor Vehicles at Cost,asset_fixed,FALSE
nz_13420,l10n_nz.l10n_nz_chart_template,13420,Motor Vehicles Accum Dep,asset_fixed,FALSE
nz_21110,l10n_nz.l10n_nz_chart_template,21110,Credit Card,liability_current,FALSE
nz_21200,l10n_nz.l10n_nz_chart_template,21200,Trade Creditors,liability_payable,TRUE
