1;CLASSE 1
10;CAPITAL
100;Capital souscrit ou capital personnel
1000;Capital non amorti
1001;Capital amorti
101;Capital non appelé
109;Compte de l'exploitant
1090;Opérations courantes
1091;Impôts personnels
1092;Rémunérations et autres avantages
11;PRIMES D'EMISSION
12;PLUS-VALUES DE REEVALUATION
120;Plus-values de réévaluation sur immobilisations incorporelles
1200;Plus-values de réévaluation
1201;Reprises de réductions de valeur
121;Plus-values de réévaluation sur immobilisations corporelles
1210;Plus-values de réévaluation
1211;Reprises de réductions de valeur
122;Plus-values de réévaluation sur immobilisations financières
1220;Plus-values de réévaluation
1221;Reprises de réductions de valeur
123;Plus-values de réévaluation sur stocks
124;Reprises de réductions de valeur sur placements de trésorerie
13;RESERVES
130;Réserve légale
131;Réserves indisponibles
1310;Réserve pour actions propres
1311;Autres réserves indisponibles
132;Réserves immunisées
133;Réserves disponibles
1330;Réserve pour régularisation de dividendes
1331;Réserve pour renouvellement des immobilisations
1332;Réserve pour installations en faveur du personnel  1333 Réserves libres
14;BENEFICE REPORTE
15;SUBSIDES EN CAPITAL
150;Montants obtenus
151;Montants transférés aux résultats
16;PROVISIONS POUR RISQUES ET CHARGES
160;Provisions pour pensions et obligations similaires
161;Provisions pour charges fiscales
162;Provisions pour grosses réparations et gros entretiens
163;à 169 Provisions pour autres risques et charges
164;Provisions pour sûretés personnelles ou réelles constituées à l'appui de dettes et d'engagements de tiers
165;Provisions pour engagements relatifs à l'acquisition ou à la cession d'immobilisations
166;Provisions pour exécution de commandes passées ou reçues
167;Provisions pour positions et marchés à terme en devises ou positions et marchés à terme en marchandises
168;Provisions pour garanties techniques attachées aux ventes et prestations déjà effectuées par l'entreprise
169;Provisions pour autres risques et charges
1690;Pour litiges en cours
1691;Pour amendes, doubles droits, pénalités
1692;Pour propre assureur
1693;Pour risques inhérents aux opérations de crédits à moyen ou long terme
1695;Provision pour charge de liquidation
1696;Provision pour départ de personnel
1699;Pour risques divers 
17;DETTES A PLUS D'UN AN
170;Emprunts subordonnés
1700;Convertibles
1701;Non convertibles
171;Emprunts obligataires non subordonnés
1710;Convertibles
1711;Non convertibles
172;Dettes de location-financement et assimilés
1720;Dettes de location-financement de biens immobiliers
1721;Dettes de location-financement de biens mobiliers
1722;Dettes sur droits réels sur immeubles
173;Etablissements de crédit
1730;Dettes en compte
17300;Banque A
17301;Banque B
1731;Promesses
17310;Banque A
17311;Banque B
1732;Crédits d'acceptation
17320;Banque A
17321;Banque B
174;Autres emprunts
175;Dettes commerciales
1750;Fournisseurs : dettes en compte
17500;Entreprises apparentées
175000;Entreprises liées
175001;Entreprises avec lesquelles il existe un lien de participation
17501;Fournisseurs ordinaires
175010;Fournisseurs belges
175011;Fournisseurs C.E.E.
175012;Fournisseurs importation
1751;Effets à payer
17510;Entreprises apparentées
175100;Entreprises liées
175101;Entreprises avec lesquelles il existe un lien de participation
17511;Fournisseurs ordinaires
175110;Fournisseurs belges
175111;Fournisseurs C.E.E.
175112;Fournisseurs importation
176;Acomptes reçus sur commandes
178;Cautionnements reçus en numéraires
179;Dettes diverses
1790;Entreprises liées
1791;Autres entreprises avec lesquelles il existe un lien de participation
1792;Administrateurs, gérants, associés
1794;Rentes viagères capitalisées
1798;Dettes envers les coparticipants des associations momentanées et en participation
1799;Autres dettes diverses
18;COMPTES DE LIAISON DES ETABLISSEMENTS ET SUCCURSALES
2;CLASSE 2. FRAIS D'ETABLISSEMENT. ACTIFS IMMOBILISES ET CREANCES A PLUS D'UN AN
20;FRAIS D'ETABLISSEMENT
200;Frais de constitution et d'augmentation de capital
2000;Frais de constitution et d'augmentation de capital
2009;Amortissements sur frais de constitution et d'augmentation de capital
201;Frais d'émission d'emprunts et primes de remboursement
2010;Agios sur emprunts et frais d'émission d'emprunts
2019;Amortissements sur agios sur emprunts et frais d'émission d'emprunts
202;Autres frais d'établissement
2020;Autres frais d'établissement
2029;Amortissements sur autres frais d'établissement
203;Intérêts intercalaires
2030;Intérêts intercalaires
2039;Amortissements sur intérêts intercalaires
204;Frais de restructuration
2040;Coût des frais de restructuration
2049;Amortissements sur frais de restructuration
21;IMMOBILISATIONS INCORPORELLES
210;Frais de recherche et de développement
2100;Frais de recherche et de mise au point
2108;Plus-values actées sur frais de recherche et de mise au point
2109;Amortissements sur frais de recherche et de mise au point
211;Concessions, brevets, licences, savoir-faire, marques et droits similaires
2110;Concessions, brevets, licences, savoir-faire, marques, etc...
2118;Plus-values actées sur concessions, brevets, etc...
2119;Amortissements sur concessions, brevets, etc...
212;Goodwill
2120;Coût d'acquisition
2128;Plus-values actées
2129;Amortissements sur goodwill
213;Acomptes versés
22;TERRAINS ET CONSTRUCTIONS
220;Terrains
2200;Terrains
2201;Frais d'acquisition sur terrains
2208;Plus-values actées sur terrains
2209;Amortissements et réductions de valeur
22090;Amortissements sur frais d'acquisition
22091;Réductions de valeur sur terrains
221;Constructions
2210;Bâtiments industriels
2211;Bâtiments administratifs et commerciaux
2212;Autres bâtiments d'exploitation
2213;Voies de transport et ouvrages d'art
2215;Constructions sur sol d'autrui
2216;Frais d'acquisition sur constructions
2218;Plus-values actées
22180;Sur bâtiments industriels
22181;Sur bâtiments administratifs et commerciaux
22182;Sur autres bâtiments d'exploitation
22184;Sur voies de transport et ouvrages d'art
2219;Amortissements sur constructions
22190;Sur bâtiments industriels
22191;Sur bâtiments administratifs et commerciaux
22192;Sur autres bâtiments d'exploitation
22194;Sur voies de transport et ouvrages d'art
22195;Sur constructions sur sol d'autrui
22196;Sur frais d'acquisition sur constructions
222;Terrains bâtis
2220;Valeur d'acquisition
22200;Bâtiments industriels
22201;Bâtiments administratifs et commerciaux
22202;Autres bâtiments d'exploitation
22203;Voies de transport et ouvrages d'art
22204;Frais d'acquisition des terrains à bâtir
2228;Plus-values actées
22280;Sur bâtiments industriels	
22281;Sur bâtiments administratifs et commerciaux
22282;Sur autres bâtiments d'exploitation
22283;Sur voies de transport et ouvrages d'art
2229;Amortissements sur terrains bâtis
22290;Sur bâtiments industriels
22291;Sur bâtiments administratifs et commerciaux
22292;Sur autres bâtiments d'exploitation
22293;Sur voies de transport et ouvrages d'art
22294;Sur frais d'acquisition des terrains bâtis
223;Autres droits réels sur des immeubles
2230;Valeur d'acquisition
2238;Plus-values actées
2239;Amortissements
23;INSTALLATIONS, MACHINES ET OUTILLAGE
230;Installations
2300;Installations bâtiments industriels
2301;Installations bâtiments administratifs et commerciaux
2302;Installations bâtiments d'exploitation
2303;Installations voies de transport et ouvrages d'art
2300;Installation d'eau
2301;Installation d'électricité
2302;Installation de vapeur
2303;Installation de gaz
2304;Installation de chauffage
2305;Installation de conditionnement d'air
2306;Installation de chargement
231;Machines
2310;Division A
2311;Division B
237;Outillage
2370;Division A
2371;Division B
238;Plus-values actées
2380;Sur installations
2381;Sur machines
2382;Sur outillage
239;Amortissements
2390;Sur installations
2391;Sur machines
2392;Sur outillage
24;MOBILIER ET MATERIEL ROULANT
240;Mobilier
2400;Mobilier
24000;Mobilier des bâtiments industriels
24001;Mobilier des bâtiments administratifs et commerciaux
24002;Mobilier des autres bâtiments d'exploitation
24003;Mobilier oeuvres sociales
2401;Matériel de bureau et de service social
24010;Des bâtiments industriels
24011;Des bâtiments administratifs et commerciaux
24012;Des autres bâtiments d'exploitation
24013;Des oeuvres sociales
2408;Plus-values actées
24080;Plus-values actées sur mobilier
24081;Plus-values actées sur matériel de bureau et service social
2409;Amortissements
24090;Amortissements sur mobilier
24091;Amortissements sur matériel de bureau et service social
241;Matériel roulant
2410;Matériel automobile
24100;Voitures
24105;Camions
2411;Matériel ferroviaire
2412;Matériel fluvial
2413;Matériel naval
2414;Matériel aérien
2418;Plus-values sur matériel roulant
24180;Plus-values sur matériel automobile
24181;Idem sur matériel ferroviaire
24182;Idem sur matériel fluvial
24183;Idem sur matériel naval
24184;Idem sur matériel aérien
2419;Amortissements sur matériel roulant
24190;Amortissements sur matériel automobile
24191;Idem sur matériel ferroviaire
24192;Idem sur matériel fluvial
24193;Idem sur matériel naval
24194;Idem sur matériel aérien
25;IMMOBILISATION DETENUES EN LOCATION-FINANCEMENT ET DROITS SIMILAIRES
250;Terrains et constructions
2500;Terrains
2501;Constructions
2508;Plus-values sur emphytéose, leasing et droits similaires : terrains et constructions
2509;Amortissements et réductions de valeur sur terrains et constructions en leasing
251;Installations, machines et outillage
2510;Installations
2511;Machines
2512;Outillage
2518;Plus-values actées sur installations, machines et outillage pris en leasing
2519;Amortissements sur installations, machines et outillage pris en leasing
252;Mobilier et matériel roulant
2520;Mobilier
2521;Matériel roulant
2528;Plus-values actées sur mobilier et matériel roulant en leasing
2529;Amortissements sur mobilier et matériel roulant en leasing
26;AUTRES IMMOBILISATIONS CORPORELLES
260;Frais d'aménagements de locaux pris en location
261;Maison d'habitation
262;Réserve immobilière
263;Matériel d'emballage
264;Emballages récupérables
268;Plus-values actées sur autres immobilisations corporelles
269;Amortissements sur autres immobilisations corporelles
2690;Amortissements sur frais d'aménagement des locaux pris en location
2691;Amortissements sur maison d'habitation
2692;Amortissements sur réserve immobilière
2693;Amortissements sur matériel d'emballage
2694;Amortissements sur emballages récupérables
27;IMMOBILISATIONS CORPORELLES EN COURS ET ACOMPTES VERSES
270;Immobilisations en cours
2700;Constructions
2701;Installations, machines et outillage
2702;Mobilier et matériel roulant
2703;Autres immobilisations corporelles
271;Avances et acomptes versés sur immobilisations en cours
28;IMMOBILISATIONS FINANCIERES
280;Participations dans des entreprises liées
2800;Valeur d'acquisition
2801;Montants non appelés
2808;Plus-values actées
2809;Réductions de valeurs actées
281;Créances sur des entreprises liées
2810;Créances en compte
2811;Effets à recevoir
2812;Titres à revenu fixes
2817;Créances douteuses
2819;Réductions de valeurs actées
282;Participations dans des entreprises avec lesquelles il existe un lien de participation
2820;Valeur d'acquisition
2821;Montants non appelés
2828;Plus-values actées
2829;Réductions de valeurs actées
283;Créances sur des entreprises avec lesquelles il existe un lien de participation
2830;Créances en compte
2831;Effets à recevoir
2832;Titres à revenu fixe
2837;Créances douteuses
2839;Réductions de valeurs actées
284;Autres actions et parts
2840;Valeur d'acquisition
2841;Montants non appelés
2848;Plus-values actées
2849;Réductions de valeur actées
285;Autres créances
2850;Créances en compte
2851;Effets à recevoir
2852;Titres à revenu fixe
2857;Créances douteuses
2859;Réductions de valeur actées
288;Cautionnements versés en numéraires
2880;Téléphone, télefax, télex
2881;Gaz
2882;Eau
2883;Electricité
2887;Autres cautionnements versés en numéraires
29;CREANCES A PLUS D'UN AN
290;Créances commerciales
2900;Clients
29000;Créances en compte sur entreprises liées
29001;Sur entreprises avec lesquelles il existe un lien de participation
29002;Sur clients Belgique
29003;Sur clients C.E.E.
29004;Sur clients exportation hors C.E.E.
29005;Créances sur les coparticipants
2901;Effets à recevoir
29010;Sur entreprises liées
29011;Sur entreprises avec lesquelles il existe un lien de participation
29012;Sur clients Belgique
29013;Sur clients C.E.E.
29014;Sur clients exportation hors C.E.E.
2905;Retenues sur garanties
2906;Acomptes versés
2907;Créances douteuses
2909;Réductions de valeur actées
291;Autres créances
2910;Créances en compte
29100;Créances entreprises liées
29101;Créances entreprises avec lesquelles il existe un lien de participation
29102;Créances autres débiteurs
2911;Effets à recevoir
29110;Sur entreprises liées
29111;Sur entreprises avec lesquelles il existe un lien de participation
29112;Sur autres débiteurs
2912;Créances résultant de la cession d'immobilisations données en leasing
2917;Créances douteuses
2919;Réductions de valeur actées
3;CLASSE 3. STOCK ET COMMANDES EN COURS D'EXECUTION
30;APPROVISIONNEMENTS - MATIERES PREMIERES
300;Valeur d'acquisition
309;Réductions de valeur actées
31;APPROVISIONNEMENTS ET FOURNITURES
310;Valeur d'acquisition
3100;Matières d'approvisionnement
3101;Energie, charbon, coke, Mazout, essence, propane
3102;Produits d'entretien
3103;Fournitures diverses et petit outillage
3104;Imprimés et fournitures de bureau
3105;Fournitures de services sociaux
3106;Emballages commerciaux
31060;Emballages perdus
31061;Emballages récupérables
319;Réductions de valeur actées
32;EN COURS DE FABRICATION
320;Valeur d'acquisition
3200;Produits semi-ouvrés
3201;Produits en cours de fabrication
3202;Travaux en cours
3205;Déchets
3206;Rebuts
3209;Travaux en association momentanée
329;Réductions de valeur actées
33;PRODUITS FINIS
330;Valeur d'acquisition
3300;Produits finis
339;Réductions de valeur actées
34;MARCHANDISES
340;Valeur d'acquisition
3400;Groupe A
3401;Groupe B
349;Réductions de valeur actées
35;IMMEUBLES DESTINES A LA VENTE
350;Valeur d'acquisition
3500;Immeuble A
3501;Immeuble B
351;Immeubles construits en vue de leur revente
3510;Immeuble A
3511;Immeuble B
359;Réductions de valeurs actées
36;ACOMPTES VERSES SUR ACHATS POUR STOCKS
360;Acomptes versés
369;Réductions de valeur actées
37;COMMANDES EN COURS D'EXECUTION
370;Valeur d'acquisition
371;Bénéfice pris en compte
