"id","name","tax_ids/tax_src_id","tax_ids/tax_dest_id","account_ids/account_src_id","account_ids/account_dest_id","name@es"
"afpt_non_recoverable_vat_1","Purchases - intended to generate non-taxable or exempt transactions","OTAX_19","iva_compra_no_recup","","","Compras - destinadas a generar operaciones no gravadas o exentas"
"afpt_non_recoverable_vat_2","Purchasing - Invoices from suppliers registered after the due date","OTAX_19","iva_compra_no_recup","","","Compras - Facturas de proveedores registrados fuera de plazo"
"afpt_non_recoverable_vat_3","Purchases - Rejected expenses","OTAX_19","iva_compra_no_recup","","","Compras - Gastos rechazados"
"afpt_non_recoverable_vat_4","Purchases - Free deliveries (prizes, bonuses, etc.) received","OTAX_19","iva_compra_no_recup","","","Compras - Entregas gratuitas (premios, bonificaciones, etc.) recibidos"
"","","","","account_410235","account_410165",""
"","","","","account_410230","account_410165",""
"afpt_non_recoverable_vat_9","Purchases - Others","OTAX_19","iva_compra_no_recup","","","Compras - Otros"
"afpt_fixed_asset","Purchases - Fixed Assets","OTAX_19","iva_activo_fijo_uso_comun","","","Compras - Activo Fijo"
"","","","","account_410230","account_121140",""
"","","","","account_410235","account_121140",""
"afpt_purchase_exempt","Purchases - Exempt","OTAX_19","","","","Compras - Exentas"
"","","","","account_410230","account_410130",""
"afpt_purchase_supermarket","Shopping - Supermarket","ITAX_19","iva_supermercado_recup","","","Compras - Supermercado"
"","","","","account_410230","account_410233",""
"","","","","account_410235","account_410233",""
"afpt_sale_exempt","Sales - Exempt","ITAX_19","","","","Ventas - Exentas"
"","","","","account_310115","account_310120",""
