"id","name","code","account_type","tag_ids","reconcile","non_trade","name@pl"
"chart01000100","Proprietary land and rights of perpetual usufruct of land","01.000.100","asset_fixed","","False","","Grunty własne i prawa wieczystego użytkowania gruntów"
"chart01000200","Buildings, premises and civil engineering structures","01.000.200","asset_fixed","","False","","Budynki, lokale i obiekty inżynierii lądowej i wodnej"
"chart01000200","Technical equipment and machinery","01.000.200","asset_fixed","","False","","Urządzenia techniczne i maszyny"
"chart01000400","Means of transport","01.000.400","asset_fixed","","False","","Środki transportu"
"chart01000900","Other fixed assets","01.000.900","asset_fixed","","False","","Inne środki trwałe"
"chart02000100","Costs of completed development","02.000.100","asset_non_current","","False","","Koszty zakończonych prac rozwojowych"
"chart02000200","Acquired goodwill","02.000.200","asset_non_current","","False","","Nabyta wartość firmy"
"chart02000300","Advances for intangible assets","02.000.300","asset_non_current","","False","","Zaliczki na wartości niematerialne i prawne"
"chart02000900","Other intangible assets","02.000.900","asset_non_current","","False","","Inne wartości niematerialne i prawne"
"chart03000100","Long-term shares or stocks","03.000.100","asset_non_current","","False","","Długoterminowe akcje lub udziały"
"chart03000200","Other long-term securities","03.000.200","asset_non_current","","False","","Inne długoterminowe papiery wartościowe"
"chart03000300","Long-term loans granted","03.000.300","asset_non_current","","False","","Udzielone pożyczki długoterminowe"
"chart03000400","Other long-term financial assets","03.000.400","asset_non_current","","False","","Inne długoterminowe aktywa finansowe"
"chart03000500","Other types of long-term financial assets","03.000.500","asset_non_current","","False","","Inne rodzaje długoterminowych aktywów finansowych"
"chart03000600","Real Estate","03.000.600","asset_non_current","","False","","Nieruchomości"
"chart03000700","Intangible assets","03.000.700","asset_non_current","","False","","Wartości niematerialne i prawne"
"chart03000800","Deferred Tax Assets","03.000.800","asset_non_current","","False","","Aktywa z tytułu odroczonego podatku dochodowego"
"chart03000900","Other prepayments","03.000.900","asset_non_current","","False","","Inne rozliczenia międzyokresowe"
"chart03050100","Write-downs of shares in foreign entities","03.050.100","asset_non_current","","False","","Odpisy aktualizujące udziały i akcje w obcych jednostkach"
"chart03050200","Write-downs on deposits","03.050.200","asset_non_current","","False","","Odpisy aktualizujące lokaty"
"chart03050300","Write-downs on long-term loans granted","03.050.300","asset_non_current","","False","","Odpisy aktualizujące udzielone pożyczki długoterminowe"
"chart03050900","Write-downs of other types of long-term financial assets","03.050.900","asset_non_current","","False","","Odpisy aktualizujące inne rodzaje długoterminowych aktywów finansowych"
"chart07010200","Depreciation of buildings, premises and civil engineering structures","07.010.200","asset_non_current","","False","","Odpisy umorzeniowe budynków, lokali i obiektów inżynierii lądowej i wodnej"
"chart07010300","Depreciation of technical equipment and machinery","07.010.300","asset_non_current","","False","","Odpisy umorzeniowe urządzeń technicznych i maszyn"
"chart07010400","Depreciation of means of transport","07.010.400","asset_non_current","","False","","Odpisy umorzeniowe środków transportu"
"chart07010500","Depreciation of other fixed assets","07.010.500","asset_non_current","","False","","Odpisy umorzeniowe innych środków trwałych"
"chart07010600","Depreciation of improvements of third-party fixed assets","07.010.600","asset_non_current","","False","","Odpisy umorzeniowe ulepszeń obcych środków trwałych"
"chart07020100","Depreciation of completed development work","07.020.100","asset_non_current","","False","","Odpisy umorzeniowe zakończonych prac rozwojowych"
"chart07020200","Depreciation of goodwill","07.020.200","asset_non_current","","False","","Odpisy umorzeniowe wartości firmy"
"chart07020300","Depreciation of other intangible assets","07.020.300","asset_non_current","","False","","Odpisy umorzeniowe innych wartości niematerialnych i prawnych"
"chart07030100","Depreciation of real estate investments","07.030.100","asset_non_current","","False","","Odpisy umorzeniowe inwestycji w nieruchomości"
"chart07030200","Depreciation of investments in intangible assets","07.030.200","asset_non_current","","False","","Odpisy umorzeniowe inwestycji w wartości niematerialne i prawne"
"chart08000100","Investments in the construction of a fixed asset","08.000.100","asset_non_current","","False","","Inwestycje budowy środka trwałego"
