"id","code_prefix_start","code_prefix_end","name","name@pl"
"pl_group_0","0","","Non-current assets","Aktywa trwałe"
"pl_group_01","01","","Fixed assets","Środki trwałe"
"pl_group_02","02","","Intangible assets","Wartości niematerialne i prawne"
"pl_group_03","03","","Long-term financial assets","Długoterminowe aktywa finansowe"
"pl_group_035","035","","Write-downs of long-term financial assets","Odpisy aktualizujące długoterminowe aktywa finansowe"
"pl_group_07","07","","Write-offs for depreciation and impairment of fixed assets, intangible assets and investments in real estate and rights","Odpisy umorzeniowe oraz z tytułu trwałej utraty wartości środków trwałych, wartości niematerialnych i prawnych oraz inwestycji w nieruchomości i prawa"
"pl_group_071","071","","Depreciation of fixed assets","Odpisy umorzeniowe środków trwałych"
"pl_group_072","072","","Depreciation of intangible assets","Odpisy umorzeniowe wartości niematerialnych i prawnych"
"pl_group_073","073","","Depreciation of investments in real estate and rights","Odpisy umorzeniowe inwestycji w nieruchomości i prawa"
"pl_group_074","074","","Impairment losses of fixed assets","Odpisy z tytułu trwałej utraty wartości środków trwałych"
"pl_group_075","075","","Impairment losses on intangible assets","Odpisy z tytułu trwałej utraty wartości wartości niematerialnych i prawnych"
"pl_group_076","076","","Impairment losses on investments in real estate and rights","Odpisy z tytułu trwałej utraty wartości inwestycji w nieruchomości i prawa"
"pl_group_08","08","","Fixed assets under construction","Środki trwałe w budowie"
"pl_group_09","09","","Off-balance accounts in team 0","Konta pozabilansowe w zespole 0"
"pl_group_090","090","","Third-party fixed assets","Obce środki trwałe"
"pl_group_091","091","","Fixed assets in liquidation","Środki trwałe w likwidacji"
"pl_group_1","1","","Cash, bank accounts and other short-term financial assets","Środki pieniężne, rachunki bankowe oraz inne krótkoterminowe aktywa finansowe"
"pl_group_10","10","","Cash","Kasa"
"pl_group_13","13","","Bank accounts and loans","Rachunki i kredyty bankowe"
"pl_group_130","130","","Current account","Rachunek bieżący"
"pl_group_131","131","","Foreign currency account","Rachunek walutowy"
"pl_group_134","134","","Bank loans","Kredyty bankowe"
"pl_group_135","135","","Other bank accounts","Inne rachunki bankowe"
"pl_group_139","139","","Cash on the move","Środki pieniężne w drodze"
