"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","tax_group_id","is_withholding_tax_on_payment","active","country_id","tax_exigibility","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/use_in_tax_closing","fiscal_position_ids","original_tax_ids"
"l10n_lk_tax_sale_18","18%","","Taxable Supplies","18%","sale","","percent","18","l10n_lk_tax_group_18","False","True","base.lk","on_invoice","","base","invoice","","VAT_A","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","VAT_A","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221300","VAT_0","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221300","VAT_0","True","",""
"l10n_lk_tax_sale_18_d_sp","18% D SP","","Deemed Taxable Supplies (Specified Projects)","0%","sale","","percent","18","l10n_lk_tax_group_18","False","True","base.lk","on_invoice","","base","invoice","","VAT_A1","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","VAT_A1","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221300","VAT_1||VAT_R","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221300","VAT_1||VAT_R","True","",""
"","","","","","","","","","","","","","","-100","tax","invoice","l10n_lk_account_221300","","True","",""
"","","","","","","","","","","","","","","-100","tax","refund","l10n_lk_account_221300","","True","",""
"l10n_lk_tax_sale_18_d_sdp","18% D SDP","","Deemed Taxable Supplies (Strategic Development Project)","0%","sale","","percent","18","l10n_lk_tax_group_18","False","True","base.lk","on_invoice","","base","invoice","","VAT_A2","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","VAT_A2","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221300","VAT_1A||VAT_R1","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221300","VAT_1A||VAT_R1","True","",""
"","","","","","","","","","","","","","","-100","tax","invoice","l10n_lk_account_221300","","True","",""
"","","","","","","","","","","","","","","-100","tax","refund","l10n_lk_account_221300","","True","",""
"l10n_lk_tax_sale_18_m","18% M","","Wholesale and Retail Taxable Supplies","18%","sale","","percent","18","l10n_lk_tax_group_18","False","False","base.lk","on_invoice","","base","invoice","","VAT_B","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","VAT_B","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221300","VAT_2","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221300","VAT_2","True","",""
"l10n_lk_tax_sale_18_svat","18% SVAT","","VAT Suspended Taxable Supplies","18%","sale","","percent","18","l10n_lk_tax_group_18","False","False","base.lk","on_invoice","","base","invoice","","VAT_C","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","VAT_C","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221300","VAT_2A||VAT_R2","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221300","VAT_2A||VAT_R2","True","",""
"","","","","","","","","","","","","","","-100","tax","invoice","l10n_lk_account_221300","","True","",""
"","","","","","","","","","","","","","","-100","tax","refund","l10n_lk_account_221300","","True","",""
"l10n_lk_tax_sale_0_g","0% G","","Zero Rated Supplies (Goods)","0%","sale","consu","percent","0","l10n_lk_tax_group_zero_rated","False","True","base.lk","on_invoice","","base","invoice","","VAT_D","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","VAT_D","","",""
"","","","","","","","","","","","","","","100","tax","invoice","l10n_lk_account_221300","","True","",""
"","","","","","","","","","","","","","","100","tax","refund","l10n_lk_account_221300","","True","",""
"l10n_lk_tax_sale_0_s","0% S","","Zero Rated Supplies (Services)","0%","sale","service","percent","0","l10n_lk_tax_group_zero_rated","False","True","base.lk","on_invoice","","base","invoice","","VAT_D1","","l10n_lk_fiscal_position_domestic",""
"","","","","","","","","","","","","","","","base","refund","","VAT_D1","","",""
