JournalCode	JournalLib	EcritureNum	EcritureDate	CompteNum	CompteLib	CompAuxNum	CompAuxLib	PieceRef	PieceDate	EcritureLib	Debit	Credit	EcritureLet	DateLet	ValidDate	Montantdevise	Idevise
ACH	ACHATS	ACH000001	20180808	62270000	FRAIS D'ACTES ET CONTENTIEUX			x	20180808	ACOMPTE FORMALITES ENTREPRISE	500,00	0,00			20190725		
ACH	ACHATS	ACH000001	20180808	44566000	TVA SUR AUTRES BIEN ET SERVICE			x	20180808	ACOMPTE FORMALITES ENTREPRISE	100,00	0,00	AA		20190725		
ACH	ACHATS	ACH000001	20180808	45500000	CPT COURANTS DE L ASSOCIE			x	20180808	ACOMPTE FORMALITES ENTREPRISE	0,00	600,00			20190725		
ACH	ACHATS	ACH000002	20180808	61320000	LOCATIONS PARTNER01			x	20180808	DOMICILIATION	300,00	0,00			20190725		
ACH	ACHATS	ACH000002	20180808	44566000	TVA SUR AUTRES BIEN ET SERVICE			x	20180808	DOMICILIATION	60,00	0,00	AA		20190725		
ACH	ACHATS	ACH000002	20180808	45500000	CPT COURANTS DE L ASSOCIE			x	20180808	DOMICILIATION	0,00	360,00			20190725		
ACH	ACHATS	ACH000003	20180910	61320000	LOCATIONS PARTNER01			x	20180910	PARTNER01	41,50	0,00			20190725		
ACH	ACHATS	ACH000003	20180910	44566000	TVA SUR AUTRES BIEN ET SERVICE			x	20180910	PARTNER01	8,30	0,00	AA		20190725		
ACH	ACHATS	ACH000003	20180910	40100000	FOURNISSEURS DIVERS	PAR 01	PARTNER01	x	20180910	PARTNER01	0,00	49,80	AA		20190725		
ACH	ACHATS	ACH000004	20180918	62260000	HONORAIRES			x	20180918	HONORAIRES FRANCIS 214	330,00	0,00			20190725		
ACH	ACHATS	ACH000004	20180918	44566000	TVA SUR AUTRES BIEN ET SERVICE			x	20180918	HONORAIRES FRANCIS 214	66,00	0,00	AA		20190725		
ACH	ACHATS	ACH000004	20180918	40100000	FOURNISSEURS DIVERS	08DIVERS	DIVER	x	20180918	HONORAIRES FRANCIS 214	0,00	396,00	AU		20190725		
BQ	BQ 552	BQ000001	20180921	10130000	CAPITAL SOUSCRIT ET VERSE			x	20180921	VIREMENT	0,00	10000,00			20190725		
BQ	BQ 552	BQ000001	20180921	51200000	BANQUE 124			x	20180921	VIREMENT	10000,00	0,00			20190725		
BQ	BQ 552	BQ000002	20180924	45500000	CPT COURANTS DE L ASSOCIE			x	20180924	VIREMENT	0,00	10000,00			20190725		
BQ	BQ 552	BQ000002	20180924	51200000	BANQUE 124			x	20180924	VIREMENT	10000,00	0,00			20190725		
BQ	BQ 552	BQ000003	20180925	45500000	CPT COURANTS DE L ASSOCIE			x	20180925	VIREMENT ANNULATION	10000,00	0,00			20190725		
BQ	BQ 552	BQ000003	20180925	51200000	BANQUE 124			x	20180925	VIREMENT ANNULATION	0,00	10000,00			20190725		
ACH	ACHATS	ACH000005	20180926	62510000	VOYAGES ET DEPLACEMENT			x	20180926	ASF BOURG 443	18,50	0,00			20190725		
ACH	ACHATS	ACH000005	20180926	46700000	CARTE BLEUE			x	20180926	ASF BOURG 443	0,00	18,50	AA		20190725		
ACH	ACHATS	ACH000006	20180927	62560000	MISSIONS			x	20180927	HOTEL LE 67 AUJOURD'HUI	87,00	0,00			20190725		
ACH	ACHATS	ACH000006	20180927	63500000	AUTRES IMPOTS TAXES ET VERSEMN			x	20180927	HOTEL LE 67 AUJOURD'HUI TAXE SEJOUR	0,77	0,00			20190725		
ACH	ACHATS	ACH000006	20180927	46700000	CARTE BLEUE			x	20180927	HOTEL LE 67 AUJOURD'HUI	0,00	87,77	AA		20190725		
ACH	ACHATS	ACH000007	20180928	61350000	LOCATION MOBILIERE			x	20180928	37 LOCATION	283,00	0,00			20190725		
ACH	ACHATS	ACH000007	20180928	46700000	CARTE BLEUE			x	20180928	37 LOCATION	0,00	283,00	AA		20190725		
ACH	ACHATS	ACH000008	20180928	61350000	LOCATION MOBILIERE			x	20180928	37 LOCATION	128,78	0,00			20190725		
ACH	ACHATS	ACH000008	20180928	46700000	CARTE BLEUE			x	20180928	37 LOCATION	0,00	128,78	AA		20190725		
ACH	ACHATS	ACH000009	20180930	62270000	FRAIS D'ACTES ET CONTENTIEUX			x	20180930	PARTNER01	250,00	0,00			20190725		
ACH	ACHATS	ACH000009	20180930	44566000	TVA SUR AUTRES BIEN ET SERVICE			x	20180930	PARTNER01	50,00	0,00	AA		20190725		
ACH	ACHATS	ACH000009	20180930	40100000	FOURNISSEURS DIVERS	PAR 01	PARTNER01	x	20180930	PARTNER01	0,00	300,00	AB		20190725		
SA	SALAIRES	SA000001	20180930	64110000	SALAIRES APOINTEMENTS			x	20180930	SALAIRE 09-18	4986,30	0,00			20190725		
SA	SALAIRES	SA000001	20180930	64510000	COTISATIONS URSAAF			x	20180930	COTISATION URSAAF 09-18	1043,61	0,00			20190725		
SA	SALAIRES	SA000001	20180930	64530000	CAISSE DE RETRAITES			x	20180930	RETRAITE 09-18	117,10	0,00			20190725		
