id,sequence,name,auto_apply,vat_required,country_id,country_group_id,tax_ids/tax_src_id,tax_ids/tax_dest_id,name@fr
l10n_tn_fp_template_domestic,"1",Domestic market,"1","1","base.tn",,,,"Régime National"
fiscal_position_template_exo,,Exemption,"1",,,,,,"Exonération"
,,,,,,,l10n_tn_tax_vat_sale_19,l10n_tn_tax_vat_sale_0
,,,,,,,l10n_tn_tax_vat_sale_7,l10n_tn_tax_vat_sale_0
,,,,,,,l10n_tn_tax_vat_sale_6,l10n_tn_tax_vat_sale_0
,,,,,,,l10n_tn_tax_vat_sale_12,l10n_tn_tax_vat_sale_0
,,,,,,,l10n_tn_tax_vat_sale_18,l10n_tn_tax_vat_sale_0
,,,,,,,l10n_tn_tax_vat_sale_13,l10n_tn_tax_vat_sale_0
,,,,,,,l10n_tn_tax_vat_purchase_19_fixed_assets,l10n_tn_tax_vat_purchase_0_fixed_assets
,,,,,,,l10n_tn_tax_vat_purchase_13_fixed_assets,l10n_tn_tax_vat_purchase_0_fixed_assets
,,,,,,,l10n_tn_tax_vat_purchase_7_fixed_assets,l10n_tn_tax_vat_purchase_0_fixed_assets
,,,,,,,l10n_tn_tax_vat_purchase_19_local_equipment,l10n_tn_tax_vat_purchase_0_local_equipment
,,,,,,,l10n_tn_tax_vat_purchase_13_local_equipment,l10n_tn_tax_vat_purchase_0_local_equipment
,,,,,,,l10n_tn_tax_vat_purchase_7_local_equipment,l10n_tn_tax_vat_purchase_0_local_equipment
,,,,,,,l10n_tn_tax_vat_purchase_19_other_local,l10n_tn_tax_vat_purchase_0_other_local
,,,,,,,l10n_tn_tax_vat_purchase_13_other_local,l10n_tn_tax_vat_purchase_0_other_local
,,,,,,,l10n_tn_tax_vat_purchase_7_other_local,l10n_tn_tax_vat_purchase_0_other_local
l10n_tn_fp_template_export,,Export,"1",,,,,,
,,,,,,,l10n_tn_tax_vat_sale_19,l10n_tn_tax_vat_sale_0
,,,,,,,l10n_tn_tax_vat_sale_7,l10n_tn_tax_vat_sale_0
,,,,,,,l10n_tn_tax_vat_sale_6,l10n_tn_tax_vat_sale_0
,,,,,,,l10n_tn_tax_vat_sale_12,l10n_tn_tax_vat_sale_0
,,,,,,,l10n_tn_tax_vat_sale_18,l10n_tn_tax_vat_sale_0
,,,,,,,l10n_tn_tax_vat_sale_13,l10n_tn_tax_vat_sale_0
