"id","name","type_tax_use","amount","amount_type","description","invoice_label","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","fiscal_position_ids","original_tax_ids","repartition_line_ids/use_in_tax_closing","include_base_amount","price_include_override"
"uae_sale_tax_5_dubai","5% DU","sale","5.0","percent","Dubai","5%","ae_tax_group_5","base","invoice","1(b)B","","","account_fiscal_position_dubai","","","",""
"","","","","","","","","tax","invoice","1(b)T","uae_account_201017","","","","","",""
"","","","","","","","","base","refund","1(b)B","","","","","","",""
"","","","","","","","","tax","refund","1(b)T","uae_account_201017","","","","","",""
"uae_sale_tax_5_abu_dhabi","5% AZ","sale","5.0","percent","Abu Dhabi","5%","ae_tax_group_5","base","invoice","1(a)B","","","account_fiscal_position_abu_dhabi","uae_sale_tax_5_dubai","","",""
"","","","","","","","","tax","invoice","1(a)T","uae_account_201017","","","","","",""
"","","","","","","","","base","refund","1(a)B","","","","","","",""
"","","","","","","","","tax","refund","1(a)T","uae_account_201017","","","","","",""
"uae_sale_tax_5_sharjah","5% SH","sale","5.0","percent","Sharjah","5%","ae_tax_group_5","base","invoice","1(c)B","","","account_fiscal_position_sharjah","uae_sale_tax_5_dubai","","",""
"","","","","","","","","tax","invoice","1(c)T","uae_account_201017","","","","","",""
"","","","","","","","","base","refund","1(c)B","","","","","","",""
"","","","","","","","","tax","refund","1(c)T","uae_account_201017","","","","","",""
"uae_sale_tax_5_ajman","5% AJ","sale","5.0","percent","Ajman","5%","ae_tax_group_5","base","invoice","1(d)B","","","account_fiscal_position_ajman","uae_sale_tax_5_dubai","","",""
"","","","","","","","","tax","invoice","1(d)T","uae_account_201017","","","","","",""
"","","","","","","","","base","refund","1(d)B","","","","","","",""
"","","","","","","","","tax","refund","1(d)T","uae_account_201017","","","","","",""
"uae_sale_tax_5_umm_al_quwain","5% UQ","sale","5.0","percent","Umm Al Quwain","5%","ae_tax_group_5","base","invoice","1(e)B","","","account_fiscal_position_umm_al_quwain","uae_sale_tax_5_dubai","","",""
"","","","","","","","","tax","invoice","1(e)T","uae_account_201017","","","","","",""
"","","","","","","","","base","refund","1(e)B","","","","","","",""
"","","","","","","","","tax","refund","1(e)T","uae_account_201017","","","","","",""
"uae_sale_tax_5_ras_al_khaima","5% RK","sale","5.0","percent","Ras Al-Khaima","5%","ae_tax_group_5","base","invoice","1(f)B","","","account_fiscal_position_ras_al_khaima","uae_sale_tax_5_dubai","","",""
"","","","","","","","","tax","invoice","1(f)T","uae_account_201017","","","","","",""
"","","","","","","","","base","refund","1(f)B","","","","","","",""
"","","","","","","","","tax","refund","1(f)T","uae_account_201017","","","","","",""
"uae_sale_tax_5_fujairah","5% FU","sale","5.0","percent","Fujairah","5%","ae_tax_group_5","base","invoice","1(g)B","","","account_fiscal_position_fujairah","uae_sale_tax_5_dubai","","",""
"","","","","","","","","tax","invoice","1(g)T","uae_account_201017","","","","","",""
"","","","","","","","","base","refund","1(g)B","","","","","","",""
"","","","","","","","","tax","refund","1(g)T","uae_account_201017","","","","","",""
"uae_sale_tax_0","0%","sale","0.0","percent","","0%","ae_tax_group_0","base","invoice","4B","","","account_fiscal_position_uae","","","",""
"","","","","","","","","tax","invoice","","uae_account_201017","","","","","",""
"","","","","","","","","base","refund","4B","","","","","","",""
