"id","code","name","account_type","reconcile","tag_ids","non_trade","name@zh_TW"
"l10n_tw_account_1100","1100","Bank deposits","asset_cash","True","","False","銀行存款"
"l10n_tw_account_1101","1101","Cash and cash equivalents","asset_cash","True","","False","現金及約當現金"
"l10n_tw_account_1102","1102","Bank suspense","asset_current","False","","False","銀行暫記帳戶"
"l10n_tw_account_1103","1103","Liquidity transfer","asset_current","True","","False","流動性移轉"
"l10n_tw_account_1111","1111","Financial assets at fair value through profit or loss - current","asset_current","False","account.account_tag_operating","False","透過損益按公允價值衡量之金融資產－流動"
"l10n_tw_account_1113","1113","Financial assets at fair value through other comprehensive income - current","asset_current","False","account.account_tag_investing","False","透過其他綜合損益按公允價值衡量之金融資產－流動"
"l10n_tw_account_1121","1121","Hedging derivative financial assets - current","asset_current","False","account.account_tag_operating","False","避險之衍生金融資產－流動"
"l10n_tw_account_1131","1131","Financial assets at amortized cost - current","asset_current","False","account.account_tag_operating","False","按攤銷後成本衡量之金融資產－流動"
"l10n_tw_account_1151","1151","Notes receivable","asset_receivable","True","account.account_tag_operating","True","應收票據"
"l10n_tw_account_1156","1156","Accounts receivable","asset_receivable","True","account.account_tag_operating","True","應收帳款"
"l10n_tw_account_1157","1157","Accounts receivable for Point of Sale (POS)","asset_receivable","True","account.account_tag_operating","True","門市應收款"
"l10n_tw_account_1158","1158","Allowance for doubtful accounts","asset_current","False","account.account_tag_operating","False","備抵呆帳"
"l10n_tw_account_1171","1171","Other receivables","asset_receivable","True","account.account_tag_operating","False","其他應收款"
"l10n_tw_account_1221","1221","Current income tax asset","asset_current","False","account.account_tag_operating","False","本期所得稅資產"
"l10n_tw_account_1310","1310","Inventory","asset_current","False","account.account_tag_operating","False","存貨"
"l10n_tw_account_1311","1311","Finished products","asset_current","False","account.account_tag_operating","False","製成品"
"l10n_tw_account_1312","1312","By-products","asset_current","False","account.account_tag_operating","False","副產品"
"l10n_tw_account_1313","1313","Semi-finished products","asset_current","False","account.account_tag_operating","False","半成品"
"l10n_tw_account_1314","1314","Work in progress","asset_current","False","account.account_tag_operating","False","在製品"
"l10n_tw_account_1315","1315","Raw materials","asset_current","False","account.account_tag_operating","False","原料"
"l10n_tw_account_1316","1316","Goods in transit","asset_current","False","account.account_tag_operating","False","在途存貨"
"l10n_tw_account_1318","1318","Uninvoiced shipments","asset_current","False","account.account_tag_operating","False","已出貨未開票存貨"
"l10n_tw_account_1319","1319","Allowance for inventory impairment","asset_current","False","account.account_tag_operating","False","備抵存貨跌價"
"l10n_tw_account_1361","1361","Biological assets - current","asset_current","False","account.account_tag_operating","False","生物資產－流動"
"l10n_tw_account_1411","1411","Prepayments","asset_prepayments","False","account.account_tag_operating","False","預付款項"
"l10n_tw_account_1461","1461","Non-current assets for sale","asset_current","False","account.account_tag_investing","False","待出售非流動資產"
"l10n_tw_account_1470","1470","Other current assets","asset_current","False","account.account_tag_operating","False","其他流動資產"
"l10n_tw_account_1481","1481","Input VAT","asset_current","False","account.account_tag_operating","False","進項稅額"
"l10n_tw_account_1482","1482","Creditable Withholding Tax (WHT)","asset_current","False","account.account_tag_operating","False","尚未抵繳之扣繳稅款"
"l10n_tw_account_1485","1485","Withholding (WHT) receivable","asset_receivable","True","account.account_tag_operating","True","代扣稅額"
"l10n_tw_account_1486","1486","Value added tax (VAT) receivable","asset_receivable","True","account.account_tag_operating","True","應收退稅款"
"l10n_tw_account_1487","1487","Other tax receivables","asset_receivable","True","account.account_tag_operating","True","其他應收稅款"
"l10n_tw_account_1511","1511","Financial assets at fair value through profit or loss - non-current","asset_non_current","False","account.account_tag_investing","False","透過損益按公允價值衡量之金融資產－非流動"
"l10n_tw_account_1513","1513","Financial assets at fair value through other comprehensive income - non-current","asset_non_current","False","account.account_tag_investing","False","透過其他綜合損益按公允價值衡量之金融資產－非流動"
"l10n_tw_account_1521","1521","Hedging derivative financial assets - non-current","asset_non_current","False","account.account_tag_investing","False","避險之衍生金融資產－非流動"
"l10n_tw_account_1531","1531","Financial assets at amortized cost - non-current","asset_non_current","False","account.account_tag_investing","False","按攤銷後成本衡量之金融資產－非流動"
"l10n_tw_account_1543","1543","Financial assets measured at cost - non-current","asset_non_current","False","account.account_tag_investing","False","按成本衡量之金融資產－非流動"
