"id","sequence","name","type_tax_use","amount","amount_type","description","tax_group_id","active","tax_exigibility","cash_basis_transition_account_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"l10n_ng_vat_out_7_5","10","7.5%","sale","7.5","percent","7.5%","l10n_ng_tax_group_vat_7_5","","","","base","invoice","+20","",""
"","","","","","","","","","","","tax","invoice","+45","l10n_ng_tax_received",""
"","","","","","","","","","","","base","refund","-20","",""
"","","","","","","","","","","","tax","refund","-45","l10n_ng_tax_received",""
"l10n_ng_vat_out_0","20","0%","sale","0","percent","0%","l10n_ng_tax_group_vat_0","","","","base","invoice","+20||+30","",""
"","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","base","refund","-20||-30","",""
"","","","","","","","","","","","tax","refund","","",""
"l10n_ng_vat_out_exempt","30","7.5% Exempt","sale","0","percent","7.5% Exempt","l10n_ng_tax_group_vat_7_5","","","","base","invoice","+20||+25","",""
"","","","","","","","","","","","tax","invoice","","l10n_ng_tax_received",""
"","","","","","","","","","","","base","refund","-20||-25","",""
"","","","","","","","","","","","tax","refund","","l10n_ng_tax_received",""
"l10n_ng_vat_out_5_wh","40","5% WH","sale","-5","percent","5% Withholding","l10n_ng_tax_group_wh_5","","","","base","invoice","+20","",""
"","","","","","","","","","","","tax","invoice","-35","l10n_ng_tax_received",""
"","","","","","","","","","","","base","refund","-20","",""
"","","","","","","","","","","","tax","refund","+35","l10n_ng_tax_received",""
"l10n_ng_vat_out_10_wh","50","10% WH","sale","-10","percent","10% Withholding","l10n_ng_tax_group_wh_10","","","","base","invoice","+20","",""
"","","","","","","","","","","","tax","invoice","-35","l10n_ng_tax_received",""
"","","","","","","","","","","","base","refund","-20","",""
"","","","","","","","","","","","tax","refund","+35","l10n_ng_tax_received",""
"l10n_ng_vat_in_7_5","60","7.5%","purchase","7.5","percent","7.5%","l10n_ng_tax_group_vat_7_5","","","","base","invoice","+50","",""
"","","","","","","","","","","","tax","invoice","+75","l10n_ng_tax_paid",""
"","","","","","","","","","","","base","refund","-50","",""
"","","","","","","","","","","","tax","refund","-75","l10n_ng_tax_paid",""
"l10n_ng_vat_in_0","70","0%","purchase","0","percent","0%","l10n_ng_tax_group_vat_0","","","","base","invoice","+55","",""
"","","","","","","","","","","","tax","invoice","","l10n_ng_tax_paid",""
"","","","","","","","","","","","base","refund","-55","",""
"","","","","","","","","","","","tax","refund","","l10n_ng_tax_paid",""
"l10n_ng_vat_in_7_5_import","80","7.5% IM","purchase","7.5","percent","7.5% Import","l10n_ng_tax_group_vat_7_5","","","","base","invoice","+65","",""
"","","","","","","","","","","","tax","invoice","+75","l10n_ng_tax_paid",""
"","","","","","","","","","","","base","refund","-65","",""
"","","","","","","","","","","","tax","refund","-75","l10n_ng_tax_paid",""
"l10n_ng_vat_in_7_5_auto","90","7.5% Auto","purchase","7.5","percent","7.5% Automatic/electronic","l10n_ng_tax_group_vat_7_5","","","","base","invoice","+50","",""
"","","","","","","","","","","","tax","invoice","+85","l10n_ng_tax_paid",""
"","","","","","","","","","","","base","refund","-50","",""
"","","","","","","","","","","","tax","refund","-85","l10n_ng_tax_paid",""
"l10n_ng_vat_in_7_5_oil","100","7.5% Oil & Gas","purchase","7.5","percent","7.5% Oil & Gas","l10n_ng_tax_group_vat_7_5","","","","base","invoice","+50","",""
"","","","","","","","","","","","tax","invoice","+90","l10n_ng_tax_paid",""
"","","","","","","","","","","","base","refund","-50","",""
"","","","","","","","","","","","tax","refund","-90","l10n_ng_tax_paid",""
"l10n_ng_vat_in_5_wh","110","5% WH","purchase","-5","percent","5% Withholding","l10n_ng_tax_group_wh_5","","on_payment","l10n_ng_withholding_transitional","base","invoice","","",""
"","","","","","","","","","","","tax","invoice","-10","l10n_ng_withholding",""
"","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","tax","refund","+10","l10n_ng_withholding",""
"l10n_ng_vat_in_10_wh","120","10% WH","purchase","-10","percent","10% Withholding","l10n_ng_tax_group_wh_10","","on_payment","l10n_ng_withholding_transitional","base","invoice","","",""
"","","","","","","","","","","","tax","invoice","-10","l10n_ng_withholding",""
"","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","tax","refund","+10","l10n_ng_withholding",""
