id,name
box_1099_nec_01,"NEC - 1 Nonemployee compensation"
box_1099_misc_01,"MISC - 1 Rents"
box_1099_misc_02,"MISC - 2 Royalties"
box_1099_misc_03,"MISC - 3 Other income"
box_1099_misc_05,"MISC - 5 Fishing boat proceeds"
box_1099_misc_06,"MISC - 6 Medical and health care payments"
box_1099_misc_08,"MISC - 8 Substitute payments in lieu of dividends or interest"
box_1099_misc_09,"MISC - 9 Crop insurance proceeds"
box_1099_misc_10,"MISC - 10 Gross proceeds paid to an attorney"
box_1099_misc_11,"MISC - 11 Fish purchased for resale"
box_1099_misc_12,"MISC - 12 Section 409A deferrals"
box_1099_misc_13,"MISC - 13 Excess golden parachute payments"
box_1099_misc_14,"MISC - 14 Nonqualified deferred compensation"
