"id","code_prefix_start","name","name@ka"
"ge_group_1","1","Assets","აქტივები"
"ge_group_11","11","Cash on Hand","სალარო (ნაღდი ფული)"
"ge_group_12","12","Cash in Bank Accounts","ფული საბანკო ანგარიშებზე"
"ge_group_13","13","Short Term Investments","მოკლევადიანი ინვესტიციები"
"ge_group_14","14","Accounts Receivable","დებიტორული დავალიანება"
"ge_group_15","15","Advances","ავანსები"
"ge_group_16","16","Inventory","მარაგები"
"ge_group_17","17","Prepaid Expenses","წინასწარ გადახდილი ხარჯები"
"ge_group_18","18","Accrued Receivables","დარიცხული მოთხოვნები"
"ge_group_19","19","Other Current Assets","სხვა მიმდინარე აქტივები"
"ge_group_2","2","Non Current Assets","გრძელვადიანი აქტივები"
"ge_group_21","21","Fixed Assets","ძირითადი საშუალებები"
"ge_group_22","22","Accumulated Depreciation PPE","დაგროვილი ცვეთა — ძირითადი საშუალებები"
"ge_group_25","25","Intangible Assets Cost","არამატერიალური აქტივები"
"ge_group_26","26","Accumulated Amortisation Intangibles","დაგროვილი ამორტიზაცია — არამატერიალური აქტივები"
"ge_group_27","27","Long Term Receivables","გრძელვადიანი მოთხოვნები"
"ge_group_28","28","Long Term Investments","გრძელვადიანი ინვესტიციები"
"ge_group_3","3","Liabilities","ვალდებულებები"
"ge_group_31","31","Short Term Liabilities","მოკლევადიანი ვალდებულებები"
"ge_group_32","32","Short Term Loans","მოკლევადიანი სესხები"
"ge_group_33","33","Tax and Government Liabilities","საგადასახადო ვალდებულებები"
"ge_group_34","34","Accrued Liabilities","დარიცხული ვალდებულებები"
"ge_group_4","4","Long Term Liabilities","გრძელვადიანი ვალდებულებები"
"ge_group_41","41","Long Term Loans","გრძელვადიანი სასესხო ვალდებულებები"
"ge_group_44","44","Deferred Income","გადავადებული შემოსავალი"
"ge_group_45","45","Provisions","რეზერვები"
"ge_group_5","5","Equity","კაპიტალი"
"ge_group_51","51","Capital & Contributions","საწესდებო კაპიტალი"
"ge_group_53","53","Profit & Loss","მოგება / ზარალი"
"ge_group_54","54","Reserves","რეზერვები"
"ge_group_6","6","Revenue","შემოსავლები"
"ge_group_61","61","Core Revenue","საოპერაციო შემოსავალი"
"ge_group_63","63","Contra Revenue","კონტრ-შემოსავალი"
"ge_group_65","65","Other Operating Revenue","სხვა საოპერაციო შემოსავალი"
"ge_group_66","66","Intercompany Revenue","შიდა ჯგუფური შემოსავალი"
"ge_group_67","67","Government & Grant-Related Revenue","გრანტები და სუბსიდიები"
"ge_group_7","7","Expenses","საოპერაციო ხარჯები"
"ge_group_71","71","Cost of Goods Sold","რეალიზებული პროდუქციის თვითღირებულება"
"ge_group_72","72","Employee Expenses","პერსონალის ხარჯები"
"ge_group_73","73","Sales & Marketing Expenses","მარკეტინგისა და გაყიდვების ხარჯები"
"ge_group_74","74","General & Administrative Expenses","საერთო და ადმინისტრაციული ხარჯები"
"ge_group_75","75","Travel & Representation","სამივლინებო და წარმომადგენლობითი ხარჯები"
"ge_group_76","76","Impairment & Credit Losses","გაუფასურება და საკრედიტო ზარალი"
"ge_group_77","77","Depreciation & Amortisation","ცვეთა და ამორტიზაცია"
"ge_group_8","8","Non-Operating Income Expenses","არასაოპერაციო შემოსავლები და ხარჯები"
"ge_group_81","81","Non-Operating Income","არასაოპერაციო შემოსავლები"
"ge_group_82","82","Non-Operating Expenses","არასაოპერაციო ხარჯები"
"ge_group_9","9","Other Non Operational and Control Accounts","სხვა არასაოპერაციო და საკონტროლო ანგარიშები"
"ge_group_91","91","Corporate Income Taxes","მოგების გადასახადი"
"ge_group_99","99","Zero Balance Control Accounts","ნულოვანი ნაშთის საკონტროლო ანგარიშები"
