"id","name","code","account_type","tag_ids","reconcile","non_trade"
"current_assets","Current Assets","1010","asset_current","","False",""
"stock_valuation","Stock Valuation","1101","asset_current","","False",""
"stock_in","Stock Interim (Received)","1102","asset_current","","True",""
"stock_out","Stock Interim (Delivered)","1103","asset_current","","True",""
"cost_of_production","Cost of Production","1104","asset_current","","True",""
"wip","Work in Progress","1105","asset_current","","True",""
"receivable","Account Receivable","1210","asset_receivable","","True",""
"to_receive_rec","Products to receive","1211","asset_current","","True",""
"prepaid_expenses","Prepaid Expenses","1280","asset_current","","False",""
"tax_paid","Tax Paid","1310","asset_current","","False",""
"tax_receivable","Tax Receivable","1320","asset_receivable","","True","True"
"prepayments","Prepayments","1410","asset_prepayments","","False",""
"fixed_assets","Fixed Asset","1510","asset_fixed","","False",""
"non_current_assets","Non-current assets","1910","asset_non_current","","False",""
"current_liabilities","Current Liabilities","2010","liability_current","","False",""
"payable","Account Payable","2110","liability_payable","","True",""
"to_receive_pay","Bills to receive","2111","liability_current","","True",""
"deferred_revenue","Deferred Revenue","2120","liability_current","","False",""
"salary_payable","Salary Payable","2300","liability_current","","True",""
"employee_payroll_taxes","Employee Payroll Taxes","2301","liability_current","","True",""
"employer_payroll_taxes","Employer Payroll Taxes","2302","liability_current","","True",""
"tax_received","Tax Received","2510","liability_current","","False",""
"tax_payable","Tax Payable","2520","liability_payable","","True","True"
"non_current_liabilities","Non-current Liabilities","2910","liability_non_current","","False",""
"capital","Capital","3010","equity","","False",""
"dividends","Dividends","3020","equity","","False",""
"income","Product Sales","4000","income","account.account_tag_operating","False",""
"income_currency_exchange","Foreign Exchange Gain","4410","income","account.account_tag_financing","False",""
"cash_diff_income","Cash Difference Gain","4420","income","account.account_tag_investing","False",""
"cash_discount_loss","Cash Discount Loss","4430","expense","","False",""
"other_income","Other Income","4500","income_other","","False",""
"cost_of_goods_sold","Cost of Goods Sold","5000","expense_direct_cost","account.account_tag_operating","False",""
"expense","Expenses","6000","expense","account.account_tag_operating","False",""
"expense_invest","Purchase of Equipments","6110","expense","account.account_tag_investing","False",""
"expense_rent","Rent","6120","expense","account.account_tag_investing","False",""
"expense_finance","Bank Fees","6200","expense","account.account_tag_financing","False",""
"expense_salary","Salary Expenses","6300","expense","account.account_tag_operating","False",""
"expense_currency_exchange","Foreign Exchange Loss","6410","expense","account.account_tag_financing","False",""
"cash_diff_expense","Cash Difference Loss","6420","expense","account.account_tag_investing","False",""
"cash_discount_gain","Cash Discount Gain","6430","income","","False",""
"expense_rd","RD Expenses","9610","expense","account.account_tag_investing","False",""
"expense_sales","Sales Expenses","9620","expense","account.account_tag_investing","False",""
"pos_receivable","Account Receivable (PoS)","1013","asset_receivable","","True",""
"credit_card","Credit Card","201100","liability_credit_card","","False",""
