"id","name","country_id","tax_payable_account_id","tax_receivable_account_id"
"tax_group_sst_5","SST 5%","base.my","l10n_my_221700","l10n_my_124700"
"tax_group_sst_6","SST 6%","base.my","l10n_my_221700","l10n_my_124700"
"tax_group_sst_8","SST 8%","base.my","l10n_my_221700","l10n_my_124700"
"tax_group_sst_10","SST 10%","base.my","l10n_my_221700","l10n_my_124700"
"tax_group_sst_25_per_card","SST 25 Per Card","base.my","l10n_my_221700","l10n_my_124700"
"tax_group_sst_pl","SST X Per Litre","base.my","l10n_my_221700","l10n_my_124700"
"tax_group_sst_pk","SST X Per Kilogram","base.my","l10n_my_221700","l10n_my_124700"
"tax_group_sst_av","SST X %","base.my","l10n_my_221700","l10n_my_124700"
"tax_group_not_applicable","Not Applicable","base.my","l10n_my_221700","l10n_my_124700"
"tax_group_exempt","Exempt","base.my","l10n_my_221700","l10n_my_124700"
