"id","description","sequence","active","name","invoice_label","type_tax_use","amount_type","tax_scope","amount","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","fiscal_position_ids","original_tax_ids","formula"
"l10n_my_tax_sale_0","Not Applicable","1","True","0% NA","0%","sale","percent","","0.0","tax_group_not_applicable","100","base","invoice","","","l10n_my_domestic_fiscal_position","",""
"","","","","","","","","","","","100","tax","invoice","","","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","","","","",""
"l10n_my_tax_purchase_0","Not Applicable","1","True","0% NA","0%","purchase","percent","","0.0","tax_group_not_applicable","100","base","invoice","","","l10n_my_domestic_fiscal_position","",""
"","","","","","","","","","","","100","tax","invoice","","","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","","","","",""
"l10n_my_tax_sale_5","SST 5%","1","True","5% G","5%","sale","percent","consu","5.0","tax_group_sst_5","100","base","invoice","","SST02_11A_C||SST02_8","l10n_my_domestic_fiscal_position","",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_11A_D","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
"l10n_my_tax_sale_6","SST 6%","1","False","6% S","6%","sale","percent","service","6.0","tax_group_sst_6","100","base","invoice","","SST02_11C_C6||SST02_10","l10n_my_domestic_fiscal_position","",""
"","","","","","","","","","","","100","tax","invoice","l10n_my_2213","SST02_11C_D6","","",""
"","","","","","","","","","","","100","base","refund","","","","",""
"","","","","","","","","","","","100","tax","refund","l10n_my_2213","SST02_13A_D","","",""
"l10n_my_tax_sale_8_ot_group_h","SST 8% Other than Group H","1","True","8% S","8%","sale","percent","service","8.0","tax_group_sst_8","100","base","invoice","","SST02_11C_C8||SST02_10","l10n_my_domestic_fiscal_position","",""
