"id","name","description","invoice_label","amount","amount_type","type_tax_use","sequence","tax_group_id","tax_scope","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@pl"
"vs_kraj_23","23% G","","23%","23.0","percent","sale","0","tax_group_vat_23","","","base","invoice","+K_19","","","23% T"
"","","","","","","","","","","","tax","invoice","+K_20","chart22020100","",""
"","","","","","","","","","","","base","refund","-K_19","","",""
"","","","","","","","","","","","tax","refund","-K_20","chart22020100","",""
"vs_kraj_8","8%","","8%","8.0","percent","sale","","tax_group_vat_8","","","base","invoice","+K_17","","",""
"","","","","","","","","","","","tax","invoice","+K_18","chart22020200","",""
"","","","","","","","","","","","base","refund","-K_17","","",""
"","","","","","","","","","","","tax","refund","-K_18","chart22020200","",""
"vs_kraj_5","5%","","5%","5.0","percent","sale","","tax_group_vat_5","","","base","invoice","+K_15","","",""
"","","","","","","","","","","","tax","invoice","+K_16","chart22020300","",""
"","","","","","","","","","","","base","refund","-K_15","","",""
"","","","","","","","","","","","tax","refund","-K_16","chart22020300","",""
"vs_kraj_0","0%","","0%","0.0","percent","sale","","tax_group_vat_0","","","base","invoice","+K_13","","",""
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_13","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vs_zwrot_podróżnych_0","0% Travel","","0%","0.0","percent","sale","","tax_group_vat_0","","","base","invoice","+K_14","","","0% Podróż"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_14","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vs_kraj_zw","0% Exempt","","0%","0.0","percent","sale","","tax_group_vat_0","","","base","invoice","+K_10","","","0% Zwolnione"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_10","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vs_kraj_zw_gold","0% Exempt Gold","","0%","0.0","percent","sale","","tax_group_vat_0","","","base","invoice","+K_10||Gold","","","0% Zwolnione Złota"
"","","","","","","","","","","","tax","invoice","","","",""
"","","","","","","","","","","","base","refund","-K_10||Gold","","",""
"","","","","","","","","","","","tax","refund","","","",""
"vs_kraj_usl_23","23% S","","23%","23.0","percent","sale","","tax_group_vat_23","service","","base","invoice","+K_19","","","23% U"
"","","","","","","","","","","","tax","invoice","+K_20","chart22020100","",""
