id,name,l10n_co_document_code,country_id:id,is_vat,sequence
rut,NIT,rut,base.co,TRUE,1
national_citizen_id,Cédula de ciudadanía,national_citizen_id,base.co,FALSE,2
external_id,ID del Exterior,external_id,,FALSE,3
id_card,Tarjeta de Identidad,id_card,base.co,FALSE,6
civil_registration,Registro Civil,civil_registration,base.co,FALSE,7
diplomatic_card,Carné Diplomatico,diplomatic_card,base.co,FALSE,8
residence_document,Salvoconducto de Permanencia,residence_document,base.co,FALSE,9
id_document,Cédula,id_document,base.co,FALSE,10
l10n_latam_base.it_vat,VAT,rut,,TRUE,80
l10n_latam_base.it_pass,Passport,passport,,FALSE,90,
l10n_latam_base.it_fid,Foreign ID,foreign_id_card,,FALSE,100
