id,code,name,reconcile,account_type,chart_template_id:id
co_puc_110505,110505,Caja General,FALSE,asset_cash,l10n_co_chart_template_generic
co_puc_120535,120535,Comercio al Por Mayor y al Por Menor,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_129595,129595,Diversas,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_130505,130505,Nacionales,TRUE,asset_receivable,l10n_co_chart_template_generic
co_puc_130507,130507,Nacionales,TRUE,asset_receivable,l10n_co_chart_template_generic
co_puc_130510,130510,Del Exterior,TRUE,asset_receivable,l10n_co_chart_template_generic
co_puc_131010,131010,Compañías Vinculadas,TRUE,asset_receivable,l10n_co_chart_template_generic
co_puc_132510,132510,a Accionistas,TRUE,asset_receivable,l10n_co_chart_template_generic
co_puc_133005,133005,a Proveedores,TRUE,asset_receivable,l10n_co_chart_template_generic
co_puc_133010,133010,a Contratistas,TRUE,asset_receivable,l10n_co_chart_template_generic
co_puc_133015,133015,a Trabajadores,TRUE,asset_receivable,l10n_co_chart_template_generic
co_puc_133505,133505,Para Importaciones,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_135505,135505,Anticipo de Impuestos de Renta y Complementarios,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_135510,135510,Anticipo de Impuestos de Industria y Comercio,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_135515,135515,Retención en la Fuente,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_135517,135517,Impuesto a Las Ventas Retenido,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_135518,135518,Impuesto de Industria y Comercio Retenido,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_135520,135520,Sobrantes en Liquidación Privada de Impuestos,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_136005,136005,a Compañías Aseguradoras,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_136010,136010,a Transportadores,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_136015,136015,Por Tiquetes Aéreos,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_136515,136515,Educación,TRUE,asset_receivable,l10n_co_chart_template_generic
co_puc_136525,136525,Calamidad Doméstica,TRUE,asset_receivable,l10n_co_chart_template_generic
co_puc_138095,138095,Otros,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_139005,139005,Deudas de Difícil Cobro,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_139905,139905,Clientes,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_143005,143005,Productos Manufacturados,FALSE,asset_current,l10n_co_chart_template_generic
co_puc_149905,149905,Para Obsolescencia,FALSE,asset_current,l10n_co_chart_template_generic
