id,name,applicability
tag_1,INC04S>,taxes
tag_2,INC08S>,taxes
tag_3,INC08B>,taxes
tag_4,INC16S>,taxes
tag_5,INC16B>,taxes
tag_6,INC04S<,taxes
tag_7,INC08S<,taxes
tag_8,INC08B<,taxes
tag_9,INC16S<,taxes
tag_10,INC16B<,taxes
tag_11,INC08B<IM,taxes
tag_12,INC16B<IM,taxes
tag_13,CREE04>\,taxes
tag_14,CREE04>/,taxes
tag_15,CREE04>,taxes
tag_16,CREE08>\,taxes
tag_17,CREE08>/,taxes
tag_18,CREE08>,taxes
tag_19,CREE16>\,taxes
tag_20,CREE16>/,taxes
tag_21,CREE16>,taxes
tag_22,IVA05B>,taxes
tag_23,IVA05B>EX,taxes
tag_24,IVA05B>ZF,taxes
tag_25,IVA05B>SI,taxes
tag_26,IVA05S>,taxes
tag_27,IVA05S>EX,taxes
tag_28,IVA05S>ZF,taxes
tag_29,IVA05S>SI,taxes
tag_30,IVA16b>,taxes
tag_31,IVA16b>EX,taxes
tag_32,IVA16b>ZF,taxes
tag_33,IVA16b>SI,taxes
tag_34,IVA16S>,taxes
tag_35,IVA16S>EX,taxes
tag_36,IVA16S>ZF,taxes
tag_37,IVA16S>SI,taxes
tag_38,IVAeeB>,taxes
tag_39,IVAeeB>EX,taxes
tag_40,IVAeeB>ZF,taxes
tag_41,IVAeeB>SI,taxes
tag_42,IVAeeS>,taxes
tag_43,IVAeeS>EX,taxes
tag_44,IVAeeS>ZF,taxes
tag_45,IVAeeS>SI,taxes
tag_46,IVAecB>,taxes
tag_47,IVAecB>EX,taxes
tag_48,IVAecB>ZF,taxes
tag_49,IVAecB>SI,taxes
tag_50,IVAecS>,taxes
tag_51,IVAecS>EX,taxes
tag_52,IVAecS>ZF,taxes
tag_53,IVAecS>SI,taxes
tag_54,IVAngB>,taxes
tag_55,IVAngB>EX,taxes
tag_56,IVAngB>ZF,taxes
tag_57,IVAngB>SI,taxes
tag_58,IVAngS>,taxes
tag_59,IVAngS>EX,taxes
tag_60,IVAngS>ZF,taxes
tag_61,IVAngS>SI,taxes
tag_62,IVA05Bd<,taxes
tag_63,IVA05Bd<EX,taxes
tag_64,IVA05Bd<ZF,taxes
tag_65,IVA05Bd<SI,taxes
tag_66,IVA05Sd<,taxes
tag_67,IVA05Sd<EX,taxes
tag_68,IVA05Sd<ZF,taxes
tag_69,IVA05Sd<SI,taxes
tag_70,IVA16Bd<,taxes
tag_71,IVA16Bd<EX,taxes
tag_72,IVA16Bd<ZF,taxes
tag_73,IVA16Bd<SI,taxes
tag_74,IVA16Sd<,taxes
tag_75,IVA16Sd<EX,taxes
tag_76,IVA16Sd<ZF,taxes
tag_77,IVA16Sd<SI,taxes
tag_78,IVA05Bc<,taxes
tag_79,IVA05Bc<EX,taxes
tag_80,IVA05Bc<ZF,taxes
tag_81,IVA05Bc<SI,taxes
tag_82,IVA05Sc<,taxes
tag_83,IVA05Sc<EX,taxes
tag_84,IVA05Sc<ZF,taxes
tag_85,IVA05Sc<SI,taxes
tag_86,IVA16Bc<,taxes
tag_87,IVA16Bc<EX,taxes
tag_88,IVA16Bc<ZF,taxes
