id,name,country_id/id
tax_group_ar_ren_0,AR REN 0%,base.co
tax_group_covered_goods,Bienes Cubiertos,base.co
tax_group_cree_4,CREE 4%,base.co
tax_group_cree_8,CREE 8%,base.co
tax_group_cree_16,CREE 16%,base.co
tax_group_iva_0,IVA 0%,base.co
tax_group_iva_075,IVA 0.75%,base.co
tax_group_iva_2,IVA 2%,base.co
tax_group_iva_204,IVA 2.4%,base.co
tax_group_iva_4,IVA 4%,base.co
tax_group_iva_5,IVA 5%,base.co
tax_group_iva_8,IVA 8%,base.co
tax_group_iva_16,IVA 16%,base.co
tax_group_iva_19,IVA 19%,base.co
tax_group_inc_4,INC 4%,base.co
tax_group_inc_8,INC 8%,base.co
tax_group_inc_16,INC 16%,base.co
tax_group_r_ica_0,R ICA 0%,base.co
tax_group_r_ica_0414,R ICA 0.414%,base.co
tax_group_r_ica_069,R ICA 0.69%,base.co
tax_group_r_ica_0966,R ICA 0.966%,base.co
tax_group_r_ica_1104,R ICA 1.104%,base.co
tax_group_r_ica_138,R ICA 1.38%,base.co
tax_group_r_iva_075,R IVA 0.75%,base.co
tax_group_r_iva_24,R IVA 2.4%,base.co
tax_group_r_iva_285,R IVA 2.85%,base.co
tax_group_r_iva_16,R IVA 16%,base.co
tax_group_r_ren_0,R REN 0%,base.co
tax_group_r_ren_01,R REN 0.1%,base.co
tax_group_r_ren_05,R REN 0.5%,base.co
tax_group_r_ren_1,R REN 1%,base.co
tax_group_r_ren_15,R REN 1.5%,base.co
tax_group_r_ren_2,R REN 2%,base.co
tax_group_r_ren_25,R REN 2.5%,base.co
tax_group_r_ren_3,R REN 3%,base.co
tax_group_r_ren_35,R REN 3.5%,base.co
tax_group_r_ren_4,R REN 4%,base.co
tax_group_r_ren_6,R REN 6%,base.co
tax_group_r_ren_7,R REN 7%,base.co
tax_group_r_ren_10,R REN 10%,base.co
tax_group_r_ren_11,R REN 11%,base.co
tax_group_r_ren_20,R REN 20%,base.co
tax_group_r_ren_33,R REN 33%,base.co
