"id","code_prefix_start","name","name@sv_SE"
"se_group_1","1","Assets","Tillgångar"
"se_group_10","10","Intangible fixed assets","Immateriella anläggningstillgångar"
"se_group_101","101","Development expenditure","Utvecklingsutgifter"
"se_group_102","102","Concessions, etc.","Koncessioner m.m."
"se_group_103","103","Patents","Patent"
"se_group_104","104","Licences","Licenser"
"se_group_105","105","Trade marks","Varumärken"
"se_group_106","106","Tenancies, leasehold and similar rights","Hyresrätter, tomträtter och liknande"
"se_group_107","107","Goodwill","Goodwill"
"se_group_108","108","Advances for intangible fixed assets","Förskott för immateriella anläggningstillgångar"
"se_group_11","11","Buildings and land","Byggnader och mark"
"se_group_111","111","Buildings","Byggnader"
"se_group_112","112","Improvement costs on another one's property","Förbättringsutgifter på annans fastighet"
"se_group_113","113","Land","Mark"
"se_group_114","114","Land plots and undeveloped land","Tomter och obebyggda markområden"
"se_group_115","115","Land improvements","Markanläggningar"
"se_group_118","118","Construction in progress and advances for buildings and land","Pågående nyanläggningar och förskott för byggnader och mark"
"se_group_12","12","Machinery and equipment","Maskiner och inventarier"
"se_group_121","121","Machinery and other technical equipment","Maskiner och andra tekniska anläggningar"
"se_group_122","122","Equipment and tools","Inventarier och verktyg"
"se_group_123","123","Installations","Installationer"
"se_group_124","124","Vehicles and other means of transport","Bilar och andra transportmedel"
"se_group_125","125","Computers","Datorer"
"se_group_126","126","Leased assets","Leasade tillgångar"
"se_group_128","128","Construction in progress and advances for machinery and equipment","Pågående nyanläggningar och förskott för maskiner och inventarier"
"se_group_129","129","Other tangible fixed assets","Övriga materiella anläggningstillgångar"
"se_group_13","13","Financial fixed assets","Finansiella anläggningstillgångar"
"se_group_131","131","Shares in group companies","Andelar i koncernföretag"
"se_group_132","132","Long-term receivables from group companies","Långfristiga fordringar hos koncernföretag"
"se_group_133","133","Shares in associates, jointly controlled entities and other entities in which an ownership interest exists","Andelar i intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"se_group_134","134","Long-term receivables from associates, jointly controlled entities and other entities in which an ownership interest exists","Långfristiga fordringar hos intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"se_group_135","135","Shares and securities in other enterprises","Andelar och värdepapper i andra företag"
"se_group_136","136","Loans to partners or related parties according to ABL, long-term part","Lån till delägare eller närstående enligt ABL, långfristig del"
"se_group_137","137","Deferred tax assets","Uppskjuten skattefordran"
"se_group_138","138","Other long-term receivables","Andra långfristiga fordringar"
"se_group_14","14","Inventories, work in progress and work in progress","Lager, produkter i arbete och pågående arbeten"
"se_group_141","141","Stocks of raw materials","Lager av råvaror"
"se_group_142","142","Stocks of additives and consumables","Lager av tillsatsmaterial och förnödenheter"
"se_group_144","144","Work in progress","Produkter i arbete"
"se_group_145","145","Stocks of finished goods","Lager av färdiga varor"
"se_group_146","146","Stocks of merchandise","Lager av handelsvaror"
"se_group_147","147","Work in progress","Pågående arbeten"
"se_group_148","148","Advances for goods and services","Förskott för varor och tjänster"
"se_group_149","149","Other inventory assets","Övriga lagertillgångar"
"se_group_15","15","Trade receivables","Kundfordringar"
"se_group_151","151","Trade receivables","Kundfordringar"
"se_group_152","152","Bills of exchange receivable","Växelfordringar"
"se_group_153","153","Contract receivables","Kontraktsfordringar"
"se_group_155","155","Consignment receivables","Konsignationsfordringar"
"se_group_156","156","Accounts receivable from group companies","Kundfordringar hos koncernföretag"
"se_group_157","157","Accounts receivable from associates, jointly controlled entities and other entities in which there is an ownership interest.","Kundfordringar hos intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"se_group_158","158","Receivables for credit cards and vouchers","Fordringar för kontokort och kuponger"
"se_group_16","16","Other current receivables","Övriga kortfristiga fordringar"
"se_group_161","161","Short-term receivables from employees","Kortfristiga fordringar hos anställda"
"se_group_162","162","Accrued but uninvoiced revenue","Upparbetad men ej fakturerad intäkt"
"se_group_163","163","Offset for taxes and duties (tax account)","Avräkning för skatter och avgifter (skattekonto)"
"se_group_164","164","Taxes receivable","Skattefordringar"
"se_group_165","165","VAT receivable","Momsfordran"
"se_group_166","166","Current receivables from group companies","Kortfristiga fordringar hos koncernföretag"
"se_group_167","167","Current receivables from associates, jointly controlled entities and other entities in which there is an ownership interest.","Kortfristiga fordringar hos intresseföretag, gemensamt styrda företag och övriga företag som det finns ett ägarintresse i"
"se_group_168","168","Other current receivables","Andra kortfristiga fordringar"
"se_group_169","169","Receivables for subscribed but unpaid share capital","Fordringar för tecknat men ej inbetalt aktiekapital"
"se_group_17","17","Prepaid expenses and accrued income","Förutbetalda kostnader och upplupna intäkter"
"se_group_171","171","Prepaid rentals","Förutbetalda hyreskostnader"
"se_group_172","172","Prepaid leasing fees","Förutbetalda leasingavgifter"
"se_group_173","173","Prepaid insurance premiums","Förutbetalda försäkringspremier"
"se_group_174","174","Prepaid interest expenses","Förutbetalda räntekostnader"
"se_group_175","175","Accrued rental income","Upplupna hyresintäkter"
"se_group_176","176","Accrued interest income","Upplupna ränteintäkter"
"se_group_177","177","Assets of a cost nature","Tillgångar av kostnadsnatur"
"se_group_178","178","Accrued contractual income","Upplupna avtalsintäkter"
"se_group_179","179","Other prepaid expenses and accrued income","Övriga förutbetalda kostnader och upplupna intäkter"
"se_group_18","18","Short-term investments","Kortfristiga placeringar"
"se_group_181","181","Shares in listed companies","Andelar i börsnoterade företag"
"se_group_182","182","Bonds and notes","Obligationer"
"se_group_183","183","Convertible debt securities","Konvertibla skuldebrev"
"se_group_186","186","Shares in group companies, short-term","Andelar i koncernföretag, kortfristigt"
"se_group_188","188","Other short-term investments","Andra kortfristiga placeringar"
"se_group_189","189","Impairment of short-term investments","Nedskrivning av kortfristiga placeringar"
"se_group_19","19","Cash and bank balances","Kassa och bank"
"se_group_191","191","Cash in hand","Kassa"
"se_group_192","192","PlusGiro","PlusGiro"
"se_group_193","193","Company account/checking account/business account","Företagskonto/checkkonto/affärskonto"
"se_group_194","194","Other bank accounts","Övriga bankkonton"
"se_group_195","195","Bank certificates","Bankcertifikat"
"se_group_196","196","Group account parent company","Koncernkonto moderföretag"
"se_group_197","197","Special bank accounts","Särskilda bankkonton"
"se_group_198","198","Currency accounts","Valutakonton"
"se_group_199","199","Accounting funds","Redovisningsmedel"
"se_group_2","2","Equity and liabilities","Eget kapital och skulder"
"se_group_20","20","Equity capital","Eget kapital"
"se_group_201","201","Equity (partner 1/sole proprietorship)","Eget kapital (delägare 1/enskild firma)"
"se_group_202","202","Equity (partner 2)","Eget kapital (delägare 2)"
"se_group_203","203","Equity (partner 3)","Eget kapital (delägare 3)"
"se_group_204","204","Equity (partner 4)","Eget kapital (delägare 4)"
"se_group_205","205","Allocation to expansion fund","Avsättning till expansionsfond"
"se_group_206","206","Equity in non-profit organisations, foundations and registered religious communities","Eget kapital i ideella föreningar, stiftelser och registrerade trossamfund"
"se_group_207","207","Restricted funds","Ändamålsbestämda medel"
"se_group_208","208","Restricted equity","Bundet eget kapital"
"se_group_209","209","Unrestricted equity","Fritt eget kapital"
"se_group_21","21","Untaxed reserves","Obeskattade reserver"
"se_group_211","211","Accrual funds","Periodiseringsfonder"
"se_group_212","212","Tax allocation fund 2020","Periodiseringsfond 2020"
"se_group_213","213","Tax allocation reserve 2020 - No 2","Periodiseringsfond 2020 – nr 2"
"se_group_215","215","Accumulated excess depreciation","Ackumulerade överavskrivningar"
"se_group_216","216","Compensation fund","Ersättningsfond"
"se_group_219","219","Other untaxed reserves","Övriga obeskattade reserver"
"se_group_22","22","Provisions","Avsättningar"
"se_group_221","221","Provisions for pensions according to the Social Security Act","Avsättningar för pensioner enligt tryggandelagen"
"se_group_222","222","Provisions for guarantees","Avsättningar för garantier"
"se_group_223","223","Other provisions for pensions and similar obligations","Övriga avsättningar för pensioner och liknande förpliktelser"
