"id","country_id:id","state_id:id","name","l10n_pe_code","name@es_419"
"city_pe_0101","base.pe","base.state_pe_01","Chachapoyas","0101","Chachapoyas"
"city_pe_0102","base.pe","base.state_pe_01","Bagua","0102","Bagua"
"city_pe_0103","base.pe","base.state_pe_01","Bongara","0103","Bongara"
"city_pe_0104","base.pe","base.state_pe_01","Condorcanqui","0104","Condorcanqui"
"city_pe_0105","base.pe","base.state_pe_01","Luya","0105","Luya"
"city_pe_0106","base.pe","base.state_pe_01","Rodriguez de Mendoza","0106","Rodriguez de Mendoza"
"city_pe_0107","base.pe","base.state_pe_01","Utcubamba","0107","Utcubamba"
"city_pe_0201","base.pe","base.state_pe_02","Huaraz","0201","Huaraz"
"city_pe_0202","base.pe","base.state_pe_02","Aija","0202","Aija"
"city_pe_0203","base.pe","base.state_pe_02","Antonio Raymondi","0203","Antonio Raymondi"
"city_pe_0204","base.pe","base.state_pe_02","Asunción","0204","Asunción"
"city_pe_0205","base.pe","base.state_pe_02","Bolognesi","0205","Bolognesi"
"city_pe_0206","base.pe","base.state_pe_02","Carhuaz","0206","Carhuaz"
"city_pe_0207","base.pe","base.state_pe_02","Carlos Fermin Fitzcarrald","0207","Carlos Fermin Fitzcarrald"
"city_pe_0208","base.pe","base.state_pe_02","Casma","0208","Casma"
"city_pe_0209","base.pe","base.state_pe_02","Corongo","0209","Corongo"
"city_pe_0210","base.pe","base.state_pe_02","Huari","0210","Huari"
"city_pe_0211","base.pe","base.state_pe_02","Huarmey","0211","Huarmey"
"city_pe_0212","base.pe","base.state_pe_02","Huaylas","0212","Huaylas"
"city_pe_0213","base.pe","base.state_pe_02","Mariscal Luzuriaga","0213","Mariscal Luzuriaga"
"city_pe_0214","base.pe","base.state_pe_02","Ocros","0214","Ocros"
"city_pe_0215","base.pe","base.state_pe_02","Pallasca","0215","Pallasca"
"city_pe_0216","base.pe","base.state_pe_02","Pomabamba","0216","Pomabamba"
"city_pe_0217","base.pe","base.state_pe_02","Recuay","0217","Recuay"
"city_pe_0218","base.pe","base.state_pe_02","Santa","0218","Santa"
"city_pe_0219","base.pe","base.state_pe_02","Sihuas","0219","Sihuas"
"city_pe_0220","base.pe","base.state_pe_02","Yungay","0220","Yungay"
"city_pe_0301","base.pe","base.state_pe_03","Abancay","0301","Abancay"
"city_pe_0302","base.pe","base.state_pe_03","Andahuaylas","0302","Andahuaylas"
"city_pe_0303","base.pe","base.state_pe_03","Antabamba","0303","Antabamba"
"city_pe_0304","base.pe","base.state_pe_03","Aymaraes","0304","Aymaraes"
"city_pe_0305","base.pe","base.state_pe_03","Cotabambas","0305","Cotabambas"
"city_pe_0306","base.pe","base.state_pe_03","Chincheros","0306","Chincheros"
"city_pe_0307","base.pe","base.state_pe_03","Grau","0307","Grau"
"city_pe_0401","base.pe","base.state_pe_04","Arequipa","0401","Arequipa"
"city_pe_0402","base.pe","base.state_pe_04","Camana","0402","Camana"
"city_pe_0403","base.pe","base.state_pe_04","Caraveli","0403","Caraveli"
"city_pe_0404","base.pe","base.state_pe_04","Castilla","0404","Castilla"
"city_pe_0405","base.pe","base.state_pe_04","Caylloma","0405","Caylloma"
"city_pe_0406","base.pe","base.state_pe_04","Condesuyos","0406","Condesuyos"
"city_pe_0407","base.pe","base.state_pe_04","Islay","0407","Islay"
"city_pe_0408","base.pe","base.state_pe_04","La Union","0408","La Union"
"city_pe_0501","base.pe","base.state_pe_05","Huamanga","0501","Huamanga"
"city_pe_0502","base.pe","base.state_pe_05","Cangallo","0502","Cangallo"
"city_pe_0503","base.pe","base.state_pe_05","Huanca Sancos","0503","Huanca Sancos"
"city_pe_0504","base.pe","base.state_pe_05","Huanta","0504","Huanta"
"city_pe_0505","base.pe","base.state_pe_05","La mar","0505","La mar"
"city_pe_0506","base.pe","base.state_pe_05","Lucanas","0506","Lucanas"
"city_pe_0507","base.pe","base.state_pe_05","Parinacochas","0507","Parinacochas"
"city_pe_0508","base.pe","base.state_pe_05","Paucar del Sara Sara","0508","Paucar del Sara Sara"
"city_pe_0509","base.pe","base.state_pe_05","Sucre","0509","Sucre"
"city_pe_0510","base.pe","base.state_pe_05","Victor Fajardo","0510","Victor Fajardo"
"city_pe_0511","base.pe","base.state_pe_05","Vilcas Huamán","0511","Vilcas Huamán"
"city_pe_0601","base.pe","base.state_pe_06","Cajamarca","0601","Cajamarca"
"city_pe_0602","base.pe","base.state_pe_06","Cajabamba","0602","Cajabamba"
"city_pe_0603","base.pe","base.state_pe_06","Celendin","0603","Celendin"
"city_pe_0604","base.pe","base.state_pe_06","Chota","0604","Chota"
"city_pe_0605","base.pe","base.state_pe_06","Contumazá","0605","Contumazá"
