id,name,bic,country:id
peruvian_national_bank,Banco de la nación,BANCPEPL,base.pe
peruvian_baiopep1_bank,Banco Iberoamericano,BAIOPEP1,base.pe
peruvian_bconpepl_bank,Banco Continental,BCONPEPL,base.pe
peruvian_bcplpepl_bank,Banco De Credito Del Peru,BCPLPEPL,base.pe
peruvian_bdcmpepl_bank,Banco De Comercio,BDCMPEPL,base.pe
peruvian_belppepl_bank,Cetco S.a.,BELPPEPL,base.pe
peruvian_bifspepl_bank,Banco Interamericano De Finanzas,BIFSPEPL,base.pe
peruvian_binppepl_bank,Banco Internacional Del Peru,BINPPEPL,base.pe
peruvian_bnpepep1_bank,Banco Nor Peru,BNPEPEP1,base.pe
peruvian_bsappepl_bank,Banco Santander Peru S.a.,BSAPPEPL,base.pe
peruvian_bsudpepl_bank,Scotiabank Peru,BSUDPEPL,base.pe
peruvian_cbolpep1_bank,Credibolsa Sociedad Agente De Bolsa S.a.,CBOLPEP1,base.pe
peruvian_citipep1_bank,Citibank Del Peru Sa,CITIPEP1,base.pe
peruvian_citipepl_bank,Citibank Del Peru S.a.,CITIPEPL,base.pe
peruvian_cjsipep1_bank,Caja Rural De Ahorro Y Credito Sipan S.a.,CJSIPEP1,base.pe
peruvian_cofdpepl_bank,Corporacion Financiera De Desarrollo S.A.,COFDPEPL,base.pe
peruvian_crhcpep1_bank,Caja Rural De Ahorro Y Credito Chavin Saa,CRHCPEP1,base.pe
peruvian_crhcpep1001_bank,Caja Rural De Ahorro Y Credito Chavin Saa,CRHCPEP1001,base.pe
