"id","city_id:id","name","code","name@es_419"
"district_pe_010101","city_pe_0101","Chachapoyas","010101","Chachapoyas"
"district_pe_010102","city_pe_0101","Asunción","010102","Asunción"
"district_pe_010103","city_pe_0101","Balsas","010103","Balsas"
"district_pe_010104","city_pe_0101","Cheto","010104","Cheto"
"district_pe_010105","city_pe_0101","Chiliquin","010105","Chiliquin"
"district_pe_010106","city_pe_0101","Chuquibamba","010106","Chuquibamba"
"district_pe_010107","city_pe_0101","Granada","010107","Granada"
"district_pe_010108","city_pe_0101","Huancas","010108","Huancas"
"district_pe_010109","city_pe_0101","La Jalca","010109","La Jalca"
"district_pe_010110","city_pe_0101","Leimebamba","010110","Leimebamba"
"district_pe_010111","city_pe_0101","Levanto","010111","Levanto"
"district_pe_010112","city_pe_0101","Magdalena","010112","Magdalena"
"district_pe_010113","city_pe_0101","Mariscal Castilla","010113","Mariscal Castilla"
"district_pe_010114","city_pe_0101","Molinopampa","010114","Molinopampa"
"district_pe_010115","city_pe_0101","Montevideo","010115","Montevideo"
"district_pe_010116","city_pe_0101","Olleros","010116","Olleros"
"district_pe_010117","city_pe_0101","Quinjalca","010117","Quinjalca"
"district_pe_010118","city_pe_0101","San Francisco de Daguas","010118","San Francisco de Daguas"
"district_pe_010119","city_pe_0101","San Isidro de Maino","010119","San Isidro de Maino"
"district_pe_010120","city_pe_0101","Soloco","010120","Soloco"
"district_pe_010121","city_pe_0101","Sonche","010121","Sonche"
"district_pe_010201","city_pe_0102","Bagua","010201","Bagua"
"district_pe_010202","city_pe_0102","Aramango","010202","Aramango"
"district_pe_010203","city_pe_0102","Copallin","010203","Copallin"
"district_pe_010204","city_pe_0102","El Parco","010204","El Parco"
"district_pe_010205","city_pe_0102","Imaza","010205","Imaza"
"district_pe_010206","city_pe_0102","La Peca","010206","La Peca"
"district_pe_010301","city_pe_0103","Jumbilla","010301","Jumbilla"
"district_pe_010302","city_pe_0103","Chisquilla","010302","Chisquilla"
"district_pe_010303","city_pe_0103","Churuja","010303","Churuja"
"district_pe_010304","city_pe_0103","Corosha","010304","Corosha"
"district_pe_010305","city_pe_0103","Cuispes","010305","Cuispes"
"district_pe_010306","city_pe_0103","Florida","010306","Florida"
"district_pe_010307","city_pe_0103","Jazan","010307","Jazan"
"district_pe_010308","city_pe_0103","Recta","010308","Recta"
"district_pe_010309","city_pe_0103","San Carlos","010309","San Carlos"
"district_pe_010310","city_pe_0103","Shipasbamba","010310","Shipasbamba"
"district_pe_010311","city_pe_0103","Valera","010311","Valera"
"district_pe_010312","city_pe_0103","Yambrasbamba","010312","Yambrasbamba"
"district_pe_010401","city_pe_0104","Nieva","010401","Nieva"
"district_pe_010402","city_pe_0104","El Cenepa","010402","El Cenepa"
"district_pe_010403","city_pe_0104","Río Santiago","010403","Río Santiago"
"district_pe_010501","city_pe_0105","Lamud","010501","Lamud"
"district_pe_010502","city_pe_0105","Camporredondo","010502","Camporredondo"
"district_pe_010503","city_pe_0105","Cocabamba","010503","Cocabamba"
"district_pe_010504","city_pe_0105","Colcamar","010504","Colcamar"
"district_pe_010505","city_pe_0105","Conila","010505","Conila"
"district_pe_010506","city_pe_0105","Inguilpata","010506","Inguilpata"
"district_pe_010507","city_pe_0105","Longuita","010507","Longuita"
"district_pe_010508","city_pe_0105","Lonya Chico","010508","Lonya Chico"
"district_pe_010509","city_pe_0105","Luya","010509","Luya"
"district_pe_010510","city_pe_0105","Luya Viejo","010510","Luya Viejo"
"district_pe_010511","city_pe_0105","María","010511","María"
"district_pe_010512","city_pe_0105","Ocalli","010512","Ocalli"
"district_pe_010513","city_pe_0105","Ocumal","010513","Ocumal"
"district_pe_010514","city_pe_0105","Pisuquia","010514","Pisuquia"
"district_pe_010515","city_pe_0105","Providencia","010515","Providencia"
"district_pe_010516","city_pe_0105","San Cristóbal","010516","San Cristóbal"
"district_pe_010517","city_pe_0105","San Francisco del Yeso","010517","San Francisco del Yeso"
"district_pe_010518","city_pe_0105","San Jerónimo","010518","San Jerónimo"
"district_pe_010519","city_pe_0105","San Juan de Lopecancha","010519","San Juan de Lopecancha"
"district_pe_010520","city_pe_0105","Santa Catalina","010520","Santa Catalina"
"district_pe_010521","city_pe_0105","Santo Tomas","010521","Santo Tomas"
"district_pe_010522","city_pe_0105","Tingo","010522","Tingo"
"district_pe_010523","city_pe_0105","Trita","010523","Trita"
"district_pe_010601","city_pe_0106","San Nicolás","010601","San Nicolás"
"district_pe_010602","city_pe_0106","Chirimoto","010602","Chirimoto"
"district_pe_010603","city_pe_0106","Cochamal","010603","Cochamal"
"district_pe_010604","city_pe_0106","Huambo","010604","Huambo"
"district_pe_010605","city_pe_0106","Limabamba","010605","Limabamba"
"district_pe_010606","city_pe_0106","Longar","010606","Longar"
"district_pe_010607","city_pe_0106","Mariscal Benavides","010607","Mariscal Benavides"
"district_pe_010608","city_pe_0106","Milpuc","010608","Milpuc"
"district_pe_010609","city_pe_0106","Omia","010609","Omia"
"district_pe_010610","city_pe_0106","Santa Rosa","010610","Santa Rosa"
"district_pe_010611","city_pe_0106","Totora","010611","Totora"
"district_pe_010612","city_pe_0106","Vista Alegre","010612","Vista Alegre"
"district_pe_010701","city_pe_0107","Bagua Grande","010701","Bagua Grande"
"district_pe_010702","city_pe_0107","Cajaruro","010702","Cajaruro"
"district_pe_010703","city_pe_0107","Cumba","010703","Cumba"
"district_pe_010704","city_pe_0107","El Milagro","010704","El Milagro"
"district_pe_010705","city_pe_0107","Jamalca","010705","Jamalca"
"district_pe_010706","city_pe_0107","Lonya Grande","010706","Lonya Grande"
"district_pe_010707","city_pe_0107","Yamon","010707","Yamon"
"district_pe_020101","city_pe_0201","Huaraz","020101","Huaraz"
"district_pe_020102","city_pe_0201","Cochabamba","020102","Cochabamba"
"district_pe_020103","city_pe_0201","Colcabamba","020103","Colcabamba"
"district_pe_020104","city_pe_0201","Huanchay","020104","Huanchay"
"district_pe_020105","city_pe_0201","Independencia","020105","Independencia"
"district_pe_020106","city_pe_0201","Jangas","020106","Jangas"
"district_pe_020107","city_pe_0201","La Libertad","020107","La Libertad"
"district_pe_020108","city_pe_0201","Olleros","020108","Olleros"
"district_pe_020109","city_pe_0201","Pampas","020109","Pampas"
"district_pe_020110","city_pe_0201","Pariacoto","020110","Pariacoto"
"district_pe_020111","city_pe_0201","Pira","020111","Pira"
"district_pe_020112","city_pe_0201","Tarica","020112","Tarica"
"district_pe_020201","city_pe_0202","Aija","020201","Aija"
"district_pe_020202","city_pe_0202","Coris","020202","Coris"
"district_pe_020203","city_pe_0202","Huacllan","020203","Huacllan"
"district_pe_020204","city_pe_0202","La Merced","020204","La Merced"
"district_pe_020205","city_pe_0202","Succha","020205","Succha"
"district_pe_020301","city_pe_0203","Llamellin","020301","Llamellin"
"district_pe_020302","city_pe_0203","Aczo","020302","Aczo"
"district_pe_020303","city_pe_0203","Chaccho","020303","Chaccho"
"district_pe_020304","city_pe_0203","Chingas","020304","Chingas"
"district_pe_020305","city_pe_0203","Mirgas","020305","Mirgas"
"district_pe_020306","city_pe_0203","San Juan de Rontoy","020306","San Juan de Rontoy"
"district_pe_020401","city_pe_0204","Chacas","020401","Chacas"
"district_pe_020402","city_pe_0204","Acochaca","020402","Acochaca"
