"id","sequence","description","invoice_label","name","price_include","amount","amount_type","type_tax_use","tax_group_id","active","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent","name@fr","name@nl"
"attn_VAT-OUT-21-L","10","","21%","21%","False","21.0","percent","sale","tax_group_tva_21","","base","invoice","+03","","","21%","21%"
"","","","","","","","","","","","tax","invoice","+54","a451","","",""
"","","","","","","","","","","","base","refund","+49","","","",""
"","","","","","","","","","","","tax","refund","+64","a451","","",""
"attn_VAT-OUT-21-S","11","","21%","21% S","False","21.0","percent","sale","tax_group_tva_21","False","base","invoice","+03","","","",""
"","","","","","","","","","","","tax","invoice","+54","a451","","",""
"","","","","","","","","","","","base","refund","+49","","","",""
"","","","","","","","","","","","tax","refund","+64","a451","","",""
"attn_VAT-OUT-12-S","20","","12%","12% S","False","12.0","percent","sale","tax_group_tva_12","False","base","invoice","+02","","","",""
"","","","","","","","","","","","tax","invoice","+54","a451","","",""
"","","","","","","","","","","","base","refund","+49","","","",""
"","","","","","","","","","","","tax","refund","+64","a451","","",""
"attn_VAT-OUT-12-L","21","","12%","12%","False","12.0","percent","sale","tax_group_tva_12","","base","invoice","+02","","","12%","12%"
"","","","","","","","","","","","tax","invoice","+54","a451","","",""
"","","","","","","","","","","","base","refund","+49","","","",""
"","","","","","","","","","","","tax","refund","+64","a451","","",""
"attn_VAT-OUT-06-S","30","","6%","6% S","False","6.0","percent","sale","tax_group_tva_6","False","base","invoice","+01","","","",""
"","","","","","","","","","","","tax","invoice","+54","a451","","",""
"","","","","","","","","","","","base","refund","+49","","","",""
"","","","","","","","","","","","tax","refund","+64","a451","","",""
"attn_VAT-OUT-06-L","31","","6%","6%","False","6.0","percent","sale","tax_group_tva_6","","base","invoice","+01","","","",""
"","","","","","","","","","","","tax","invoice","+54","a451","","",""
"","","","","","","","","","","","base","refund","+49","","","",""
"","","","","","","","","","","","tax","refund","+64","a451","","",""
"attn_VAT-OUT-00-S","40","","0%","0% S","False","0.0","percent","sale","tax_group_tva_0","False","base","invoice","+00","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","+49","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-OUT-00-L","41","","0%","0%","False","0.0","percent","sale","tax_group_tva_0","","base","invoice","+00","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","+49","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-OUT-00-CC","50","","0%","0% Cocont","False","0.0","percent","sale","tax_group_tva_0","","base","invoice","+45","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","+49","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-OUT-00-EU-S","60","","0%","0% EU S","False","0.0","percent","sale","tax_group_tva_0","","base","invoice","+44","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","+48s44","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-OUT-00-EU-L","61","","0%","0% EU M","False","0.0","percent","sale","tax_group_tva_0","","base","invoice","+46L","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","+48s46L","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-OUT-00-EU-T","62","","0%","0% EU T","False","0.0","percent","sale","tax_group_tva_0","","base","invoice","+46T","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","+48s46T","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-OUT-00-ROW","70","","0%","0% EX","False","0.0","percent","sale","tax_group_tva_0","","base","invoice","+47","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","+49","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
"attn_VAT-IN-V81-21","110","","21%","21% M","False","21.0","percent","purchase","tax_group_tva_21","","base","invoice","+81","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","base","refund","-81||+85","","","",""
"","","","","","","","","","","","tax","refund","+63","a411","","",""
"attn_VAT-IN-V81-12","120","","12%","12% M","False","12.0","percent","purchase","tax_group_tva_12","","base","invoice","+81","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","base","refund","-81||+85","","","",""
"","","","","","","","","","","","tax","refund","+63","a411","","",""
"attn_VAT-IN-V81-06","130","","6%","6% M","False","6.0","percent","purchase","tax_group_tva_6","","base","invoice","+81","","","",""
"","","","","","","","","","","","tax","invoice","+59","a411","","",""
"","","","","","","","","","","","base","refund","-81||+85","","","",""
"","","","","","","","","","","","tax","refund","+63","a411","","",""
"attn_VAT-IN-V81-00","140","","0%","0% M","False","0.0","percent","purchase","tax_group_tva_0","","base","invoice","+81","","","",""
"","","","","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","","","","base","refund","-81||+85","","","",""
"","","","","","","","","","","","tax","refund","","","","",""
