"id","code_prefix_start","code_prefix_end","name","name@hr"
"hr_group_0","0","","Receivables for issued capital and non-current assets","Potraživanja za upisani kapital i dugotrajna imovina"
"hr_group_00","00","","Receivables for recorded but not paid in capital and non-current financial assets","Potraživanja za upisani a neuplaćeni kapital"
"hr_group_01","01","","Intangible asset","Nematerijalna imovina"
"hr_group_02","02","","Land and buildings","Materijalna imovina - nekretnine"
"hr_group_03","03","","Plant, equipment, tools and transportation vehicles","Postrojenja, oprema, alati, inventar i transportna sredstva"
"hr_group_04","04","","Biological assets","Biološka imovina"
"hr_group_05","05","","Investment properties","Ulaganja u nekretnine"
"hr_group_06","06","","Non-current financial assets","Dugotrajna financijska imovina (s povratom dužim od jedne godine)"
"hr_group_07","07","","Long term receivables","Potraživanja (dulja od jedne godine)"
"hr_group_08","08","","Deferred tax asset","Odgođena porezna imovina"
"hr_group_1","1","","Cash, current financial assets,current receivables, prepaid expenses and accrued income","Novac, kratkotrajna financijska imovina, kratkotrajna potraživanja, troškovi i prihod budućeg razdoblja"
"hr_group_10","10","","Cash in bank and cash on hand","Novac u bankama i blagajnama"
"hr_group_11","11","","Current financial assets","Kratkotrajna financijska imovina (do jedne godine)"
"hr_group_12","12","","Current receivables","Potraživanja (kratkotrajna)"
"hr_group_13","13","","Receivables from employees and other receivables","Potraživanja od zaposlenih i ostala potraživanja (kratkotrajna)"
"hr_group_14","14","","Receivables from the government for taxes, duties and contributions","Potraživanja od države za poreze, carinu i doprinose"
"hr_group_15","15","","Receivables from government and other institutions","Ostala potraživanja od državnih i drugih institucija"
"hr_group_19","19","","Prepaid expenses and accrued income","Plaćeni troškovi budućeg razdoblja i obračunani budući prihodi"
"hr_group_2","2","","Current and non-current liabilities, long term provisions, accrued expenses and deferred income","Kratkoročne i dugoročne obveze, dugoročna rezerviranja, odgođeno plaćanje i prihodi budućeg razdoblja"
"hr_group_20","20","","Current liabilities towards group companies and associated undertakings","Kratkoročne obveze prema poduzetnicima unutar grupe is osnove udjela u rezultatu (do jedne godine)"
"hr_group_21","21","","Current financial liabilities","Kratkoročne financijske obveze"
"hr_group_22","22","","Account payables, advances received and other payables","Obveze prema dobavljačima, za predujmove i ostale obveze"
"hr_group_23","23","","Liabilities towards employees and other liabilities","Obveze prema zaposlenima i ostale obveze"
"hr_group_24","24","","Current liabilities for taxes, contributions and similar expenses","Kratkoročne obveze za poreze, doprinose i slična davanja"
"hr_group_25","25","","Long term liabilities","Dugoročne obveze (za duže od jedne godine)"
"hr_group_26","26","","Deferred taxes","Odgođeni porezi"
"hr_group_28","28","","Long term provisions for risks and charges","Dugoročna rezerviranja za rizike i troškove"
"hr_group_29","29","","Accrued expenses and deferred income","Odgođeno plaćanje troškova i prihod budućeg razdoblja"
"hr_group_3","3","","Raw materials, materials, spare parts and small inventory","Zalihe sirovina i materijala, rezervnih dijelova i sitnog inventara"
"hr_group_30","30","","Cost of inventory purchasing calculation","Obračun troškova kupnje"
"hr_group_31","31","","Raw materials","Sirovine i materijal na zalihi"
"hr_group_32","32","","Spare parts","Zalihe rezervnih dijelova"
"hr_group_35","35","","Small inventory on stock and tires","Zalihe sitnog inventara i autoguma"
"hr_group_36","36","","Small inventory on stock and tires in use","Zalihe sitnog inventara i autoguma u uporabi"
"hr_group_37","37","","Advance payments for raw materials, spare parts, small inventory and tires purchases","Predujmovi dobavljačima sirovina i materijala, rezervnih dijelova, sitnog inventara i autoguma"
"hr_group_4","4","","Costs by nature , financial and other expenses","Troškovi prema vrstama, financijski i ostali rashodi"
"hr_group_40","40","","Material cost","Materijalni troškovi"
"hr_group_41","41","","Other external costs (cost of services)","Ostali vanjski troškovi (troškovi usluga)"
"hr_group_42","42","","Staff costs-salaries","Troškovi osoblja - plaće"
"hr_group_43","43","","Depreciation","Amortizacija"
