"id","sequence","description","invoice_label","name","price_include","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","name@hr"
"VAT_S_IN_ROC_25","1","","Sale 25% in country","25%","False","25.0","percent","sale","tax_group_pdv_25","100","base","invoice","+II.3_base","","25%"
"","","","","","","","","","","100","tax","invoice","+II.3_tax","hr_240000",""
"","","","","","","","","","","100","base","refund","+II.3_base","",""
"","","","","","","","","","","100","tax","refund","+II.3_tax","hr_240000",""
"VAT_S_IN_ROC_13","2","","Sale 13% in country","13%","False","13.0","percent","sale","tax_group_pdv_13","100","base","invoice","+II.2_base","","13%"
"","","","","","","","","","","100","tax","invoice","+II.2_tax","hr_240000",""
"","","","","","","","","","","100","base","refund","+II.2_base","",""
"","","","","","","","","","","100","tax","refund","+II.2_tax","hr_240000",""
"VAT_S_IN_ROC_5","3","","Sale 5% in country","5%","False","5.0","percent","sale","tax_group_pdv_5","100","base","invoice","+II.1_base","",""
"","","","","","","","","","","100","tax","invoice","+II.1_tax","hr_240000",""
"","","","","","","","","","","100","base","refund","+II.1_base","",""
"","","","","","","","","","","100","tax","refund","+II.1_tax","hr_240000",""
"VAT_S_TAX_PERSON_25%","4","","Taxable person not in ROC 25%","25% EX","False","25.0","percent","sale","tax_group_pdv_25","100","base","invoice","+II.13_base||+III.13_base","","25% EX"
"","","","","","","","","","","100","tax","invoice","+II.13_tax","hr_240420",""
"","","","","","","","","","","-100","tax","invoice","-III.13_tax","hr_140420",""
"","","","","","","","","","","100","base","refund","+II.13_base||+III.13_base","",""
"","","","","","","","","","","100","tax","refund","+II.13_tax","hr_240420",""
"","","","","","","","","","","-100","tax","refund","-III.13_tax","hr_140420",""
"VAT_S_TAX_PERSON_13%","5","","Taxable person not in ROC 13%","13% EX","False","13.0","percent","sale","tax_group_pdv_13","100","base","invoice","+II.12_base||+III.12_base","","13% EX"
"","","","","","","","","","","100","tax","invoice","+II.12_tax","hr_240410",""
"","","","","","","","","","","-100","tax","invoice","-III.12_tax","hr_140410",""
"","","","","","","","","","","100","base","refund","+II.12_base||+III.12_base","",""
"","","","","","","","","","","100","tax","refund","+II.12_tax","hr_240410",""
"","","","","","","","","","","-100","tax","refund","-III.12_tax","hr_140410",""
"VAT_S_TAX_PERSON_5%","6","","Taxable person not in ROC 5%","5% EX","False","5.0","percent","sale","tax_group_pdv_5","100","base","invoice","+II.11_base||+III.11_base","","5% EX"
"","","","","","","","","","","100","tax","invoice","+II.11_tax","hr_240400",""
"","","","","","","","","","","-100","tax","invoice","-III.11_tax","hr_140400",""
"","","","","","","","","","","100","base","refund","+II.11_base||+III.11_base","",""
"","","","","","","","","","","100","tax","refund","+II.11_tax","hr_240400",""
"","","","","","","","","","","-100","tax","refund","-III.11_tax","hr_140400",""
"VAT_S_EU_G","7","","Sale goods 0% in EU","0% EU G","False","0.0","percent","sale","tax_group_pdv_0","100","base","invoice","+I.3_base","","0% EU G"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","+I.3_base","",""
"","","","","","","","","","","100","tax","refund","","",""
"VAT_S_EU_S","8","","Sale service 0% in EU","0% EU S","False","0.0","percent","sale","tax_group_pdv_0","100","base","invoice","+I.4_base","","0% EU S"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","+I.4_base","",""
"","","","","","","","","","","100","tax","refund","","",""
"VAT_S_EX_O","9","","Sale 0% not in EU","0% EX","False","0.0","percent","sale","tax_group_pdv_0","100","base","invoice","+I.9_base","","0% EX"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","+I.9_base","",""
"","","","","","","","","","","100","tax","refund","","",""
"VAT_S_reverse_O","10","","Reverse charge 0%","0% reverse","False","0.0","percent","sale","tax_group_pdv_0","100","base","invoice","+I.1_base","","0% obrnuto"
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","+I.1_base","",""
"","","","","","","","","","","100","tax","refund","","",""
"VAT_S_carried_other_state_O","11","","Supplies carried out in another member state","0% EU M","False","0.0","percent","sale","tax_group_pdv_0","100","base","invoice","+I.2_base","",""
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","+I.2_base","",""
"","","","","","","","","","","100","tax","refund","","",""
"VAT_S_person_not_in_ROC_O","12","","Supplies to persons not established in the republic of croatia","0% EX M","False","0.0","percent","sale","tax_group_pdv_0","100","base","invoice","+I.5_base","",""
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","+I.5_base","",""
"","","","","","","","","","","100","tax","refund","","",""
"VAT_S_new_transport_other_state_O","13","","Supplies of new means of transport to another member state","0% EU Trans","False","0.0","percent","sale","tax_group_pdv_0","100","base","invoice","+I.7_base","",""
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","+I.7_base","",""
"","","","","","","","","","","100","tax","refund","","",""
"VAT_S_other_exempt_O","14","","Other exempt","0%","False","0.0","percent","sale","tax_group_pdv_0","100","base","invoice","+I.10_base","",""
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","+I.10_base","",""
"","","","","","","","","","","100","tax","refund","","",""
"VAT_P_install_assemb_goods_O","15","","0% installed and assembled goods in another state","0% EU M INST","False","0.0","percent","sale","tax_group_pdv_0","100","base","invoice","+I.6_base","",""
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","+I.6_base","",""
"","","","","","","","","","","100","tax","refund","","",""
"VAT_P_IN_ROC_25","16","","Purchase 25% in country","25%","False","25.0","percent","purchase","tax_group_pdv_25","100","base","invoice","+III.3_base","","25%"
"","","","","","","","","","","100","tax","invoice","+III.3_tax","hr_140000",""
"","","","","","","","","","","100","base","refund","+III.3_base","",""
"","","","","","","","","","","100","tax","refund","+III.3_tax","hr_140000",""
"VAT_P_IN_ROC_13","17","","Purchase 13% in country","13%","False","13.0","percent","purchase","tax_group_pdv_13","100","base","invoice","+II.2_base","","13%"
"","","","","","","","","","","100","tax","invoice","+II.2_tax","hr_140000",""
"","","","","","","","","","","100","base","refund","+II.2_base","",""
"","","","","","","","","","","100","tax","refund","+II.2_tax","hr_140000",""
"VAT_P_IN_ROC_5","18","","Purchase 5% in country","5%","False","5.0","percent","purchase","tax_group_pdv_5","100","base","invoice","+II.1_base","",""
"","","","","","","","","","","100","tax","invoice","+II.1_tax","hr_140000",""
"","","","","","","","","","","100","base","refund","+II.1_base","",""
"","","","","","","","","","","100","tax","refund","+II.1_tax","hr_140000",""
"VAT_P_G_IN_EU_25","19","","Purchase goods 25% in EU","25% EU G","False","25.0","percent","purchase","tax_group_pdv_25","100","base","invoice","+II.7_base||+III.7_base","","25% EU G"
"","","","","","","","","","","-100","tax","invoice","-II.7_tax","hr_240220",""
"","","","","","","","","","","100","tax","invoice","+III.7_tax","hr_140220",""
"","","","","","","","","","","100","base","refund","+II.7_base||+III.7_base","",""
"","","","","","","","","","","-100","tax","refund","-II.7_tax","hr_240220",""
"","","","","","","","","","","100","tax","refund","+III.7_tax","hr_140220",""
"VAT_P_S_IN_EU_25","20","","Purchase service 25% in EU","25% EU S","False","25.0","percent","purchase","tax_group_pdv_25","100","base","invoice","+II.10_base||+III.10_base","","25% EU S"
"","","","","","","","","","","-100","tax","invoice","-II.10_tax","hr_240320",""
"","","","","","","","","","","100","tax","invoice","+III.10_tax","hr_140320",""
"","","","","","","","","","","100","base","refund","+II.10_base||+III.10_base","",""
"","","","","","","","","","","-100","tax","refund","-II.10_tax","hr_240320",""
"","","","","","","","","","","100","tax","refund","+III.10_tax","hr_140320",""
"VAT_P_G_IN_EU_13","21","","Purchase goods 13% in EU","13% EU G","False","13.0","percent","purchase","tax_group_pdv_13","100","base","invoice","+II.6_base||+III.6_base","","13% EU G"
"","","","","","","","","","","-100","tax","invoice","-II.6_tax","hr_240210",""
"","","","","","","","","","","100","tax","invoice","+III.6_tax","hr_140210",""
"","","","","","","","","","","100","base","refund","+II.6_base||+III.6_base","",""
"","","","","","","","","","","-100","tax","refund","-II.6_tax","hr_240210",""
"","","","","","","","","","","100","tax","refund","+III.6_tax","hr_140210",""
"VAT_P_S_IN_EU_13","22","","Purchase service 13% in EU","13% EU S","False","13.0","percent","purchase","tax_group_pdv_13","100","base","invoice","+II.9_base||+III.9_base","","13% EU S"
"","","","","","","","","","","-100","tax","invoice","-II.9_tax","hr_240310",""
"","","","","","","","","","","100","tax","invoice","+III.9_tax","hr_140310",""
"","","","","","","","","","","100","base","refund","+II.9_base||+III.9_base","",""
"","","","","","","","","","","-100","tax","refund","-II.9_tax","hr_240310",""
"","","","","","","","","","","100","tax","refund","+III.9_tax","hr_140310",""
"VAT_P_G_IN_EU_5","23","","Purchase goods 5% in EU","5% EU G","False","5.0","percent","purchase","tax_group_pdv_5","100","base","invoice","+II.5_base||+III.5_base","","5% EU G"
"","","","","","","","","","","-100","tax","invoice","-II.5_tax","hr_240200",""
"","","","","","","","","","","100","tax","invoice","+III.5_tax","hr_140200",""
"","","","","","","","","","","100","base","refund","+II.5_base||+III.5_base","",""
"","","","","","","","","","","-100","tax","refund","-II.5_tax","hr_240200",""
"","","","","","","","","","","100","tax","refund","+III.5_tax","hr_140200",""
"VAT_P_S_IN_EU_5","24","","Purchase service 5% in EU","5% EU S","False","5.0","percent","purchase","tax_group_pdv_5","100","base","invoice","+II.8_base||+III.8_base","","5% EU S"
"","","","","","","","","","","-100","tax","invoice","-II.8_tax","hr_240300",""
"","","","","","","","","","","100","tax","invoice","+III.8_tax","hr_140300",""
"","","","","","","","","","","100","base","refund","+II.8_base||+III.8_base","",""
"","","","","","","","","","","-100","tax","refund","-II.8_tax","hr_240300",""
"","","","","","","","","","","100","tax","refund","+III.8_tax","hr_140300",""
"VAT_P_NOT_IN_EU_25","25","","Purchase 25% not in EU","25% EX","False","25.0","percent","purchase","tax_group_pdv_25","100","base","invoice","+II.15_base||+III.14_base","","25% EX"
"","","","","","","","","","","-100","tax","invoice","-II.15_tax","hr_240500",""
"","","","","","","","","","","100","tax","invoice","+III.14_tax","hr_140500",""
"","","","","","","","","","","100","base","refund","+II.15_base||+III.14_base","",""
"","","","","","","","","","","-100","tax","refund","-II.15_tax","hr_240500",""
"","","","","","","","","","","100","tax","refund","+III.14_tax","hr_140500",""
"VAT_P_NOT_IN_EU_13","26","","Purchase 13% not in EU","13% EX","False","13.0","percent","purchase","tax_group_pdv_13","100","base","invoice","+II.15_base||+III.14_base","","13% EX"
"","","","","","","","","","","-100","tax","invoice","-II.15_tax","hr_240500",""
"","","","","","","","","","","100","tax","invoice","+III.14_tax","hr_140500",""
"","","","","","","","","","","100","base","refund","+II.15_base||+III.14_base","",""
"","","","","","","","","","","-100","tax","refund","-II.15_tax","hr_240500",""
"","","","","","","","","","","100","tax","refund","+III.14_tax","hr_140500",""
"VAT_P_NOT_IN_EU_5","27","","Purchase 5% not in EU","5% EX","False","5.0","percent","purchase","tax_group_pdv_13","100","base","invoice","+II.15_base||+III.14_base","","5% EX"
"","","","","","","","","","","-100","tax","invoice","-II.15_tax","hr_240500",""
"","","","","","","","","","","100","tax","invoice","+III.14_tax","hr_140500",""
"","","","","","","","","","","100","base","refund","+II.15_base||+III.14_base","",""
"","","","","","","","","","","-100","tax","refund","-II.15_tax","hr_240500",""
"","","","","","","","","","","100","tax","refund","+III.14_tax","hr_140500",""
"VAT_P_reverse_charge","28","","Domestic reverse charge","25% R","False","25.0","percent","purchase","tax_group_pdv_25","100","base","invoice","+II.4_base||+III.4_base","","25% R"
"","","","","","","","","","","-100","tax","invoice","-II.4_tax","hr_240100",""
"","","","","","","","","","","100","tax","invoice","+III.4_tax","hr_140100",""
"","","","","","","","","","","100","base","refund","+II.4_base||+III.4_base","",""
"","","","","","","","","","","-100","tax","refund","-II.4_tax","hr_240100",""
"","","","","","","","","","","100","tax","refund","+III.4_tax","hr_140100",""
"VAT_P_O","29","","0% Domestic supplies","0%","False","0.0","percent","purchase","tax_group_pdv_0","100","base","invoice","+I.8_base","",""
"","","","","","","","","","","100","tax","invoice","","",""
"","","","","","","","","","","100","base","refund","+I.8_base","",""
"","","","","","","","","","","100","tax","refund","","",""
