"id","code","name","account_type","reconcile","name@hr"
"hr_000000","000000","Receivables for recoded but not paid in capital in joint-stock company","asset_non_current","False","Potraživanja za upisani a neuplaćeni dionički kapital (analitika po upisnicima)"
"hr_001000","001000","Receivables for repeated share issues for recorded but not paid capital","asset_non_current","False","Potraživanja iz ponovljene emisije dionica za upisane a neuplaćene svote kapitala (razrada po emisijama dionica)"
"hr_002000","002000","Receivables for recoded but not paid in capital in private limited company(analytics by owners)","asset_non_current","False","Potraživanja za upisani a neuplaćeni kapital u d.o.o. (analitika po članovima društva)"
"hr_003000","003000","Receivables for stake in capital of limited partnership","asset_non_current","False","Potraživanja za temeljni ulog komanditora"
"hr_004000","004000","Receivables for other business stakes in capital","asset_non_current","False","Potraživanje za ostale uloge u kapital"
"hr_010000","010000","Research and development","asset_non_current","False","Izdatci za razvoj"
"hr_011000","011000","Concession rights, patents, commodity and service brands","asset_non_current","False","Koncesije, patenti, licencije, robne i uslužne marke"
"hr_012000","012000","Software and other rights","asset_non_current","False","Softver i ostala prava"
"hr_013000","013000","Goodwill","asset_non_current","False","Goodwill"
"hr_014000","014000","Other intangible assets","asset_non_current","False","Ostala nematerijalna imovina"
"hr_015000","015000","Advance payments for purchase of intangible assets","asset_non_current","False","Predujmovi za nabavu nematerijalne imovine"
"hr_016000","016000","Cryptocurrencies","asset_non_current","False","Kriptovalute"
"hr_017000","017000","Intangible assets in preparation","asset_non_current","False","Nematerijalna imovina u pripremi (analitika prema vrsti računa skupine 01)"
"hr_018000","018000","Value adjustment of intangible assets","asset_non_current","False","Vrijednosno usklađenje nematerijalne imovine (analitika prema vrsti računa skupine 01)"
"hr_019000","019000","Accumulated depreciation of intangible assets","asset_non_current","False","Akumulirana amortizacija nematerijalne imovine"
"hr_020000","020000","Land","asset_fixed","False","Zemljišta"
"hr_021000","021000","Rights to use land","asset_fixed","False","Zemljišna prava (višegodišnja)"
"hr_023000","023000","Buildings","asset_fixed","False","Građevinski objekti (za vlastite potrebe)"
"hr_024000","024000","Flats for employees","asset_fixed","False","Stanovi za vlastite zaposlenike"
"hr_026000","026000","Advance payments for purchase of land and buildings","asset_fixed","False","Predujmovi za nabavu nekretnina"
"hr_027000","027000","Land and buildings under construction","asset_fixed","False","Nekretnine u pripremi"
"hr_028000","028000","Value adjustment of land and buildings","asset_fixed","False","Vrijednosno usklađenje nekretnina"
"hr_029000","029000","Accumulated depreciation of buildings","asset_fixed","False","Akumulirana amortizacija ulaganja u građevine"
"hr_030000","030000","Plant","asset_fixed","False","Postrojenja"
"hr_031000","031000","Equipment","asset_fixed","False","Oprema"
"hr_032000","032000","Tools, transportation equipment and vehicle","asset_fixed","False","Alati, pogonski inventar i transportna imovina"
"hr_033000","033000","Not deductible VAT prepayments (for cars, purchases after 1.1.2018. )","asset_fixed","False","Pretporez koji se ne može odbiti (kao dio vrijednosti osobnih automobila za nabave od 1.1. 2018.)"
"hr_034000","034000","Agricultural equipment and machinery","asset_fixed","False","Poljoprivredna oprema i mehanizacija"
"hr_035000","035000","Other property, plant and equipment","asset_fixed","False","Ostala materijalna imovina"
"hr_036000","036000","Advance payments for purchase of property, plant and equipment","asset_fixed","False","Advance payments for purchase of property, plant and equipment"
"hr_037000","037000","Plant and equipment under construction","asset_fixed","False","Materijalna imovina u pripremi"
"hr_038000","038000","Value adjustment of plant and equipment","asset_fixed","False","Vrijednosno usklađenje postrojenja i opreme"
"hr_039000","039000","Accumulated depreciation of plant and equipment","asset_fixed","False","Akumulirana amortizacija postrojenja i opreme"
"hr_040000","040000","Biological assets- growing crops","asset_non_current","False","Biološka imovina - bilje - višegodišnji nasadi"
"hr_041000","041000","Biological assets- live stock","asset_current","False","Biološka imovina - životinje - osnovno stado"
"hr_046000","046000","Advance payments for purchase of biological assets","asset_non_current","False","Predujmovi za biološku imovinu"
"hr_047000","047000","Biological assets in preparation (not put in use)","asset_non_current","False","Biološka imovina u pripremi"
"hr_048000","048000","Value adjustment of biological assets","asset_non_current","False","Vrijednosno usklađenje biološke imovine"
"hr_049000","049000","Accumulated depreciation of biological assets","asset_non_current","False","Akumulirana amortizacija biološke imovine"
"hr_050000","050000","Investment property-land","asset_non_current","False","Ulaganja u nekretnine - zemljišta"
"hr_051000","051000","Investment property- buildings","asset_non_current","False","Ulaganja u nekretnine - građevine"
"hr_056000","056000","Advance payments for investment properties","asset_non_current","False","Predujmovi za ulaganja u nekretnine"
"hr_057000","057000","Investments property under construction","asset_non_current","False","Ulaganja u nekretnine u pripremi"
"hr_058000","058000","Value adjustment of investment properties","asset_non_current","False","Vrijednosno usklađenje ulaganja u nekretnine"
"hr_059000","059000","Accumulated depreciation of buildings","asset_non_current","False","Akumulirana amortizacija ulaganja u građevine"
"hr_060000","060000","Investments in shares (shares) of entrepreneurs within the group","asset_non_current","False","Ulaganja u udjele (udjele) poduzetnika unutar grupe"
