"id","code","name","account_type","tag_ids","reconcile","name@sv_SE"
"a1020","1020","Concessions, etc.","asset_non_current","l10n_se.account_tag_1","False","Koncessioner m.m."
"a1028","1028","Accumulated impairment losses on concessions, etc.","asset_non_current","l10n_se.account_tag_1","False","Ackumulerade nedskrivningar på koncessioner m.m."
"a1029","1029","Accumulated amortisation of concessions etc.","asset_non_current","l10n_se.account_tag_1","False","Ackumulerade avskrivningar på koncessioner m.m."
"a1038","1038","Accumulated impairment losses on patents","asset_non_current","l10n_se.account_tag_1","False","Ackumulerade nedskrivningar på patent"
"a1040","1040","Licences","asset_non_current","l10n_se.account_tag_1","False","Licenser"
"a1048","1048","Accumulated impairment losses on licences","asset_non_current","l10n_se.account_tag_1","False","Ackumulerade nedskrivningar på licenser"
"a1049","1049","Accumulated amortisation of licences","asset_non_current","l10n_se.account_tag_1","False","Ackumulerade avskrivningar på licenser"
"a1050","1050","Trade marks","asset_non_current","l10n_se.account_tag_1","False","Varumärken"
"a1058","1058","Accumulated impairment losses on trademarks","asset_non_current","l10n_se.account_tag_1","False","Ackumulerade nedskrivningar på varumärken"
"a1059","1059","Accumulated amortisation of trademarks","asset_non_current","l10n_se.account_tag_1","False","Ackumulerade avskrivningar på varumärken"
"a1060","1060","Tenancies, leaseholds and similar","asset_non_current","l10n_se.account_tag_1","False","Hyresrätter, tomträtter och liknande"
"a1068","1068","Accumulated impairment losses on leasehold rights, freehold rights and similar","asset_non_current","l10n_se.account_tag_1","False","Ackumulerade nedskrivningar på hyresrätter, tomträtter och liknande"
"a1070","1070","Goodwill","asset_non_current","l10n_se.account_tag_1","False","Goodwill"
"a1078","1078","Accumulated amortisation of goodwill","asset_non_current","l10n_se.account_tag_1","False","Ackumulerade nedskrivningar på goodwill"
"a1079","1079","Accumulated amortisation of goodwill","asset_non_current","l10n_se.account_tag_1","False","Ackumulerade avskrivningar på goodwill"
"a1080","1080","Advances for intangible fixed assets","asset_non_current","l10n_se.account_tag_1","False","Förskott för immateriella anläggningstillgångar"
"a1111","1111","Buildings on other people's land","asset_fixed","l10n_se.account_tag_2","False","Byggnader på annans mark"
"a1112","1112","Buildings on own land","asset_fixed","l10n_se.account_tag_2","False","Byggnader på egen mark"
"a1118","1118","Accumulated impairment losses on buildings","asset_fixed","l10n_se.account_tag_2","False","Ackumulerade nedskrivningar på byggnader"
"a1120","1120","Improvements to property owned by others","asset_fixed","l10n_se.account_tag_2","False","Förbättringsutgifter på annans fastighet"
"a1129","1129","Accumulated depreciation of improvements on other people's property","asset_fixed","l10n_se.account_tag_2","False","Ackumulerade avskrivningar på förbättringsutgifter på annans fastighet"
"a1140","1140","Land and undeveloped land","asset_fixed","l10n_se.account_tag_2","False","Tomter och obebyggda markområden"
"a1158","1158","Accumulated impairment losses on land improvements","asset_fixed","l10n_se.account_tag_2","False","Ackumulerade nedskrivningar på markanläggningar"
