"id","code","name","account_type","tag_ids","reconcile","non_trade","name@sv_SE"
"a1030","1030","Patents","asset_non_current","l10n_se.account_tag_1","False","","Patent"
"a1039","1039","Accumulated amortisation of patents","asset_non_current","l10n_se.account_tag_1","False","","Ackumulerade avskrivningar på patent"
"a1060","1060","Tenements, leaseholds and similar rights","asset_non_current","l10n_se.account_tag_1","False","","Hyresrätter, tomträtter och liknande"
"a1069","1069","Accumulated amortisation of tenancies, leasehold and similar rights","asset_non_current","l10n_se.account_tag_1","False","","Ackumulerade avskrivningar på hyresrätter, tomträtter och liknande"
"a1110","1110","Buildings","asset_fixed","l10n_se.account_tag_2","False","","Byggnader"
"a1119","1119","Accumulated depreciation of buildings","asset_fixed","l10n_se.account_tag_2","False","","Ackumulerade avskrivningar på byggnader"
"a1130","1130","Land","asset_fixed","l10n_se.account_tag_2","False","","Mark"
"a1150","1150","Land improvements","asset_fixed","l10n_se.account_tag_2","False","","Markanläggningar"
"a1159","1159","Accumulated depreciation of land improvements","asset_fixed","l10n_se.account_tag_2","False","","Ackumulerade avskrivningar på markanläggningar"
"a1210","1210","Machinery and other technical equipment","asset_fixed","l10n_se.account_tag_2","False","","Maskiner och andra tekniska anläggningar"
"a1219","1219","Accumulated depreciation of machinery and equipment","asset_fixed","l10n_se.account_tag_2","False","","Ackumulerade avskrivningar på maskiner och andra tekniska anläggningar"
"a1220","1220","Equipment and tools","asset_fixed","l10n_se.account_tag_2","False","","Inventarier och verktyg"
"a1229","1229","Accumulated depreciation of equipment and tools","asset_fixed","l10n_se.account_tag_2","False","","Ackumulerade avskrivningar på inventarier och verktyg"
"a1240","1240","Vehicles and other transport equipment","asset_fixed","l10n_se.account_tag_2","False","","Bilar och andra transportmedel"
"a1249","1249","Accumulated depreciation of cars and other transport equipment","asset_fixed","l10n_se.account_tag_2","False","","Ackumulerade avskrivningar på bilar och andra transportmedel"
"a1250","1250","Computers","asset_fixed","l10n_se.account_tag_2","False","","Datorer"
"a1259","1259","Accumulated depreciation of computers","asset_fixed","l10n_se.account_tag_2","False","","Ackumulerade avskrivningar på datorer"
