"id","code","name","account_type","tag_ids","reconcile","name@sv_SE"
"a1010","1010","Development expenditure","asset_non_current","l10n_se.account_tag_1","False","Utvecklingsutgifter"
"a1011","1011","Capitalised development expenditure","asset_non_current","l10n_se.account_tag_1","False","Balanserade utgifter för utveckling"
"a1012","1012","Capitalised expenditure on software","asset_non_current","l10n_se.account_tag_1","False","Balanserade utgifter för programvaror"
"a1018","1018","Accumulated impairment losses on capitalised expenditure","asset_non_current","l10n_se.account_tag_1","False","Ackumulerade nedskrivningar på balanserade utgifter"
"a1019","1019","Accumulated amortisation of capitalised expenditure","asset_non_current","l10n_se.account_tag_1","False","Ackumulerade avskrivningar på balanserade utgifter"
"a1081","1081","Projects in progress for intangible fixed assets","asset_non_current","l10n_se.account_tag_1","False","Pågående projekt för immateriella anläggningstillgångar"
"a1088","1088","Advances for intangible fixed assets","asset_non_current","l10n_se.account_tag_1","False","Förskott för immateriella anläggningstillgångar"
"a1260","1260","Leased assets","asset_non_current","l10n_se.account_tag_2","False","Leasade tillgångar"
"a1269","1269","Accumulated amortisation on leased assets","asset_non_current","l10n_se.account_tag_2","False","Ackumulerade avskrivningar på leasade tillgångar"
"a1370","1370","Deferred tax assets","asset_non_current","l10n_se.account_tag_3","False","Uppskjuten skattefordran"
"a2092","2092","Group contributions received/given","equity","l10n_se.account_tag_40","False","Mottagna/Lämnade koncernbidrag"
"a2096","2096","Fair value reserve","equity","l10n_se.account_tag_11","False","Fond för verkligt värde"
"a2240","2240","Provisions for deferred taxes","liability_non_current","l10n_se.account_tag_19","False","Avsättningar för uppskjutna skatter"
"a3940","3940","Unrealised negative/positive changes in value of hedging instruments","income_other","l10n_se.account_tag_31","False","Orealiserade negativa/positiva värdeförändringar på säkringsinstrument"
"a7940","7940","Unrealised positive/negative changes in value of hedging instruments","expense","l10n_se.account_tag_32","False","Orealiserade positiva/negativa värdeförändringar på säkringsinstrument"
"a8290","8290","Fair value measurement, fixed assets","income_other","l10n_se.account_tag_33","False","Värdering till verkligt värde, anläggningstillgångar"
"a8291","8291","Unrealised changes in value of fixed assets","income_other","l10n_se.account_tag_33","False","Orealiserade värdeförändringar på anläggningstillgångar"
"a8295","8295","Unrealised changes in value of derivative instruments","income_other","l10n_se.account_tag_33","False","Orealiserade värdeförändringar på derivatinstrument"
"a8320","8320","Fair value measurement of current assets","income_other","l10n_se.account_tag_33","False","Värdering till verkligt värde, omsättningstillgångar"
"a8321","8321","Unrealised changes in value of current assets","income_other","l10n_se.account_tag_33","False","Orealiserade värdeförändringar på omsättningstillgångar"
"a8325","8325","Interest income from current assets","income_other","l10n_se.account_tag_33","False","Ränteintäkter från omsättningstillgångar"
"a8450","8450","Unrealised changes in value of liabilities","income_other","l10n_se.account_tag_33","False","Orealiserade värdeförändringar på skulder"
"a8451","8451","Unrealised changes in value of liabilities","income_other","l10n_se.account_tag_33","False","Orealiserade värdeförändringar på skulder"
"a8455","8455","Unrealised changes in value of hedging instruments","income_other","l10n_se.account_tag_33","False","Orealiserade värdeförändringar på säkringsinstrument"
"a8480","8480","Capitalised interest expenses","income_other","l10n_se.account_tag_33","False","Aktiverade ränteutgifter"
"a8940","8940","Deferred tax","expense","l10n_se.account_tag_35","False","Uppskjuten skatt"
