"id","code","account_type","name","reconcile","chart_template_id/id"
"gd_acc_000000","000000","asset_non_current","Good name","False","gd_chart"
"gd_acc_001000","001000","asset_non_current","Capitalization costs of investments in foreign tangible fixed assets","False","gd_chart"
"gd_acc_002000","002000","asset_non_current","Deferred development costs","False","gd_chart"
"gd_acc_003000","003000","asset_non_current","Property and other rights","False","gd_chart"
"gd_acc_005000","005000","asset_non_current","Other intangible assets (including allowances)","False","gd_chart"
"gd_acc_007000","007000","asset_non_current","Long-term accrued costs and deferred revenue","False","gd_chart"
"gd_acc_008000","008000","asset_non_current","Value adjustment of intangible assets due to amortization","False","gd_chart"
"gd_acc_009000","009000","asset_non_current","Impairment of intangible assets","False","gd_chart"
"gd_acc_010000","010000","asset_non_current","Investment property valued according to the cost model","False","gd_chart"
"gd_acc_011000","011000","asset_non_current","Investment property valued at fair value model","False","gd_chart"
"gd_acc_015000","015000","asset_non_current","Value adjustment of investment property due to depreciation","False","gd_chart"
"gd_acc_017000","017000","asset_non_current","Investment property under construction","False","gd_chart"
"gd_acc_019000","019000","asset_non_current","Impairment of investment property","False","gd_chart"
"gd_acc_020000","020000","asset_fixed","Land valued according to the cost model","False","gd_chart"
"gd_acc_021000","021000","asset_fixed","Buildings valued according to the cost model","False","gd_chart"
"gd_acc_022000","022000","asset_fixed","Land valued according to the revaluation model","False","gd_chart"
"gd_acc_023000","023000","asset_fixed","Buildings valued according to the revaluation model","False","gd_chart"
"gd_acc_026000","026000","asset_fixed","Investments in foreign-owned real estate","False","gd_chart"
"gd_acc_027000","027000","asset_fixed","Real estate under construction","False","gd_chart"
"gd_acc_031000","031000","asset_non_current","Impairment of land value","False","gd_chart"
"gd_acc_032000","032000","asset_non_current","Value adjustment of land (quarries, landfills) due to depreciation","False","gd_chart"
"gd_acc_035000","035000","asset_non_current","Value adjustment of buildings due to depreciation","False","gd_chart"
"gd_acc_036000","036000","asset_non_current","Value adjustment of foreign-owned real estate investments","False","gd_chart"
"gd_acc_039000","039000","asset_non_current","Impairment of buildings","False","gd_chart"
"gd_acc_040000","040000","asset_fixed","Equipment and spare parts valued according to the cost model","False","gd_chart"
"gd_acc_041000","041000","asset_fixed","Small inventory","False","gd_chart"
"gd_acc_042000","042000","asset_fixed","Equipment and spare parts valued according to the revaluation model","False","gd_chart"
"gd_acc_043000","043000","asset_fixed","Biological resources - perennial crops","False","gd_chart"
"gd_acc_044000","044000","asset_fixed","Biological resources - basic herd","False","gd_chart"
"gd_acc_045000","045000","asset_fixed","Other tangible fixed assets","False","gd_chart"
"gd_acc_046000","046000","asset_fixed","Investments in foreign-owned property, plant and equipment","False","gd_chart"
"gd_acc_047000","047000","asset_fixed","Equipment and other tangible fixed assets under construction","False","gd_chart"
"gd_acc_048000","048000","asset_fixed","Works of art and other objects of cultural and / or historical value that are not depreciated","False","gd_chart"
"gd_acc_050000","050000","asset_non_current","Depreciation of equipment and spare parts due to depreciation","False","gd_chart"
"gd_acc_051000","051000","asset_non_current","Value adjustment of small inventory due to depreciation","False","gd_chart"
"gd_acc_052000","052000","asset_non_current","Impairment of equipment and spare parts","False","gd_chart"
"gd_acc_053000","053000","asset_non_current","Value adjustment of biological assets - perennial crops due to depreciation","False","gd_chart"
"gd_acc_054000","054000","asset_non_current","Value adjustment of biological assets - basic herds due to depreciation","False","gd_chart"
"gd_acc_055000","055000","asset_non_current","Value adjustment of other property, plant and equipment due to depreciation","False","gd_chart"
"gd_acc_056000","056000","asset_non_current","Value adjustment of investments in property, plant and equipment of foreign ownership","False","gd_chart"
"gd_acc_058000","058000","asset_non_current","Impairment of biological assets","False","gd_chart"
"gd_acc_059000","059000","asset_non_current","Impairment of other property, plant and equipment","False","gd_chart"
"gd_acc_060000","060000","asset_non_current","Long-term financial investments in shares and stakes in group organizations, allocated and measured at cost","False","gd_chart"
"gd_acc_061000","061000","asset_non_current","Long-term investments in shares and stakes in group companies, allocated and measured at fair value through profit or loss","False","gd_chart"
"gd_acc_062000","062000","asset_non_current","Long-term investments in shares and stakes in group companies, allocated and measured at fair value through equity","False","gd_chart"
"gd_acc_063000","063000","asset_non_current","Long-term investments in shares and interests of associates and jointly controlled entities, allocated and measured at cost","False","gd_chart"
"gd_acc_064000","064000","asset_non_current","Long-term investments in shares and interests of associates and jointly controlled entities, allocated and measured at fair value through profit or loss","False","gd_chart"
"gd_acc_065000","065000","asset_non_current","Long-term investments in shares and interests of associates and jointly controlled entities, allocated and measured at fair value through equity","False","gd_chart"
"gd_acc_066000","066000","asset_non_current","Other long-term financial investments, allocated and measured at cost","False","gd_chart"
"gd_acc_067000","067000","asset_non_current","Other long-term financial investments allocated and measured at fair value through profit or loss","False","gd_chart"
"gd_acc_068000","068000","asset_non_current","Other long-term financial investments, allocated and measured at fair value through equity or own source of funds","False","gd_chart"
"gd_acc_069000","069000","asset_non_current","Impairment of long-term financial investments","False","gd_chart"
"gd_acc_070000","070000","asset_non_current","Long-term loans granted under loan agreements to group organizations, including long-term finance lease receivables","False","gd_chart"
"gd_acc_071000","071000","asset_non_current","Long-term loans granted under loan agreements to associates and jointly controlled entities, including long-term finance lease receivables","False","gd_chart"
"gd_acc_072000","072000","asset_non_current","Long-term loans to others, including long-term finance lease receivables","False","gd_chart"
"gd_acc_073000","073000","asset_non_current","Long-term loans granted by repurchasing bonds from group organizations","False","gd_chart"
"gd_acc_074000","074000","asset_non_current","Long-term loans granted by repurchase of bonds from associates and jointly controlled entities","False","gd_chart"
"gd_acc_075000","075000","asset_non_current","Long-term loans given by repurchasing bonds from others","False","gd_chart"
"gd_acc_076000","076000","asset_non_current","Long-term receivables for unpaid called - up capital","False","gd_chart"
"gd_acc_077000","077000","asset_non_current","Other long-term investments","False","gd_chart"
