"id","description","invoice_label","name","amount","amount_type","type_tax_use","sequence","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/factor_percent"
"rrif_pdv_25","","PDV 25%","25% PDV","25.0","percent","sale","10","tax_group_25","base","invoice","+II.3 Izdani računi po stopi 25% (osnovica)","",""
"","","","","","","","","","tax","invoice","+II.3 Izdani računi po stopi 25% (porez)","kp_rrif24003",""
"","","","","","","","","","base","refund","-II.3 Izdani računi po stopi 25% (osnovica)","",""
"","","","","","","","","","tax","refund","-II.3 Izdani računi po stopi 25% (porez)","kp_rrif24003",""
"rrif_pdv_25usl","","PDV 25% Usluge","25% PDV usluge","25.0","percent","sale","100","tax_group_25","base","invoice","+II.3 Izdani računi po stopi 25% (osnovica)","",""
"","","","","","","","","","tax","invoice","+II.3 Izdani računi po stopi 25% (porez)","kp_rrif24003",""
"","","","","","","","","","base","refund","-II.3 Izdani računi po stopi 25% (osnovica)","",""
"","","","","","","","","","tax","refund","-II.3 Izdani računi po stopi 25% (porez)","kp_rrif24003",""
"rrif_pdv_10","","PDV 10%","10% PDV","10.0","percent","sale","100","tax_group_10","base","invoice","+II.1 Izdani računi po stopi 10% (osnovica)","",""
"","","","","","","","","","tax","invoice","+II.1 Izdani računi po stopi 10% (porez)","kp_rrif24000",""
"","","","","","","","","","base","refund","-II.1 Izdani računi po stopi 10% (osnovica)","",""
"","","","","","","","","","tax","refund","-II.1 Izdani računi po stopi 10% (porez)","kp_rrif24000",""
"rrif_pdv_0","","PDV  0%","0% PDV","0.0","percent","sale","100","tax_group_0","base","invoice","+I.3. Isporuke po stopi od 0%","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","-I.3. Isporuke po stopi od 0%","",""
"","","","","","","","","","tax","refund","","",""
"rrif_pdv_avans_25","","PDV za predujam 25%","25% PDV (za predujam)","25.0","percent","sale","100","tax_group_25","base","invoice","+II.3 Izdani računi po stopi 25% (osnovica)","",""
"","","","","","","","","","tax","invoice","+II.3 Izdani računi po stopi 25% (porez)","kp_rrif24013",""
"","","","","","","","","","base","refund","-II.3 Izdani računi po stopi 25% (osnovica)","",""
"","","","","","","","","","tax","refund","-II.3 Izdani računi po stopi 25% (porez)","kp_rrif24013",""
"rrif_pdv_avans_10","","PDV za predujam 10%","10% PDV (za predujam)","10.0","percent","sale","100","tax_group_10","base","invoice","+II.1 Izdani računi po stopi 10% (osnovica)","",""
"","","","","","","","","","tax","invoice","+II.1 Izdani računi po stopi 10% (porez)","kp_rrif24010",""
"","","","","","","","","","base","refund","-II.1 Izdani računi po stopi 10% (osnovica)","",""
"","","","","","","","","","tax","refund","-II.1 Izdani računi po stopi 10% (porez)","kp_rrif24010",""
"rrif_pdv_avans_0","","PDV za predujam 0%","0% PDV (za predujam)","0.0","percent","sale","100","tax_group_0","base","invoice","+I.3. Isporuke po stopi od 0%","",""
"","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","base","refund","-I.3. Isporuke po stopi od 0%","",""
"","","","","","","","","","tax","refund","","",""
