"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","sequence","active","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","description@de","description@it","description@fr","price_include_override"
"vat_25","2.5%","","2.5%","2.5","percent","sale","tax_group_tva_25","","False","","base","invoice","+312a","","","","",""
"","","","","","","","","","","","tax","invoice","+312b","ch_coa_2200","","","",""
"","","","","","","","","","","","base","refund","-312a","","","","",""
"","","","","","","","","","","","tax","refund","-312b","ch_coa_2200","","","",""
"vat_25_purchase","2.5%","","2.5%","2.5","percent","purchase","tax_group_tva_25","","False","","base","invoice","","","","","",""
"","","","","","","","","","","","tax","invoice","+400","ch_coa_1170","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-400","ch_coa_1170","","","",""
"vat_25_invest","2.5% I OE","2.5% on invest. and others expenses","2.5% invest.","2.5","percent","purchase","tax_group_tva_25","","False","","base","invoice","","","VST 2.5% Inv./übr.BA (exkl. MWST)","IVA 2.5% Investimenti e altri costi (TR)","TVA 2.5% sur invest. et autres ch. (TR)",""
"","","","","","","","","","","","tax","invoice","+405","ch_coa_1171","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-405","ch_coa_1171","","","",""
"vat_37","3.7%","","3.7%","3.7","percent","sale","tax_group_tva_37","","False","","base","invoice","+342a","","","","",""
"","","","","","","","","","","","tax","invoice","+342b","ch_coa_2200","","","",""
"","","","","","","","","","","","base","refund","-342a","","","","",""
"","","","","","","","","","","","tax","refund","-342b","ch_coa_2200","","","",""
"vat_37_purchase","3.7%","","3.7%","3.7","percent","purchase","tax_group_tva_37","","False","","base","invoice","","","","","",""
"","","","","","","","","","","","tax","invoice","+400","ch_coa_1170","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-400","ch_coa_1170","","","",""
"vat_37_invest","3.7% I OE","3.7% on invest. and others expenses","3.7% invest.","3.7","percent","purchase","tax_group_tva_37","","False","","base","invoice","","","VST 3.7%  Inv./übr.BA (exkl. MWST)","IVA 3,7% su investimenti e altre voci (TS)","TVA 3.7% sur invest. et autres ch. (TS)",""
"","","","","","","","","","","","tax","invoice","+405","ch_coa_1171","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-405","ch_coa_1171","","","",""
"vat_77","7.7%","","7.7%","7.7","percent","sale","tax_group_tva_77","0","False","","base","invoice","+302a","","","","",""
"","","","","","","","","","","","tax","invoice","+302b","ch_coa_2200","","","",""
"","","","","","","","","","","","base","refund","-302a","","","","",""
"","","","","","","","","","","","tax","refund","-302b","ch_coa_2200","","","",""
"vat_77_invest","7.7% I OE","7.7% on invest. and others expenses","7.7% invest.","7.7","percent","purchase","tax_group_tva_77","","False","","base","invoice","","","VST 7.7% Inv./übr.BA (exkl. MWST)","IVA 7,7% su investimenti e altre voci (TN)","TVA 7.7% sur invest. et autres ch. (TN)",""
"","","","","","","","","","","","tax","invoice","+405","ch_coa_1171","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-405","ch_coa_1171","","","",""
"vat_XO","0% EX","Export","0%","0.0","percent","sale","tax_group_tva_0","","True","","base","invoice","+220","","0% Export","IVA dovuta 0% (Export)","TVA due a 0% (Exportations)",""
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-220","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"vat_O_exclude","0% EXC","Exclude","0% excl.","0.0","percent","sale","tax_group_tva_0","","True","","base","invoice","+230","","0% Ausgenommen","IVA 0% Esclusa","TVA 0% exclue",""
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","-230","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"vat_O_import","0% EX","Import","0% import","0.0","percent","purchase","tax_group_tva_0","","True","","base","invoice","","","0% Import","IVA 0% Importazioni di bene e servizi","TVA 0% Importations de biens et services",""
"","","","","","","","","","","","tax","invoice","","","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","","","","","",""
"vat_100_import","100% GS","Customs VAT on goods and services","100% imp.","100.0","division","purchase","tax_group_tva_100","","True","","base","invoice","","","Zoll Mehrwertsteuer auf Waren und Dienstleistungen","Liquidazione IVA al 100%","",""
"","","","","","","","","","","","tax","invoice","+400","ch_coa_1170","","","",""
"","","","","","","","","","","","base","refund","","","","","",""
"","","","","","","","","","","","tax","refund","-400","ch_coa_1170","","","",""
