"id","active","sequence","name","country_id","price_include","description","invoice_label","amount_type","amount","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id"
"l10n_kh_15_wht_service","True","1","15% WHT (Service)","base.kh","False","WHT imposed on income received by a physical person for service performance","15% WHT","percent","-15","purchase","l10n_tax_group_wht","base","invoice","",""
"","","","","","","","","","","","","tax","invoice","","l10n_kh_87000"
"","","","","","","","","","","","","base","refund","",""
"","","","","","","","","","","","","tax","refund","","l10n_kh_87000"
"l10n_kh_15_wht_royalties","False","1","15% WHT (Royalties)","base.kh","False","WHT applied to royalty payments for intangible properties and interest in minerals made to a resident taxpayer.","15% WHT","percent","-15","purchase","l10n_tax_group_wht","base","invoice","",""
"","","","","","","","","","","","","tax","invoice","","l10n_kh_87000"
"","","","","","","","","","","","","base","refund","",""
"","","","","","","","","","","","","tax","refund","","l10n_kh_87000"
"l10n_kh_15_wht_interest","True","1","15% WHT (Interest except local banks and institutions)","base.kh","False","Interest paid to a physical person or resident taxpayers other than local banks and saving institutions","15% WHT","percent","15","purchase","l10n_tax_group_wht","base","invoice","",""
"","","","","","","","","","","","","tax","invoice","","l10n_kh_87000"
"","","","","","","","","","","","","base","refund","",""
"","","","","","","","","","","","","tax","refund","","l10n_kh_87000"
"l10n_kh_10_wht_rental","True","1","10% WHT (Rental)","base.kh","False","WHT levied on income from the rental of movable propert and immvable property.","10% WHT","percent","-10","purchase","l10n_tax_group_wht","base","invoice","",""
"","","","","","","","","","","","","tax","invoice","","l10n_kh_87000"
"","","","","","","","","","","","","base","refund","",""
"","","","","","","","","","","","","tax","refund","","l10n_kh_87000"
"l10n_kh_6_wht_interest","False","1","6% WHT (Interest for fixed deposit)","base.kh","False","WHT levied on interest paid by local banks or savings institutions to a resident taxpayer or a physical person having a fixed term deposit","6% WHT","percent","-6","purchase","l10n_tax_group_wht","base","invoice","",""
"","","","","","","","","","","","","tax","invoice","","l10n_kh_87000"
"","","","","","","","","","","","","base","refund","",""
"","","","","","","","","","","","","tax","refund","","l10n_kh_87000"
