"id","code","name","account_type","tag_ids","reconcile","non_trade","tax_ids","asset_model_ids","description"
"au_11110","11110","Bank","asset_cash","","False","","","","Funds held in bank accounts, including restricted and unrestricted funds for general operations."
"au_11130","11130","Petty Cash","asset_cash","","False","","","","Amount of cash held on hand for small expenditures at the end of the reporting period."
"au_11140","11140","Cash Drawer","asset_cash","","False","","","","Cash float used for trading or specific projects; does not represent petty cash holdings."
"au_11180","11180","Undeposited Funds","asset_current","","True","","","","Amount of funds received but not yet deposited; an automatic feature in most accounting software systems."
"au_11190","11190","Electronic Clearing","asset_current","","True","","","","Account for unallocated or unapplied funds, typically used for electronic clearing purposes."
"au_11200","11200","Trade Debtors","asset_receivable","","True","","","","Gross accounts receivable owed by customers, expected to be collected within the next 12 months."
"au_11201","11201","Trade Debtors (PoS)","asset_receivable","","True","","","","Gross accounts receivable from customers owed to the organization through the point of sale system."
"au_11210","11210","Less Prov'n for Doubtful Debts","asset_current","","False","","","","Estimate of debts not expected to be received from outstanding debtors (also referred to as Allowance)."
"au_11310","11310","Raw Materials","asset_current","","False","","","","Inventory items held for resale or manufacturing, expected to be consumed within the next financial year."
"au_11320","11320","Finished Goods","asset_current","","False","","","","Manufactured or finished goods held in inventory for resale, expected within the next financial year."
"au_11330","11330","Trading Stock on Hand","asset_current","","False","","","","Trading stock held for resale, including fundraising inventory, publications, and commercial stock."
"au_11340","11340","Goods Shipped not Invoiced","asset_current","","False","","","","Stock of items shipped to customers for which invoicing has not yet been processed."
"au_11350","11350","Work In Process (Inventory)","asset_current","","False","","","","Accumulated costs for partially completed products currently undergoing production or transformation."
"au_12100","12100","Deposits Paid","asset_prepayments","","False","","au_tax_purchase_10_service","","Deposits held by third parties, such as for electricity or bonds, expected to be redeemed within 12 months."
"au_12200","12200","Prepaid Expenses","asset_current","","False","","au_tax_purchase_10_service","","Advance payments, such as insurance or rent, covering periods beyond the current financial year."
"au_13110","13110","Land","asset_fixed","","False","","au_tax_purchase_10_service","","Total value of land held for productive use or future expansion. Land is a non-depreciable asset."
"au_13120","13120","Buildings","asset_fixed","","False","","au_tax_purchase_10_service","asset_buildings","Total value of structures and buildings owned and used in the organization's operations."
"au_13130","13130","Buildings Accum Dep","asset_non_current","","False","","","","Total accumulated depreciation recorded to date on buildings."
"au_13140","13140","Manufacturing Plant at Cost","asset_fixed","","False","","au_tax_purchase_10_service","asset_manufacturing_plant","Total value of tangible fixed assets used for production, recorded at their original cost."
"au_13150","13150","Manufac. Plant Accum Dep","asset_non_current","","False","","","","Total accumulated depreciation recorded to date on manufacturing fixed assets."
"au_13160","13160","Manufacturing Equipment Cost","asset_fixed","","False","","au_tax_purchase_10_service","asset_manufacturing_equipment","Total value of equipment used for production, recorded at its original initial cost."
"au_13170","13170","Manufac. Equip Accum Dep","asset_non_current","","False","","","","Total accumulated depreciation recorded to date on manufacturing equipment."
"au_13210","13210","Furniture & Fixtures at Cost","asset_fixed","","False","","au_tax_purchase_10_service","asset_furniture","Cost or fair value of furniture and fixtures installed in offices or rental properties."
"au_13220","13220","Furniture & Fixtures Accum Dep","asset_non_current","","False","","","","Total accumulated depreciation recorded to date on the organization's furniture and fixtures."
"au_13310","13310","Office Equip at Cost","asset_fixed","","False","","au_tax_purchase_10_service","asset_office_equipment","Cost or fair value of office equipment, including capitalized computers and software."
"au_13320","13320","Office Equip Accum Dep","asset_non_current","","False","","","","Total accumulated depreciation recorded to date on the organization's office equipment."
"au_13410","13410","Motor Vehicles at Cost","asset_fixed","","False","","au_tax_purchase_10_service","asset_vehicle","Cost or fair value (if donated) of motor vehicles, including buses, owned or leased."
"au_13420","13420","Motor Vehicles Accum Dep","asset_non_current","","False","","","","Total accumulated depreciation recorded to date on the organization's motor vehicles."
"au_13430","13430","Technology Equip","asset_fixed","","False","","au_tax_purchase_10_service","asset_technology","Cost or fair value of all specialized technological equipment, including capitalized IT infrastructure and servers."
