"id","name","tax_ids/tax_src_id","tax_ids/tax_dest_id"
"fiscal_position_os_partner","OS Partner","au_tax_sale_10","au_tax_sale_0"
"","","au_tax_purchase_10_service","au_tax_purchase_0_service"
"","","au_tax_purchase_capital_service","au_tax_purchase_0_service"
"fiscal_position_tpar_partner","TPAR","au_tax_purchase_10_service","au_tax_purchase_10_service_tpar"
"","","au_tax_purchase_capital_service","au_tax_purchase_capital_service_tpar"
"","","au_tax_purchase_0_service","au_tax_purchase_0_service_tpar"
"","","au_tax_purchase_input_service","au_tax_purchase_input_service_tpar"
"","","au_tax_purchase_private_service","au_tax_purchase_private_service_tpar"
"","","au_tax_purchase_gst_only_service","au_tax_purchase_gst_only_service_tpar"
"","","au_tax_purchase_adj_service","au_tax_purchase_adj_service_tpar"
"fiscal_position_tpar_partner_no_abn","TPAR without ABN","au_tax_purchase_10_service","au_tax_purchase_10_service_tpar_no_abn"
"","","au_tax_purchase_capital_service","au_tax_purchase_capital_service_tpar_no_abn"
"","","au_tax_purchase_0_service","au_tax_purchase_0_service_tpar_no_abn"
"","","au_tax_purchase_input_service","au_tax_purchase_input_service_tpar_no_abn"
"","","au_tax_purchase_private_service","au_tax_purchase_private_service_tpar_no_abn"
"","","au_tax_purchase_gst_only_service","au_tax_purchase_gst_only_service_tpar_no_abn"
"","","au_tax_purchase_adj_service","au_tax_purchase_adj_service_tpar_no_abn"
