"id","name","sequence","description","invoice_label","type_tax_use","tax_scope","amount_type","amount","price_include","tax_group_id","children_tax_ids","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","include_base_amount"
"au_tax_purchase_10_service_tpar","10% GST TPAR","1","GST Purchases","GST Purchases","purchase","service","percent","10.0","False","tax_group_gst_10","","base","invoice","","+G11",""
"","","","","","","","","","","","","tax","invoice","au_21330","+G11||+GST from General Ledger||Service",""
"","","","","","","","","","","","","base","refund","","-G11",""
"","","","","","","","","","","","","tax","refund","au_21330","-G11||-GST from General Ledger||Service",""
"au_tax_purchase_10_service_tpar_no_abn","10% GST TPAR NO ABN","1","GST Purchases","GST Purchases","purchase","service","group","100.0","","tax_group_gst_10","au_tax_purchase_10_service_tpar,au_tax_witheld","","","","",""
"au_tax_purchase_inc_10_service_tpar","10% INC TPAR","2","GST Inclusive Purchases","GST Inclusive Purchases","purchase","service","percent","10.0","True","tax_group_gst_10","","base","invoice","","+G11",""
"","","","","","","","","","","","","tax","invoice","au_21330","+G11||+GST from General Ledger||Service",""
"","","","","","","","","","","","","base","refund","","-G11",""
"","","","","","","","","","","","","tax","refund","au_21330","-G11||-GST from General Ledger||Service",""
"au_tax_purchase_inc_10_service_tpar_no_abn","10% INC TPAR NO ABN","2","GST Inclusive Purchases","GST Inclusive Purchases","purchase","service","group","100.0","","tax_group_gst_10","au_tax_purchase_inc_10_service_tpar,au_tax_witheld","","","","",""
"au_tax_purchase_capital_service_tpar","10% F TPAR","3","Capital Purchases","Capital Purchases","purchase","service","percent","10.0","False","tax_group_gst_10","","base","invoice","","+G10",""
"","","","","","","","","","","","","tax","invoice","au_21330","+G10||+GST from General Ledger||Service",""
"","","","","","","","","","","","","base","refund","","-G10",""
"","","","","","","","","","","","","tax","refund","au_21330","-G10||-GST from General Ledger||Service",""
"au_tax_purchase_capital_service_tpar_no_abn","10% F TPAR NO ABN","3","Capital Purchases","Capital Purchases","purchase","service","group","100.0","","tax_group_gst_10","au_tax_purchase_capital_service_tpar,au_tax_witheld","","","","",""
"au_tax_purchase_0_service_tpar","0% F TPAR","4","Zero Rated Purch TPAR","Zero Rated Purch TPAR","purchase","service","percent","0.0","False","tax_group_gst_0","","base","invoice","","+G11||+G14",""
"","","","","","","","","","","","","tax","invoice","","l10n_au.service_tag",""
"","","","","","","","","","","","","base","refund","","-G11||-G14",""
"","","","","","","","","","","","","tax","refund","","l10n_au.service_tag",""
"au_tax_purchase_0_service_tpar_no_abn","0% F TPAR NO ABN","4","Zero Rated Purch TPAR without ABN","Zero Rated Purch TPAR without ABN","purchase","service","group","100.0","","tax_group_gst_0","au_tax_purchase_0_service_tpar,au_tax_witheld","","","","",""
"au_tax_purchase_taxable_import_service_tpar","0% TPS TPAR","5","Purchase (Taxable Imports) - Tax Paid Separately","Purchase (Taxable Imports) - Tax Paid Separately","purchase","service","percent","0.0","True","tax_group_gst_0","","base","invoice","","l10n_au.service_tag||+G11||+G14",""
"","","","","","","","","","","","","tax","invoice","","",""
"","","","","","","","","","","","","base","refund","","l10n_au.service_tag||-G11||-G14",""
"","","","","","","","","","","","","tax","refund","","",""
"au_tax_purchase_taxable_import_service_tpar_no_abn","0% TPS TPAR NO ABN","5","Purchase (Taxable Imports) - Tax Paid Separately","Purchase (Taxable Imports) - Tax Paid Separately","purchase","service","group","100.0","","tax_group_gst_0","au_tax_purchase_taxable_import_service_tpar,au_tax_witheld","","","","",""
"au_tax_purchase_input_service_tpar","10% INP TPAR","6","Purchases for Input Taxed Sales","Purchases for Input Taxed Sales","purchase","service","percent","10.0","False","tax_group_gst_10","","base","invoice","","+G11||+G13",""
"","","","","","","","","","","","","tax","invoice","","+G11||+G13||Service",""
"","","","","","","","","","","","","base","refund","","-G11||-G13",""
"","","","","","","","","","","","","tax","refund","","-G11||-G13||Service",""
"au_tax_purchase_input_service_tpar_no_abn","10% INP TPAR NO ABN","6","Purchases for Input Taxed Sales","Purchases for Input Taxed Sales","purchase","service","group","100.0","","tax_group_gst_10","au_tax_purchase_input_service_tpar,au_tax_witheld","","","","",""
"au_tax_purchase_private_service_tpar","10% PRIV TPAR","7","Purchases for Private use or not deductible","Purchases for Private use or not deductible","purchase","service","percent","10.0","False","tax_group_gst_10","","base","invoice","","+G11||+G15",""
"","","","","","","","","","","","","tax","invoice","","+G11||+G15||Service",""
"","","","","","","","","","","","","base","refund","","-G11||-G15",""
"","","","","","","","","","","","","tax","refund","","-G11||-G15||Service",""
"au_tax_purchase_private_service_tpar_no_abn","10% PRIV TPAR NO ABN","7","Purchases for Private use or not deductible","Purchases for Private use or not deductible","purchase","service","group","100.0","","tax_group_gst_10","au_tax_purchase_private_service_tpar,au_tax_witheld","","","","",""
"au_tax_purchase_gst_only_service_tpar","100% ONLY TPAR","8","GST Only on Imports","GST Only on Imports","purchase","service","division","100.0","True","tax_group_gst_100000000","","base","invoice","","",""
"","","","","","","","","","","","","tax","invoice","au_21330","+ONLY||+GST from General Ledger||Service",""
"","","","","","","","","","","","","base","refund","","",""
"","","","","","","","","","","","","tax","refund","au_21330","-ONLY||-GST from General Ledger||Service",""
"au_tax_purchase_gst_only_service_tpar_no_abn","100% ONLY TPAR NO ABN","8","GST Only on Imports","GST Only on Imports","purchase","service","group","100.0","","tax_group_gst_100000000","au_tax_purchase_gst_only_service_tpar,au_tax_witheld","","","","",""
"au_tax_purchase_adj_service_tpar","100% ADJ TPAR","9","Tax Adjustments (Purchases)","Tax Adjustments (Purchases)","purchase","service","division","100.0","False","tax_group_gst_100000000","","base","invoice","","+G18",""
"","","","","","","","","","","","","tax","invoice","au_21330","+G18||+GST from General Ledger||Service",""
"","","","","","","","","","","","","base","refund","","-G18",""
"","","","","","","","","","","","","tax","refund","au_21330","-G18||-GST from General Ledger||Service",""
"au_tax_purchase_adj_service_tpar_no_abn","100% ADJ TPAR NO ABN","9","Tax Adjustments (Purchases)","Tax Adjustments (Purchases)","purchase","service","group","100.0","","tax_group_gst_100000000","au_tax_purchase_adj_service_tpar,au_tax_witheld","","","","",""
