"id","name","auto_apply","country_group_id","sequence","tax_ids/tax_src_id","tax_ids/tax_dest_id","name@de"
"fiscal_position_template_1","Suisse national (+Liechtenstein)","1","base.ch_and_li","","","",""
"fiscal_position_template_import","Import/Export","1","","1","vat_25_purchase","vat_O_import","Import/Export"
"","","","","","vat_25_invest","vat_O_import",""
"","","","","","vat_37_purchase","vat_O_import",""
"","","","","","vat_37_invest","vat_O_import",""
"","","","","","vat_77_purchase_reverse","vat_O_import",""
"","","","","","vat_77_invest","vat_O_import",""
"","","","","","vat_25","vat_XO",""
"","","","","","vat_37","vat_XO",""
"","","","","","vat_77","vat_XO",""
"","","","","","vat_purchase_26","vat_O_import",""
"","","","","","vat_purchase_26_invest","vat_O_import",""
"","","","","","vat_purchase_38","vat_O_import",""
"","","","","","vat_purchase_38_invest","vat_O_import",""
"","","","","","vat_purchase_81_reverse","vat_O_import",""
"","","","","","vat_purchase_81_invest","vat_O_import",""
"","","","","","vat_sale_26","vat_XO",""
"","","","","","vat_sale_38","vat_XO",""
"","","","","","vat_sale_81","vat_XO",""
