id,code,name,account_type,reconcile,chart_template_id/id,tag_ids/id
do_niif_11010301,11010301,Depósitos a corto plazo en RD$,asset_cash,FALSE,do_chart_template,"account_tag_1,account_tag_11,account_tag_1101,account_tag_110103"
do_niif_11010302,11010302,Depósitos a corto plazo en USD$,asset_cash,FALSE,do_chart_template,"account_tag_1,account_tag_11,account_tag_1101,account_tag_110103"
do_niif_11020100,11020100,Bonos y Acciones Temporales,asset_current,FALSE,do_chart_template,"account_tag_1,account_tag_11,account_tag_1102"
do_niif_11020200,11020200,Operaciones en Bolsa,asset_current,FALSE,do_chart_template,"account_tag_1,account_tag_11,account_tag_1102"
do_niif_11020300,11020300,Otros Valores Negociables,asset_current,FALSE,do_chart_template,"account_tag_1,account_tag_11,account_tag_1102"
do_niif_11030101,11030101,Cheques Devueltos por Cobrar,asset_receivable,TRUE,do_chart_template,"account_tag_1,account_tag_11,account_tag_1103,account_tag_110301"
do_niif_11030102,11030102,Intereses por Cobrar,asset_receivable,TRUE,do_chart_template,"account_tag_1,account_tag_11,account_tag_1103,account_tag_110301"
do_niif_11030201,11030201,Cuentas por Cobrar a Clientes,asset_receivable,TRUE,do_chart_template,"account_tag_1,account_tag_11,account_tag_1103,account_tag_110302"
do_niif_11030210,11030210,Cuentas por Cobrar a Clientes (PoS),asset_receivable,TRUE,do_chart_template,"account_tag_1,account_tag_11,account_tag_1103,account_tag_110302"
do_niif_11030202,11030202,Cuentas por Cobrar a Funcionarios y Empleados,asset_receivable,TRUE,do_chart_template,"account_tag_1,account_tag_11,account_tag_1103,account_tag_110302"
do_niif_11030203,11030203,Cuentas por Cobrar a Afiliadas,asset_receivable,TRUE,do_chart_template,"account_tag_1,account_tag_11,account_tag_1103,account_tag_110302"
do_niif_11030204,11030204,Cuentas por Cobrar a Accionistas,asset_receivable,TRUE,do_chart_template,"account_tag_1,account_tag_11,account_tag_1103,account_tag_110302"
do_niif_11030205,11030205,Otras Cuentas por Cobrar,asset_receivable,TRUE,do_chart_template,"account_tag_1,account_tag_11,account_tag_1103,account_tag_110302"
