id,parent_id:id,code,sign,name,info
default_chart_a_tax_code_21,,I,1,IT-1,,
default_chart_a_tax_code_22,default_chart_a_tax_code_21,II-1,1,Total de Operaciones,,
default_chart_a_tax_code_23,default_chart_a_tax_code_22,II.A,1,INGRESOS POR EXPORTACIONES DE BIENES O SERVICIOS EXENTOS,,
default_chart_a_tax_code_24,default_chart_a_tax_code_23,II.A.2,1,INGRESOS POR EXPORTACIONES DE BIENES O SERVICIOS EXENTOS,,
default_chart_a_tax_code_25,default_chart_a_tax_code_23,II.A.3,1,INGRESOS POR VENTAS LOCALES DE BIENES O SERVICIOS EXENTOS,,
default_chart_a_tax_code_26,default_chart_a_tax_code_22,II.B,1,GRAVADAS,,
default_chart_a_tax_code_27,default_chart_a_tax_code_26,II.B.6,1,OPERACIONES GRAVADAS AL 18%,,
default_chart_a_tax_code_28,default_chart_a_tax_code_26,II.B.7,1,OPERACIONES GRAVADAS AL 11%,,
default_chart_a_tax_code_29,default_chart_a_tax_code_21,III,1,LIQUIDACION,,
default_chart_a_tax_code_30,default_chart_a_tax_code_29,III.10,1,TOTAL ITBIS COBRADO (Sumar casillas 8+9),,
default_chart_a_tax_code_31,default_chart_a_tax_code_30,III.8,1,ITBIS COBRADO (18% de la casilla 6),,
default_chart_a_tax_code_32,default_chart_a_tax_code_30,III.9,1,TBIS COBRADO (11% de la casilla 7),,
default_chart_a_tax_code_33,default_chart_a_tax_code_29,III.14,-1,TOTAL ITBIS PAGADO (Sumar casillas 11+12+13),,
default_chart_a_tax_code_34,default_chart_a_tax_code_33,III.11,-1,ITBIS PAGADO EN COMPRAS LOCALES,,
default_chart_a_tax_code_35,default_chart_a_tax_code_33,III.12,-1,ITBIS PAGADO POR SERVICIOS DEDUCIBLES,,
default_chart_a_tax_code_36,default_chart_a_tax_code_33,III.13,-1,ITBIS PAGADO EN IMPORTACIONES,,
default_chart_a_tax_code_37,default_chart_a_tax_code_21,A,1,ITBIS RETENIDO,,
default_chart_a_tax_code_38,default_chart_a_tax_code_37,A.25,1,Servicios Sujetos a Retención Personas = Físicas y Entidad,,
default_chart_a_tax_code_39,default_chart_a_tax_code_37,A.30,1,Itbis Por Servicios Sujetos A Retencion Personas Físicas,,
default_chart_a_tax_code_40,,IR-17 2014,1,IR-17 RETENCIONES Y RETRIBUCIONES COMPLEMENTARIAS 2014,,
default_chart_a_tax_code_41,default_chart_a_tax_code_40,II,1,Retenciones,,
default_chart_a_tax_code_42,default_chart_a_tax_code_41,II.1,1,ALQUILERES,,
default_chart_a_tax_code_43,default_chart_a_tax_code_41,II.2,1,HONORARIOS POR SERVICIOS INDEPENDIENTES 10%,,
default_chart_a_tax_code_44,default_chart_a_tax_code_41,II.3,1,PREMIOS (LEY 253-12) 25%,,
default_chart_a_tax_code_45,default_chart_a_tax_code_41,II.4,1,TRANSFERENCIAS DE TITULOS Y PROPIEDADES 2%,,
default_chart_a_tax_code_46,default_chart_a_tax_code_41,II.5,1,DIVIDENDOS (LEY 253-12) 10%,,
