id,name,chart_template_id:id
default_chart_a_position_1,"Para Crédito Fiscal",default_chart_a,
default_chart_a_position_2,"Cosumidor Final",default_chart_a,
default_chart_a_position_3,Gubernamental,default_chart_a,
default_chart_a_position_4,"Regímenes Especiales",default_chart_a,
default_chart_a_position_5,"Gastos de personal",default_chart_a,
default_chart_a_position_6,"Gastos por trabajo, suministros y servicios",default_chart_a,
default_chart_a_position_7,Arrendamientos,default_chart_a,
default_chart_a_position_8,"Gastos de Activos Fijos",default_chart_a,
default_chart_a_position_9,"Gastos de Representación",default_chart_a,
default_chart_a_position_10,"Otras Deducciones Admitidas",default_chart_a,
default_chart_a_position_11,"Gastos Financieros",default_chart_a,
default_chart_a_position_12,"Gastos Extraordinarios",default_chart_a,
default_chart_a_position_13,"Proveedores de mercancía impuesto no incluido",default_chart_a,
default_chart_a_position_14,"Adquisiciones de Activos",default_chart_a,
default_chart_a_position_15,"Gastos Menores",default_chart_a,
default_chart_a_position_16,"Gastos de Seguro",default_chart_a,
default_chart_a_position_17,"Proveedores de mercancía impuesto incluido",default_chart_a,
