id,code,name,user_type_id/id,reconcile,chart_template_id/id
gov_central_1101010001,1101010001,CAJA GENERAL,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_1101010002,1101010002,CAJA CHICA,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_1101010003,1101010003,CAJAS COLECTORAS,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_1101010998,1101010998,OTRAS CAJAS,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_11010200010001,11010200010001,BANRESERVAS-REPUBLICA DOMINICANA RD$,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_110102000100020001,110102000100020001,BANRESERVAS REPUBLICA DOMINICANA U$S,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_110102000100020002,110102000100020002,BANRESERVAS REPUBLICA DOMINICANA EUROS,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_110102000100030001,110102000100030001,BANRESERVAS CUENTA DESEMBOLSO AÑO FISCAL ANTERIOR,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_110102000100030002,110102000100030002,BANRESERVAS CUENTA DESEMBOLSO AÑO FISCAL VIGENTE,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_110102000100030003,110102000100030003,ASIGNACION DE FONDO PENDIENTE A LA CUENTA DESEMBOLSO,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_110102000100030004,110102000100030004,CHEQUES EN TRANSITO,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_110102000100030005,110102000100030005,CUENTA TRANSFERENCIA EN PROCESO EN RD$,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_110102000100030006,110102000100030006,CUENTA TRANSFERENCIA EN PROCESO EN US$,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_110102000100030007,110102000100030007,CUENTA TRANSFERENCIA EN PROCESO EN EUROS,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_110102000100040001,110102000100040001,BANRESERVAS-CUENTA COLECTORA EN RD$- DE IMPUESTOS INTERNOS,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_110102000100040002,110102000100040002,BANRESERVAS-CUENTA COLECTORA EN RD$-COLECTOR DE ADUANAS,account.data_account_type_liquidity,FALSE,gov_central_chart_template
gov_central_110102000100040003,110102000100040003,BANRESERVAS-CUENTA COLECTORA EN RD$-UNIDAD RECAUDADORA PRESIDENCIA DE LA REPUBLICA,account.data_account_type_liquidity,FALSE,gov_central_chart_template
