"id","code","name","account_type","reconcile"
"rw_102","102","Cash Equivalents","asset_cash","False"
"rw_104","104","Internal Transfers of Funds","asset_current","False"
"rw_106","106","Other current assets","asset_current","False"
"rw_107","107","Tax paid","asset_current","False"
"rw_108","108","Tax receivable","asset_current","False"
"rw_110","110","Property, Plant And Equipment","asset_fixed","False"
"rw_111","111","Land And Land Improvements","asset_fixed","False"
"rw_112","112","Buildings, Structures And Improvements","asset_fixed","False"
"rw_113","113","Machinery And Equipment","asset_fixed","False"
"rw_114","114","Furniture And Fixtures","asset_fixed","False"
"rw_115","115","Right Of Use Assets (Classified As PP&E)","asset_fixed","False"
"rw_116","116","Additional Property, Plant And Equipment","asset_fixed","False"
"rw_117","117","Construction In Progress","asset_non_current","False"
"rw_121","121","Investment Property","asset_non_current","False"
"rw_122","122","Investment Property Under Construction Or Development","asset_non_current","False"
"rw_130","130","Goodwill","asset_non_current","False"
"rw_135","135","Advances for Capital Assets","asset_non_current","False"
"rw_140","140","Intangible Assets (Excluding Goodwill)","asset_non_current","False"
"rw_141","141","Intellectual Property","asset_fixed","False"
"rw_142","142","Computer Software","asset_fixed","False"
"rw_143","143","Trade And Distribution Assets","asset_non_current","False"
"rw_144","144","Contracts And Rights","asset_non_current","False"
"rw_145","145","Right To Use Assets (Classified By Type)","asset_non_current","False"
"rw_146","146","Other Intangible Assets","asset_non_current","False"
"rw_147","147","Acquisition In Progress","asset_non_current","False"
"rw_148","148","Deferred tax assets","asset_non_current","False"
"rw_149","149","Available for sale investments","asset_non_current","False"
"rw_150","150","Financial Assets (Investments)","asset_non_current","False"
"rw_151","151","Non-Derivative Financial Assets","asset_receivable","True"
"rw_152","152","Derivative Financial Assets","asset_receivable","True"
"rw_153","153","Restricted Cash And Financial Assets","asset_cash","False"
"rw_154","154","Additional Financial Assets And Investments","asset_non_current","False"
"rw_155","155","Trade receivables (PoS)","asset_receivable","True"
"rw_156","156","Investments in associate","asset_receivable","True"
"rw_160","160","Agricultural (Biological) Assets","asset_current","False"
"rw_161","161","Bearer Plants","asset_current","False"
"rw_162","162","Animals","asset_current","False"
"rw_163","163","Other Agricultural Assets","asset_current","False"
"rw_170","170","Inventory","asset_current","False"
"rw_171","171","Merchandise","asset_current","False"
"rw_172","172","Raw Material, Parts And Supplies","asset_current","False"
"rw_173","173","Work In Process","asset_current","False"
"rw_174","174","Finished Goods","asset_current","False"
"rw_175","175","Other Inventory","asset_current","False"
"rw_176","176","Income tax assets","asset_current","False"
"rw_180","180","Accruals And Additional Assets","asset_receivable","True"
"rw_181","181","Prepaid Expense","asset_current","False"
"rw_182","182","Accrued Income","asset_current","False"
"rw_183","183","Additional Assets","asset_receivable","True"
"rw_184","184","Investments and financial receivables","asset_receivable","True"
"rw_190","190","Receivables And Contracts","asset_receivable","True"
"rw_191","191","Accounts, Notes And Loans Receivable","asset_receivable","True"
"rw_192","192","Contracts","asset_current","False"
"rw_193","193","Nontrade And Other Receivables","asset_receivable","True"
"rw_210","210","Owners Equity (Attributable To Owners Of Parent)","equity","False"
"rw_211","211","Equity At Par (Issued Capital)","equity","False"
"rw_212","212","Retained Earnings","equity","False"
"rw_213","213","Additional Paid-In Capital","equity","False"
