"id","name","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/account_id","repartition_line_ids/tag_ids","repartition_line_ids/factor_percent","name@fr","description@fr"
"syscebnl_tva_sale_15","15%","","","15.0","percent","sale","syscebnl_tax_group_15","base","invoice","","+base_15","","",""
"","","","","","","","","tax","invoice","syscebnl_443","+tax_15","","",""
"","","","","","","","","base","refund","","-base_15","","",""
"","","","","","","","","tax","refund","syscebnl_443","-tax_15","","",""
"syscebnl_tva_purchase_15","15%","","","15.0","percent","purchase","syscebnl_tax_group_15","base","invoice","","+purc_base","","",""
"","","","","","","","","tax","invoice","syscebnl_445","+purc_tax","","",""
"","","","","","","","","base","refund","","-purc_base","","",""
"","","","","","","","","tax","refund","syscebnl_445","-purc_tax","","",""
"syscebnl_tva_sale_30","30%","","","30.0","percent","sale","syscebnl_tax_group_30","base","invoice","","+base_30","","",""
"","","","","","","","","tax","invoice","syscebnl_443","+tax_30","","",""
"","","","","","","","","base","refund","","-base_30","","",""
"","","","","","","","","tax","refund","syscebnl_443","-tax_30","","",""
"syscebnl_tva_purchase_30","30%","","","30.0","percent","purchase","syscebnl_tax_group_30","base","invoice","","+purc_base","","",""
"","","","","","","","","tax","invoice","syscebnl_445","+purc_tax","","",""
"","","","","","","","","base","refund","","-purc_base","","",""
"","","","","","","","","tax","refund","syscebnl_445","-purc_tax","","",""
"syscebnl_tva_sale_6","6%","","","6.0","percent","sale","syscebnl_tax_group_6","base","invoice","","+base_6","","",""
"","","","","","","","","tax","invoice","syscebnl_443","+tax_6","","",""
"","","","","","","","","base","refund","","-base_6","","",""
"","","","","","","","","tax","refund","syscebnl_443","-tax_6","","",""
"syscebnl_tva_purchase_6","6%","","","6.0","percent","purchase","syscebnl_tax_group_6","base","invoice","","+purc_base","","",""
"","","","","","","","","tax","invoice","syscebnl_445","+purc_tax","","",""
"","","","","","","","","base","refund","","-purc_base","","",""
"","","","","","","","","tax","refund","syscebnl_445","-purc_tax","","",""
"syscebnl_tva_export_0","0% EX","0% (export)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","+export","","","0% (exportation)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-export","","",""
"","","","","","","","","tax","refund","","","","",""
"syscebnl_tva_import_0","0% EX","0% (import)","","0.0","","purchase","syscebnl_tax_group_0","base","invoice","","+import_base","","","0% (importation)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-import_base","","",""
"","","","","","","","","tax","refund","","","","",""
"syscebnl_tva_exempt_0","0%","0% (exempt)","","0.0","","sale","syscebnl_tax_group_0","base","invoice","","+sale_exempt","","","0% (exonéré)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-sale_exempt","","",""
"","","","","","","","","tax","refund","","","","",""
"syscebnl_tva_purchase_exempt_0","0%","0% (exempt)","","0.0","","purchase","syscebnl_tax_group_0","base","invoice","","+purc_exempt","","","0% (exonéré)"
"","","","","","","","","tax","invoice","","","","",""
"","","","","","","","","base","refund","","-purc_exempt","","",""
"","","","","","","","","tax","refund","","","","",""
