id,name,code,account_type,reconcile
account_account_100,Capital social,100,equity,False
account_account_101,Fons social,101,equity,False
account_account_102,Capital,102,equity,False
account_account_108,Accions o participacions pròpies en situacions especials,108,equity,False
account_account_109,Accions o participacions pròpies per a reducció de capital,109,equity,False
account_account_110,Prima d’emissió o assumpció,110,equity,False
account_account_112,Reserva legal,112,equity,False
account_account_113,Reserves estatutàries,113,equity,False
account_account_114,Reserves voluntàries,114,equity,False
account_account_115,Reserves per accions pròpies,115,equity,False
account_account_116,Reserva de revaloració,116,equity,False
account_account_118,Aportacions de socis o propietaris,118,equity,False
account_account_119,Altres reserves,119,equity,False
account_account_120,Romanent,120,equity,False
account_account_121,Resultats negatius d’exercicis anteriors,121,equity,False
account_account_129,Resultat de l’exercici,129,equity_unaffected,False
account_account_130,Subvencions oficials de capital,130,equity,False
account_account_131,Donacions i llegats de capital,131,equity,False
account_account_132,"Altres subvencions, donacions i llegats",132,equity,False
account_account_141,Provisió per tributs,141,liability_non_current,True
account_account_143,"Provisió per desmantellament, retirament o rehabilitació de l’immobilitzat",143,liability_non_current,True
account_account_145,Provisió per a actuacions mediambientals,145,liability_non_current,True
account_account_146,Provisió per a altres responsabilitats,146,liability_non_current,True
account_account_160,Deutes a llarg termini amb entitats de crèdit vinculades,160,liability_non_current,False
account_account_161,"Proveïdors d’immobilitzat a llarg termini, parts vinculades",161,liability_non_current,False
account_account_162,"Creditors per arrendament ﬁnancer a llarg termini, parts vinculades",162,liability_non_current,False
account_account_163,Altres deutes a llarg termini amb parts vinculades,163,liability_non_current,False
account_account_170,Deutes a llarg termini amb entitats de crèdit,170,liability_non_current,False
account_account_171,Deutes a llarg termini,171,liability_non_current,False
account_account_173,Proveïdors d’immobilitzat a llarg termini,173,liability_non_current,False
account_account_174,Creditors per arrendament financer a llarg termini,174,liability_non_current,False
account_account_175,Efectes a pagar a llarg termini,175,liability_non_current,False
account_account_177,Obligacions i bons,177,liability_non_current,False
account_account_179,Deutes representats en altres valors negociables,179,liability_non_current,False
account_account_180,Fiances rebudes a llarg termini,180,liability_non_current,False
account_account_181,Bestretes rebudes per vendes o prestacions de serveis a llarg termini,181,liability_non_current,False
account_account_185,Dipòsits rebuts a llarg termini,185,liability_non_current,False
account_account_189,Garanties financeres a llarg termini,189,liability_non_current,False
account_account_194,Capital emès pendent d’inscripció al Registre de Societats,194,liability_non_current,False
account_account_200,Despeses d’establiment,200,asset_fixed,False
account_account_201,Investigació,201,asset_fixed,False
account_account_202,Desenvolupament,202,asset_fixed,False
account_account_203,Concessions administratives,203,asset_fixed,False
account_account_204,Propietat industrial,204,asset_fixed,False
account_account_205,Fons de comerç,205,asset_fixed,False
account_account_206,Drets de traspàs,206,asset_fixed,False
account_account_207,Aplicacions informàtiques,207,asset_fixed,False
account_account_208,Altres immobilitzat intangible,208,asset_fixed,False
account_account_209,Bestretes per immobilitzat intangible,209,asset_fixed,False
account_account_210,Terrenys i béns naturals,210,asset_fixed,False
account_account_211,Construccions,211,asset_fixed,False
account_account_212,Instal·lacions tècniques,212,asset_fixed,False
account_account_213,Maquinària,213,asset_fixed,False
account_account_214,Utillatge,214,asset_fixed,False
account_account_215,Altres instal·lacions,215,asset_fixed,False
