id,code_prefix_start,name,name@es,name@ca
account_group_1,1,Basic financing,Financiación Básica,FINANÇAMENT BÀSIC
account_group_10,10,Capital,Capital,CAPITAL
account_group_100,100,Share capital,Capital social,Capital social
account_group_101,101,Assigned capital,Fondo social,Fons social
account_group_102,102,Capital,Capital,Capital
account_group_103,103,Uncalled capital,Socios por desembolsos no exigidos,Socis per desemborsaments no exigits
account_group_104,104,Uncalled non-monetary contributions,Socios por aportaciones no dinerarias pendientes,Socis per aportacions no dineràries pendents
account_group_108,108,Own shares or equity holdings in special situations,Acciones o participaciones propias en situaciones especiales,Accions o participacions pròpies en situacions especials
account_group_109,109,Own shares or equity holdings for reduction of capital,Acciones o participaciones propias para reducción de capital,Accions o participacions pròpies per a reducció de capital
account_group_11,11,Reserves and other equity instruments,Reservas y otros instrumentos de patrimonio,RESERVES I ALTRES INSTRUMENTS DE PATRIMONI
account_group_110,110,Share premium or additional paid-in capital,Prima de emisión o asunción,Prima d’emissió o assumpció
account_group_111,111,Other equity instruments,Otros instrumentos de patrimonio neto,Altres instruments de patrimoni net
account_group_112,112,Legal reserve,Reserva legal,Reserva legal
account_group_113,113,Voluntary reserves,Reservas voluntarias,Reserves voluntàries
account_group_114,114,Special reserves,Reservas especiales,Reserves especials
account_group_115,115,Reserves for actuarial gains and losses and other adjustments,Reservas por pérdidas y ganancias actuariales y otros ajustes,Reserves per pèrdues i guanys actuarials i altres ajustos
account_group_118,118,Contributions from equity holders or owners,Aportaciones de socios o propietarios,Aportacions de socis o propietaris
account_group_119,119,Differences on translation of capital to euros,Diferencias por ajuste del capital a euros,Diferències per ajust del capital a euros
account_group_12,12,Profit/loss pending distribution or application,Resultados pendientes de aplicación,RESULTATS PENDENTS D’APLICACIÓ
account_group_120,120,Retained earnings,Remanente,Romanent
account_group_121,121,Prior periods' losses,Resultados negativos de ejercicios anteriores,Resultats negatius d’exercicis anteriors
account_group_129,129,Profit/loss for the period,Resultado del ejercicio,Resultat de l’exercici
account_group_13,13,"Grants, donations and valuation adjustments","Subvenciones, donaciones y ajustes por cambios de valor","SUBVENCIONS, DONACIONS I AJUSTOS PER CANVIS DE VALOR"
account_group_130,130,Government capital grants,Subvenciones oficiales de capital,Subvencions oficials de capital
account_group_131,131,Capital donations and bequests,Donaciones y legados de capital,Donacions i llegats de capital
account_group_132,132,"Other grants, donations and bequests","Otras subvenciones, donaciones y legados","Altres subvencions, donacions i llegats"
account_group_133,133,Valuation adjustments to available-for-sale financial assets,Ajustes por valoración en activos financieros disponibles para la venta,Ajustos per valoració en actius financers a valor raonable amb canvis en el patrimoni net
account_group_134,134,Hedging transactions,Operaciones de cobertura,Operacions de cobertura
