"id","name","country_id","tax_payable_account_id","tax_receivable_account_id","name@pt"
"tax_group_icms_0","ICMS 0%","base.br","account_template_202011003","account_template_102010802","ICMS 0%"
"tax_group_icms_7","ICMS 7%","base.br","account_template_202011003","account_template_102010802","ICMS 7%"
"tax_group_icms_12","ICMS 12%","base.br","account_template_202011003","account_template_102010802","ICMS 12%"
"tax_group_icms_17","ICMS 17%","base.br","account_template_202011003","account_template_102010802","ICMS 17%"
"tax_group_irpj_0","IRPJ 0%","base.br","account_template_202011003","account_template_102010802","IRPJ 0%"
"tax_group_pis_0","PIS 0%","base.br","account_template_202011003","account_template_102010802","PIS 0%"
"tax_group_pis_065","PIS 0.65%","base.br","account_template_202011003","account_template_102010802","PIS 0.65%"
"tax_group_cofins_0","COFINS 0%","base.br","account_template_202011003","account_template_102010802","COFINS 0%"
"tax_group_cofins_3","COFINS 3%","base.br","account_template_202011003","account_template_102010802","COFINS 3%"
"tax_group_ir_0","IR 0%","base.br","account_template_202011003","account_template_102010802","IR 0%"
"tax_group_issqn_2","ISSQN 2%","base.br","account_template_202011003","account_template_102010802","ISSQN 2%"
"tax_group_csll_0","CSLL 0%","base.br","account_template_202011003","account_template_102010802","CSLL 0%"
"tax_group_ipi_0","IPI 0%","base.br","account_template_202011003","account_template_102010802","IPI 0%"
"tax_group_ipi_10","IPI 10%","base.br","account_template_202011003","account_template_102010802","IPI 10%"
"tax_group_ii_0","II","base.br","account_template_202011003","account_template_102010802","II"
"tax_group_inss_0","INSS","base.br","account_template_202011003","account_template_102010802","INSS"
"tax_group_aproxtrib_fed_incl_goods","Tributação Federal Aproximada Incl.","base.br","account_template_202011003","account_template_102010802","Tributação Federal Aproximada Incl."
"tax_group_aproxtrib_fed_excl_goods","Tributação Federal Aproximada Excl.","base.br","account_template_202011003","account_template_102010802","Tributação Federal Aproximada Excl."
"tax_group_aproxtrib_state_incl_goods","Tributação Estadual Aproximada Incl.","base.br","account_template_202011003","account_template_102010802","Tributação Estadual Aproximada Incl."
"tax_group_aproxtrib_state_excl_goods","Tributação Estadual Aproximada Excl.","base.br","account_template_202011003","account_template_102010802","Tributação Estadual Aproximada Excl."
"tax_group_cofins_incl_goods","COFINS Incl.","base.br","account_template_202011003","account_template_102010802","COFINS Incl."
"tax_group_cofins_excl_goods","COFINS Excl.","base.br","account_template_202011003","account_template_102010802","COFINS Excl."
"tax_group_cofins_deson_incl_goods","COFINS Desoneração Incl.","base.br","account_template_202011003","account_template_102010802","COFINS Desoneração Incl."
"tax_group_cofins_deson_excl_goods","COFINS Desoneração Excl.","base.br","account_template_202011003","account_template_102010802","COFINS Desoneração Excl."
"tax_group_cofins_st_incl_goods","COFINS ST Incl.","base.br","account_template_202011003","account_template_102010802","COFINS ST Incl."
"tax_group_cofins_st_excl_goods","COFINS ST Excl.","base.br","account_template_202011003","account_template_102010802","COFINS ST Excl."
"tax_group_icms_incl_goods","ICMS Incl.","base.br","account_template_202011003","account_template_102010802","ICMS Incl."
