"id","account_asset_id","account_depreciation_id","account_depreciation_expense_id","name","method_number","method_period","name@pt"
"asset_buildings_and_constructions","account_template_102030102","account_template_102030131","account_template_30101070123","Buildings and Constructions","25","12","Edifícios e Construções"
"asset_constructions_in_progress_real_estate","account_template_102030103","account_template_102030131","account_template_30101070123","Constructions in Progress - Real Estate","25","12","Construções em Andamento - Imóvel Próprio"
"asset_goods_in_third_party_real_estate","account_template_102030105","account_template_102030231","account_template_30101090116","Goods in Third Party Real Estate","","12","Benfeitorias em Imóveis de Terceiros"
"asset_machinery_equipment_and_industrial_facilities_1","account_template_102030106","account_template_102030131","account_template_30101070123","Machinery, Equipment and Industrial Facilities","10","12","Máquinas, Equipamentos e Instalações Industriais"
"asset_furniture_kitchenware_and_commercial_facilities_1","account_template_102030107","account_template_102030131","account_template_30101070123","Furniture, Kitchenware and Commercial Facilities","10","12","Móveis, Utensílios e Instalações Comerciais"
"asset_vehicles_1","account_template_102030108","account_template_102030131","account_template_30101070123","Vehicles","5","12","Veículos"
"asset_vessels_1","account_template_102030109","account_template_102030131","account_template_30101070123","Vessels","5","12","Embarcações"
"asset_aircraft_1","account_template_102030110","account_template_102030131","account_template_30101070123","Aircraft","5","12","Aeronaves"
"asset_mineral_resources","account_template_102030111","account_template_102030132","account_template_30101070123","Mineral Resources","","","Recursos Minerais"
"asset_ducts_and_pipes","account_template_102030112","account_template_102030131","account_template_30101070123","Ducts and Pipes","15","12","Dutos e Tubulações"
"asset_electricity_transmission_lines","account_template_102030113","account_template_102030131","account_template_30101070123","Electricity Transmission Lines","15","12","Linhas de Transmissão Elétrica"
"asset_antennas_and_transmission_towers","account_template_102030114","account_template_102030131","account_template_30101070123","Antennas and Transmission Towers","15","12","Antenas e Torres de Transmissão"
"asset_employees_in_rural_activity","account_template_102030115","account_template_102030131","account_template_30101070123","Employees in Rural Activity","8","12","Máquinas Empregadas na Atividade Rural"
"asset_tractors_and_vehicles_employees_in_rural_activity","account_template_102030116","account_template_102030131","account_template_30101070123","Tractors and Vehicles Employees in Rural Activity","5","12","Tratores e Demais Veículos Empregados na Atividade Rural"
"asset_other_fixed_assets_for_acquisition","account_template_102030128","account_template_102030131","account_template_30101070123","Other Fixed Assets for Acquisition","8","12","Outras Imobilizações por Aquisição"
"asset_accrued_depreciation_fixed_assets","account_template_102030130","account_template_102030131","account_template_30101070123","(-) Accrued Depreciation - Fixed Assets","8","12","(-) Depreciação Acumulada - Imobilizado"
"asset_refundable_value_losses_fixed_assets","account_template_102030155","account_template_102030131","account_template_30101070123","(-) Refundable Value Losses (Impairment) - Fixed Assets","8","12","(-) Perdas por Redução ao Valor Recuperável (Impairment) - Imobilizado"
"asset_subaccount_present_value_adjustment_fixed_assets","account_template_102030175","account_template_102030131","account_template_30101070123","(-) Subaccount - Present Value Adjustment – Fixed Assets","8","12","(-) Subconta - Ajuste Valor Presente – Imobilizado"
"asset_subaccount_present_value_adjustment_accrued_depreciation_fixed_assets","account_template_102030176","account_template_102030131","account_template_30101070123","Subaccount - Present Value Adjustment – Accrued Depreciation - Fixed Assets","8","12","Subconta - Ajuste Valor Presente – Depreciação Acumulada - Imobilizado"
"asset_subaccount_present_value_adjustment_accrued_amortization_fixed_assets","account_template_102030177","account_template_102030131","account_template_30101070123","Subaccount - Present Value Adjustment – Accrued Amortization - Fixed Assets","8","12","Subconta - Ajuste Valor Presente – Amortização Acumulada - Imobilizado"
"asset_subaccount_initial_adoption_fixed_assets","account_template_102030190","account_template_102030131","account_template_30101070123","Subaccount – Initial Adoption - Fixed Assets","8","12","Subconta – Adoção Inicial - Imobilizado"
"asset_subaccount_initial_adoption_different_depreciation_rate_fixed_assets","account_template_102030195","account_template_102030131","account_template_30101070123","Subaccount – Initial Adoption – Different Depreciation Rate - Fixed Assets","8","12","Subconta – Adoção Inicial – Taxa Depreciação Diferente - Imobilizado"
"asset_vehicles_2","account_template_102030201","account_template_102030131","account_template_30101070123","Vehicles","5","12","Veículos"
"asset_vessels_2","account_template_102030202","account_template_102030131","account_template_30101070123","Vessels","5","12","Embarcações"
"asset_aircraft_2","account_template_102030203","account_template_102030131","account_template_30101070123","Aircraft","5","12","Aeronaves"
"asset_machinery_equipment_and_industrial_facilities_2","account_template_102030204","account_template_102030131","account_template_30101070123","Machinery, Equipment and Industrial Facilities","10","12","Máquinas, Equipamentos e Instalações Industriais"
"asset_furniture_kitchenware_and_commercial_facilities_2","account_template_102030205","account_template_102030131","account_template_30101070123","Furniture, Kitchenware and Commercial Facilities","10","12","Móveis, Utensílios e Instalações Comerciais"
"asset_real_estate","account_template_102030206","account_template_102030131","account_template_30101070123","Real estate","8","12","Imóveis"
"asset_other_rentals","account_template_102030209","account_template_102030231","account_template_30101090116","Other Rentals","8","12","Outras Imobilizações por Arrendamento"
"asset_accrued_depreciation_fixed_assets_property_rental_object","account_template_102030230","account_template_102030231","account_template_30101090116","(-) Accrued Depreciation - Fixed Assets - Property rental object","8","12","(-) Depreciação Acumulada - Imobilizado - Bens objeto de arrendamento"
"asset_refundable_value_losses_fixed_assets_rental_property","account_template_102030255","account_template_102030231","account_template_30101090116","(-) Refundable Value Losses (Impairment) - Fixed Assets - Rental property","8","12","(-) Perdas por Redução ao Valor Recuperável (Impairment) - Imobilizado - Bens objeto de arrendamento"
