"id","name","active","description","invoice_label","amount","amount_type","type_tax_use","tax_group_id","repartition_line_ids/factor_percent","repartition_line_ids/repartition_type","repartition_line_ids/document_type","repartition_line_ids/tag_ids","repartition_line_ids/account_id","repartition_line_ids/use_in_tax_closing","fiscal_position_ids","original_tax_ids","children_tax_ids"
"sg_sale_tax_sr_9","9% SR","True","Standard Rated - Local supply of goods and services","9% SR","9","percent","sale","tax_group_9","100","base","invoice","Box 1","","","l10n_sg_fiscal_position_domestic","",""
"","","","","","","","","","100","tax","invoice","Box 6","account_account_791","","","",""
"","","","","","","","","","100","base","refund","Box 1","","","","",""
"","","","","","","","","","100","tax","refund","Box 6","account_account_791","","","",""
"sg_sale_tax_srca_s_na","0% SRCA-S","False","Local supply of prescribed good (i.e. mobile phones) subject to customer accounting","0% SRCA-S","0","percent","sale","tax_group_0","100","base","invoice","Box 1","","","l10n_sg_fiscal_position_domestic","",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","Box 1","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"sg_sale_tax_srca_c_9","9% SRCA-C","False","Local supply of prescribed good (i.e. mobile phones), where the GST-required customer is required to account for the supply on behalf of the supplier","9% SRCA-C","9","percent","sale","tax_group_9","100","base","invoice","Box 1_P","","","l10n_sg_fiscal_position_domestic","",""
"","","","","","","","","","100","tax","invoice","Box 6","account_account_791","","","",""
"","","","","","","","","","100","base","refund","Box 1_P","","","","",""
"","","","","","","","","","100","tax","refund","Box 6","account_account_791","","","",""
"sg_purchase_tax_srca_c_9","9% SRCA-C","True","Local supply of prescribed good (i.e. mobile phones), where the GST-required customer is required to account for the supply on behalf of the supplier","9% SRCA-C","-9","percent","none","tax_group_9","100","base","invoice","Box 1_P","","","l10n_sg_fiscal_position_domestic","",""
"","","","","","","","","","100","tax","invoice","Box 6","account_account_791","","","",""
"","","","","","","","","","100","base","refund","Box 1_P","","","","",""
"","","","","","","","","","100","tax","refund","Box 6","account_account_791","","","",""
"sg_purchase_tax_srrc_9","9% SRRC","True","Imported services and LVG accountable by the customer under the reverse charge mechanism","9% SRRC","-9","percent","none","tax_group_9","100","base","invoice","Box 1_P||Box 14","","","l10n_sg_fiscal_position_domestic","",""
"","","","","","","","","","100","tax","invoice","Box 6","account_account_791","","","",""
"","","","","","","","","","100","base","refund","Box 1_P||Box 14","","","","",""
"","","","","","","","","","100","tax","refund","Box 6","account_account_791","","","",""
"sg_sale_tax_srovr_rs_9","9% SROVR-RS","False","Supply of remote services accountable by the electronic marketplace under the Overseas Vendor Registration Scheme","9% SROVR-RS","9","percent","sale","tax_group_9","100","base","invoice","Box 1||Box 15","","","l10n_sg_fiscal_position_domestic,l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","Box 6","account_account_791","","","",""
"","","","","","","","","","100","base","refund","Box 1||Box 15","","","","",""
"","","","","","","","","","100","tax","refund","Box 6","account_account_791","","","",""
"sg_sale_tax_srovr_lvg_9","9% SROVR-LVG","False","Supply of LVG accountable by the re-deliverer or electronic marketplace on behalf of third-party suppliers","9% SROVR-LVG","9","percent","sale","tax_group_9","100","base","invoice","Box 1||Box 16","","","l10n_sg_fiscal_position_domestic,l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","Box 6","account_account_791","","","",""
"","","","","","","","","","100","base","refund","Box 1||Box 16","","","","",""
"","","","","","","","","","100","tax","refund","Box 6","account_account_791","","","",""
"sg_sale_tax_srlvg_9","9% SRLVG","True","Own supply of LVG - GS","9% SRLVG","9","percent","sale","tax_group_9","100","base","invoice","Box 1||Box 17","","","l10n_sg_fiscal_position_domestic,l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","Box 6","account_account_791","","","",""
"","","","","","","","","","100","base","refund","Box 1||Box 17","","","","",""
"","","","","","","","","","100","tax","refund","Box 6","account_account_791","","","",""
"sg_sale_tax_na_0","0% NA","True","Supply of goods/services under specific GST schemes where GST need not be charged","0% NA","0","percent","sale","tax_group_0","100","base","invoice","Box 1","","","l10n_sg_fiscal_position_domestic,l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","Box 1","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"sg_sale_tax_zr_0","0% ZR","True","Supplies involving goods that are exported or provision of international services","0% ZR","0","percent","sale","tax_group_0","100","base","invoice","Box 2","","","l10n_sg_fiscal_position_domestic,l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","Box 2","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"sg_sale_tax_es_0","0% ES33","True","0% Regulation 33 Exempt Supplies - Specific categories of exempt supplies listed in Regulation 33 of the GST (General) Regulations","0% ES33","0","percent","sale","tax_group_exempt","100","base","invoice","Box 3","","","l10n_sg_fiscal_position_domestic,l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","Box 3","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
"sg_sale_tax_esn_0","0% ESN33","True","0% Non-Regulation 33 Exempt Supplies - Exempt supplies other than those listed ion Regulation 33 of the GST (General) Regulations","0% ESN33","0","percent","sale","tax_group_exempt","100","base","invoice","Box 3","","","l10n_sg_fiscal_position_domestic,l10n_sg_fiscal_position_foreign_trade","",""
"","","","","","","","","","100","tax","invoice","","","","","",""
"","","","","","","","","","100","base","refund","Box 3","","","","",""
"","","","","","","","","","100","tax","refund","","","","","",""
