"id","name","country_id","active","tax_payable_account_id","tax_receivable_account_id","advance_tax_payment_account_id"
"tax_group_0","Zero-rated","base.sg","True","account_account_764","account_account_857",""
"tax_group_exempt","Exempt","base.sg","True","","",""
"tax_group_oos","Out-of-Scope Supplies","base.sg","True","","",""
"tax_group_supplies","Supplies from Non GST registered company","base.sg","True","","",""
"tax_group_9","9% GST","base.sg","True","account_account_764","account_account_857","account_account_723"
"tax_group_8","TAX 8%","base.sg","False","account_account_764","account_account_857","account_account_723"
"tax_group_7","TAX 7%","base.sg","False","account_account_764","account_account_857","account_account_723"
"tax_group_deemed","Deemed Supplies","base.sg","True","account_account_764","account_account_857","account_account_723"
"tax_group_rc","Reverse Charge","base.sg","True","account_account_764","account_account_857","account_account_723"
"tax_group_de","Disallowed Expenses","base.sg","True","account_account_764","account_account_857","account_account_723"
